team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Maryland,32,32,0,100.0,2648,82.75,1920,82.75,60.0,22.75,1016,2170,46.82027649769585,210,574,36.58536585365854,406,574,70.73170731707317,51.65898617511521,54.65292913281817,0.2645161290322581,1348,42.125,586,18.3125,1.2336842105263157,404,12.625,137,4.28125,475,14.84375,534,16.6875
Michigan,2,0,0,0.0,104,52.0,0,52.0,0.0,52.0,41,112,36.607142857142854,3,22,13.636363636363635,19,32,59.375,37.94642857142857,41.243654822335024,0.2857142857142857,69,34.5,19,9.5,0.4222222222222222,14,7.0,6,3.0,45,22.5,27,13.5
Belmont,1,0,0,0.0,26,26.0,0,26.0,0.0,26.0,10,55,18.181818181818183,3,27,11.11111111111111,3,4,75.0,20.909090909090907,22.903453136011276,0.07272727272727272,28,28.0,7,7.0,0.25,7,7.0,2,2.0,28,28.0,12,12.0
Delaware,1,0,0,0.0,55,55.0,0,55.0,0.0,55.0,21,67,31.343283582089555,8,18,44.44444444444444,5,8,62.5,37.3134328358209,38.996029495178675,0.11940298507462686,35,35.0,13,13.0,0.52,9,9.0,1,1.0,25,25.0,20,20.0
George Washington,1,0,0,0.0,54,54.0,0,54.0,0.0,54.0,21,55,38.18181818181819,7,16,43.75,5,6,83.33333333333334,44.54545454545455,46.84247050659264,0.10909090909090909,29,29.0,11,11.0,0.5,7,7.0,1,1.0,22,22.0,14,14.0
Northwestern,2,0,0,0.0,142,71.0,0,71.0,0.0,71.0,44,104,42.30769230769231,14,32,43.75,40,54,74.07407407407408,49.03846153846153,55.57294927989981,0.5192307692307693,58,29.0,26,13.0,0.896551724137931,20,10.0,9,4.5,29,14.5,33,16.5
NC State,1,0,0,0.0,66,66.0,0,66.0,0.0,66.0,26,56,46.42857142857143,8,19,42.10526315789473,6,12,50.0,53.57142857142857,53.85117493472584,0.21428571428571427,51,51.0,16,16.0,0.5714285714285714,6,6.0,4,4.0,28,28.0,9,9.0
Nebraska,1,0,0,0.0,69,69.0,0,69.0,0.0,69.0,23,54,42.592592592592595,9,19,47.368421052631575,14,19,73.68421052631578,50.92592592592593,55.32392559332906,0.35185185185185186,37,37.0,13,13.0,0.65,3,3.0,0,0.0,20,20.0,17,17.0
Ohio St.,3,0,0,0.0,192,64.0,0,64.0,0.0,64.0,72,189,38.095238095238095,23,71,32.3943661971831,25,37,67.56756756756756,44.17989417989418,46.76539360872954,0.19576719576719576,104,34.666666666666664,39,13.0,0.7090909090909091,28,9.333333333333334,14,4.666666666666667,55,18.333333333333332,48,16.0
South Carolina,1,0,0,0.0,63,63.0,0,63.0,0.0,63.0,19,60,31.666666666666664,1,9,11.11111111111111,24,30,80.0,32.5,43.0327868852459,0.5,54,54.0,12,12.0,0.8,4,4.0,8,8.0,15,15.0,14,14.0
Michigan St.,1,0,0,0.0,53,53.0,0,53.0,0.0,53.0,20,60,33.33333333333333,3,14,21.428571428571427,10,11,90.9090909090909,35.833333333333336,40.86983343615052,0.18333333333333332,27,27.0,11,11.0,0.6111111111111112,9,9.0,1,1.0,18,18.0,20,20.0
Penn St.,1,0,0,0.0,69,69.0,0,69.0,0.0,69.0,25,60,41.66666666666667,4,15,26.666666666666668,15,19,78.94736842105263,45.0,50.46811000585137,0.31666666666666665,26,26.0,13,13.0,0.5909090909090909,11,11.0,2,2.0,22,22.0,17,17.0
Wisconsin,1,0,0,0.0,56,56.0,0,56.0,0.0,56.0,22,61,36.0655737704918,7,13,53.84615384615385,5,8,62.5,41.80327868852459,43.39739615623063,0.13114754098360656,43,43.0,15,15.0,0.6,7,7.0,7,7.0,25,25.0,11,11.0
