team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Indiana,3,0,0,0.0,182,60.666666666666664,0,60.666666666666664,0.0,60.666666666666664,71,168,42.26190476190476,7,34,20.588235294117645,33,48,68.75,44.345238095238095,48.1175972927242,0.2857142857142857,88,29.333333333333332,39,13.0,0.8666666666666667,15,5.0,10,3.3333333333333335,45,15.0,39,13.0
James Madison,1,0,0,0.0,68,68.0,0,68.0,0.0,68.0,23,61,37.704918032786885,8,21,38.095238095238095,14,21,66.66666666666666,44.26229508196721,48.405466970387245,0.3442622950819672,38,38.0,7,7.0,0.3888888888888889,8,8.0,6,6.0,18,18.0,15,15.0
Rutgers,1,0,0,0.0,50,50.0,0,50.0,0.0,50.0,18,53,33.9622641509434,2,7,28.57142857142857,12,17,70.58823529411765,35.84905660377358,41.33597883597883,0.32075471698113206,31,31.0,7,7.0,0.3888888888888889,4,4.0,3,3.0,18,18.0,22,22.0
Purdue,2,0,0,0.0,107,53.5,0,53.5,0.0,53.5,42,117,35.8974358974359,10,42,23.809523809523807,13,20,65.0,40.17094017094017,42.527821939586644,0.17094017094017094,70,35.0,30,15.0,0.6818181818181818,20,10.0,16,8.0,44,22.0,16,8.0
Minnesota,1,0,0,0.0,44,44.0,0,44.0,0.0,44.0,15,54,27.77777777777778,6,23,26.08695652173913,8,10,80.0,33.33333333333333,37.67123287671233,0.18518518518518517,33,33.0,5,5.0,0.14285714285714285,8,8.0,3,3.0,35,35.0,18,18.0
Iowa,2,0,0,0.0,125,62.5,0,62.5,0.0,62.5,40,100,40.0,14,45,31.11111111111111,31,38,81.57894736842105,47.0,53.54694996572995,0.38,66,33.0,25,12.5,0.5,14,7.0,11,5.5,50,25.0,27,13.5
Wagner,1,0,0,0.0,56,56.0,0,56.0,0.0,56.0,21,52,40.38461538461539,5,18,27.77777777777778,9,14,64.28571428571429,45.19230769230769,48.14305364511692,0.2692307692307692,28,28.0,18,18.0,0.5806451612903226,3,3.0,2,2.0,31,31.0,26,26.0
Quinnipiac,1,0,0,0.0,52,52.0,0,52.0,0.0,52.0,20,59,33.89830508474576,7,27,25.925925925925924,5,7,71.42857142857143,39.83050847457627,41.881443298969074,0.11864406779661017,31,31.0,14,14.0,0.5384615384615384,3,3.0,1,1.0,26,26.0,16,16.0
Loyola Maryland,1,0,0,0.0,45,45.0,0,45.0,0.0,45.0,18,55,32.72727272727273,2,15,13.333333333333334,7,11,63.63636363636363,34.54545454545455,37.60026737967914,0.2,22,22.0,11,11.0,0.44,12,12.0,0,0.0,25,25.0,14,14.0
Georgia St.,1,0,0,0.0,41,41.0,0,41.0,0.0,41.0,14,49,28.57142857142857,0,10,0.0,13,18,72.22222222222221,28.57142857142857,36.01546029515109,0.3673469387755102,24,24.0,7,7.0,0.22580645161290322,10,10.0,2,2.0,31,31.0,18,18.0
Clemson,1,0,0,0.0,44,44.0,0,44.0,0.0,44.0,13,45,28.888888888888886,2,15,13.333333333333334,16,22,72.72727272727273,31.11111111111111,40.23408924652524,0.4888888888888889,43,43.0,8,8.0,0.27586206896551724,6,6.0,1,1.0,29,29.0,21,21.0
Illinois,1,0,1,0.0,60,60.0,79,60.0,79.0,-19.0,22,59,37.28813559322034,8,26,30.76923076923077,8,15,53.333333333333336,44.06779661016949,45.73170731707317,0.2542372881355932,35,35.0,15,15.0,0.6521739130434783,9,9.0,4,4.0,23,23.0,20,20.0
