scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Taylor Mikesell,104,8,83,21,291,2.8
Stephanie Jones,104,8,2,102,210,2.02
Kaila Charles,92,8,3,89,187,2.03
Shakira Austin,81,8,0,81,162,2.0
Blair Watson,65,8,48,17,178,2.74
Ashley Owusu,46,8,9,37,101,2.2
Diamond Miller,42,7,16,26,100,2.38
Sara Vujacic,27,7,21,6,75,2.78
Faith Masonius,22,6,2,20,46,2.09
