source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2019,11441,3,44,11,Taylor Mikesell,3,13,Faith Masonius,LAYUP,2,89.0,34.0,13 Faith Masonius LAYUP GOOD (7 Pt); 11 Taylor Mikesell Assist (3 Asst)
2019,11441,4,558,14,Diamond Miller,4,24,Stephanie Jones,LAYUP,2,91.0,40.0,24 Stephanie Jones LAYUP GOOD (13 Pt); 14 Diamond Miller Assist (4 Asst)
2019,11441,4,498,15,Ashley Owusu,9,24,Stephanie Jones,LAYUP,2,95.0,40.0,24 Stephanie Jones LAYUP GOOD (17 Pt); 15 Ashley Owusu Assist (9 Asst)
2019,11441,4,462,05,Kaila Charles,3,13,Faith Masonius,LAYUP,2,97.0,40.0,13 Faith Masonius LAYUP GOOD (9 Pt); 05 Kaila Charles Assist (3 Asst)
2019,11441,4,404,13,Faith Masonius,2,01,Shakira Austin,LAYUP,2,99.0,42.0,01 Shakira Austin LAYUP GOOD (11 Pt); 13 Faith Masonius Assist (2 Asst)
2019,11441,4,336,13,Faith Masonius,3,15,Ashley Owusu,LAYUP,2,101.0,44.0,15 Ashley Owusu LAYUP GOOD (18 Pt); 13 Faith Masonius Assist (3 Asst)
2019,11441,4,198,13,Faith Masonius,4,05,Kaila Charles,3PTR,3,109.0,48.0,05 Kaila Charles 3PTR GOOD (15 Pt); 13 Faith Masonius Assist (4 Asst)
2019,11441,4,172,14,Diamond Miller,5,05,Kaila Charles,3PTR,3,112.0,48.0,05 Kaila Charles 3PTR GOOD (18 Pt); 14 Diamond Miller Assist (5 Asst)
2019,11442,1,401,14,Diamond Miller,1,05,Kaila Charles,JUMPER,2,6.0,8.0,05 Kaila Charles JUMPER GOOD (2 Pt); 14 Diamond Miller Assist (1 Asst)
2019,11442,1,183,14,Diamond Miller,2,05,Kaila Charles,LAYUP,2,13.0,14.0,05 Kaila Charles LAYUP GOOD (4 Pt); 14 Diamond Miller Assist (2 Asst)
2019,11442,2,388,15,Ashley Owusu,1,24,Stephanie Jones,JUMPER,2,19.0,22.0,24 Stephanie Jones JUMPER GOOD (2 Pt); 15 Ashley Owusu Assist (1 Asst)
2019,11442,2,88,11,Taylor Mikesell,1,14,Diamond Miller,LAYUP,2,24.0,30.0,14 Diamond Miller LAYUP GOOD (4 Pt); 11 Taylor Mikesell Assist (1 Asst)
2019,11442,3,182,15,Ashley Owusu,2,22,Blair Watson,JUMPER,2,36.0,44.0,22 Blair Watson JUMPER GOOD (5 Pt); 15 Ashley Owusu Assist (2 Asst)
2019,11442,4,425,24,Stephanie Jones,1,15,Ashley Owusu,LAYUP,2,42.0,50.0,15 Ashley Owusu LAYUP GOOD (14 Pt); 24 Stephanie Jones Assist (1 Asst)
2019,11442,4,239,14,Diamond Miller,3,24,Stephanie Jones,JUMPER,2,44.0,50.0,24 Stephanie Jones JUMPER GOOD (4 Pt); 14 Diamond Miller Assist (3 Asst)
2019,11442,4,54,15,Ashley Owusu,3,13,Faith Masonius,3PTR,3,51.0,61.0,13 Faith Masonius 3PTR GOOD (5 Pt); 15 Ashley Owusu Assist (3 Asst)
2019,11442,4,21,13,Faith Masonius,1,14,Diamond Miller,LAYUP,2,53.0,63.0,14 Diamond Miller LAYUP GOOD (10 Pt); 13 Faith Masonius Assist (1 Asst)
2019,11443,1,232,13,Faith Masonius,1,15,Ashley Owusu,3PTR,3,9.0,5.0,15 Ashley Owusu 3PTR GOOD (4 Pt); 13 Faith Masonius Assist (1 Asst)
2019,11443,1,98,15,Ashley Owusu,1,01,Shakira Austin,LAYUP,2,17.0,9.0,01 Shakira Austin LAYUP GOOD (3 Pt); 15 Ashley Owusu Assist (1 Asst)
2019,11443,1,78,22,Blair Watson,1,24,Stephanie Jones,JUMPER,2,19.0,11.0,24 Stephanie Jones JUMPER GOOD (2 Pt); 22 Blair Watson Assist (1 Asst)
2019,11443,2,52,11,Taylor Mikesell,1,22,Blair Watson,3PTR,3,34.0,27.0,22 Blair Watson 3PTR GOOD (6 Pt); 11 Taylor Mikesell Assist (1 Asst)
2019,11443,3,552,15,Ashley Owusu,2,22,Blair Watson,3PTR,3,34.0,30.0,22 Blair Watson 3PTR GOOD (9 Pt); 15 Ashley Owusu Assist (2 Asst)
2019,11443,3,412,15,Ashley Owusu,3,24,Stephanie Jones,LAYUP,2,42.0,32.0,24 Stephanie Jones LAYUP GOOD (4 Pt); 15 Ashley Owusu Assist (3 Asst)
2019,11443,3,312,14,Diamond Miller,1,11,Taylor Mikesell,3PTR,3,47.0,35.0,11 Taylor Mikesell 3PTR GOOD (5 Pt); 14 Diamond Miller Assist (1 Asst)
2019,11443,4,534,05,Kaila Charles,1,15,Ashley Owusu,JUMPER,2,60.0,47.0,15 Ashley Owusu JUMPER GOOD (10 Pt); 05 Kaila Charles Assist (1 Asst)
