"source_id","file_id","team","opponent","is_home","points_in_paint","points_off_turnovers","points_fastbreak","points_second_chance","points_from_bench","largest_lead","largest_lead_time","time_with_lead_sec","pct_lead","ties","lead_changes","possessions","avg_scoring_possession","largest_deficit"
"2019-20","11441","Maryland","Wagner",1,62,48,30,24,45,66,"1:11 (4th)",2381,99.2,0,0,0,"-",0
"2019-20","11441","Wagner","Maryland",0,20,8,6,5,32,0,"-",0,0.0,0,0,0,"-",66
"2019-20","11442","Maryland","South Carolina",1,30,12,15,7,12,0,"-",0,0.0,1,1,0,"-",14
"2019-20","11442","South Carolina","Maryland",0,26,9,19,7,10,14,"8:06 (3rd)",2311,96.3,1,1,0,"-",0
"2019-20","11443","James Madison","Maryland",1,18,21,3,12,14,19,"9:55 (4th)",2263,94.3,2,4,0,"-",2
"2019-20","11443","Maryland","James Madison",0,30,22,8,12,29,2,"0:03 (4th)",70,2.9,2,4,0,"-",19
"2019-20","11444","Maryland","Delaware",1,40,41,34,13,33,49,"6:44 (4th)",2306,96.0,1,1,0,"-",0
"2019-20","11444","Delaware","Maryland",0,12,18,8,12,18,0,"-",0,0.0,1,1,0,"-",49
"2019-20","11445","Maryland","George Washington",1,38,31,16,13,29,35,"1:26 (4th)",2396,99.8,0,0,0,"-",0
"2019-20","11445","George Washington","Maryland",0,24,11,2,12,10,0,"-",0,0.0,0,0,0,"-",35
"2019-20","11446","Maryland","Quinnipiac",1,56,40,28,17,43,59,"4:10 (4th)",2327,96.9,0,1,0,"-",3
"2019-20","11446","Quinnipiac","Maryland",0,16,9,5,9,25,3,"9:46 (1st)",60,2.5,0,1,0,"-",59
"2019-20","11447","Clemson","Maryland",1,0,9,0,14,9,0,"-",0,0.0,0,0,71,"0:18",25
"2019-20","11447","Maryland","Clemson",0,0,33,0,15,8,25,"4:40 (4th)",2343,97.6,0,0,71,"0:14",0
"2019-20","11448","Maryland","Belmont",1,0,39,0,13,34,64,"0:47 (4th)",2389,99.5,0,0,80,"0:11",0
"2019-20","11448","Belmont","Maryland",0,0,4,0,0,14,0,"-",0,0.0,0,0,80,"0:20",64
"2019-20","11449","NC State","Maryland",1,36,16,16,16,6,10,"0:20 (4th)",1158,48.2,5,9,0,"-",5
"2019-20","11449","Maryland","NC State",0,24,20,16,5,8,5,"6:53 (2nd)",976,40.6,5,9,0,"-",10
"2019-20","11450","Maryland","Loyola Maryland",1,56,30,31,15,38,61,"0:36 (4th)",2347,97.8,1,1,0,"-",0
"2019-20","11450","Loyola Maryland","Maryland",0,28,12,8,5,26,0,"-",0,0.0,1,1,0,"-",61
"2019-20","11451","Georgia St.","Maryland",1,22,14,14,2,16,2,"9:21 (1st)",7,0.3,0,1,0,"-",75
"2019-20","11451","Maryland","Georgia St.",0,50,39,34,22,36,75,"1:32 (4th)",2355,98.1,0,1,0,"-",2
"2019-20","11716","Maryland","Michigan",1,44,25,18,15,16,15,"0:31 (4th)",2019,84.1,5,8,0,"-",2
"2019-20","11716","Michigan","Maryland",0,38,15,8,8,0,2,"7:30 (1st)",145,6.0,5,8,0,"-",15
"2019-20","11717","Northwestern","Maryland",1,22,29,11,6,6,27,"3:28 (4th)",2253,93.8,2,2,0,"-",2
"2019-20","11717","Maryland","Northwestern",0,20,13,21,10,14,2,"7:57 (1st)",16,0.7,2,2,0,"-",27
"2019-20","11718","Maryland","Ohio St.",1,46,26,36,9,17,13,"2:00 (4th)",831,34.6,6,13,0,"-",11
"2019-20","11718","Ohio St.","Maryland",0,18,13,13,5,16,11,"2:09 (2nd)",1426,59.4,6,13,0,"-",13
"2019-20","11719","Iowa","Maryland",1,18,19,15,6,3,14,"6:18 (2nd)",1872,78.0,3,7,0,"-",3
"2019-20","11719","Maryland","Iowa",0,40,15,8,25,6,3,"3:41 (3rd)",344,14.3,3,7,0,"-",14
"2019-20","11720","Michigan","Maryland",1,32,11,0,9,11,2,"9:48 (1st)",139,5.8,2,1,0,"-",28
"2019-20","11720","Maryland","Michigan",0,36,22,8,9,35,28,"0:34 (4th)",2228,92.8,2,1,0,"-",2
"2019-20","11721","Maryland","Nebraska",1,46,29,15,12,34,18,"0:32 (4th)",1957,81.5,3,1,0,"-",6
"2019-20","11721","Nebraska","Maryland",0,22,4,8,7,27,6,"6:33 (1st)",325,13.5,3,1,0,"-",18
"2019-20","11722","Maryland","Indiana",1,44,18,22,9,8,24,"5:11 (4th)",2314,96.4,2,4,0,"-",2
"2019-20","11722","Indiana","Maryland",0,38,10,14,2,12,2,"9:14 (2nd)",24,1.0,2,4,0,"-",24
"2019-20","11723","Illinois","Maryland",1,16,10,2,4,17,0,"-",0,0.0,0,0,0,"-",23
"2019-20","11723","Maryland","Illinois",0,38,24,6,20,28,23,"2:02 (4th)",2390,99.5,0,0,0,"-",0
"2019-20","11724","Maryland","Northwestern",1,32,15,19,22,19,12,"0:15 (4th)",1810,75.4,5,8,0,"-",3
"2019-20","11724","Northwestern","Maryland",0,20,11,5,3,9,3,"5:12 (3rd)",478,19.9,5,8,0,"-",12
"2019-20","11725","Ohio St.","Maryland",1,30,16,6,13,16,0,"-",0,0.0,2,0,0,"-",24
"2019-20","11725","Maryland","Ohio St.",0,56,28,19,4,17,24,"9:14 (3rd)",2340,97.5,2,0,0,"-",0
"2019-20","11726","Maryland","Michigan St.",1,38,27,27,11,37,43,"7:28 (4th)",2102,87.5,1,2,0,"-",4
"2019-20","11726","Michigan St.","Maryland",0,26,17,9,8,15,4,"4:23 (1st)",154,6.4,1,2,0,"-",43
"2019-20","11727","Indiana","Maryland",1,40,7,7,6,14,10,"6:24 (2nd)",1276,53.1,2,2,0,"-",10
"2019-20","11727","Maryland","Indiana",0,38,14,22,13,28,10,"0:44 (4th)",1022,42.6,2,2,0,"-",10
"2019-20","11728","Maryland","Rutgers",1,30,22,25,9,25,29,"0:51 (4th)",2366,98.5,0,0,0,"-",0
"2019-20","11728","Rutgers","Maryland",0,26,5,4,10,9,0,"-",0,0.0,0,0,0,"-",29
"2019-20","11729","Maryland","Iowa",1,58,37,19,16,24,40,"4:07 (4th)",2279,94.9,2,0,0,"-",0
"2019-20","11729","Iowa","Maryland",0,26,9,14,9,24,0,"-",0,0.0,2,0,0,"-",40
"2019-20","11730","Penn St.","Maryland",1,40,12,21,4,14,4,"6:03 (1st)",189,7.9,5,8,0,"-",38
"2019-20","11730","Maryland","Penn St.",0,56,29,21,21,41,38,"1:26 (4th)",2042,85.0,5,8,0,"-",4
"2019-20","11731","Wisconsin","Maryland",1,20,9,9,2,28,2,"9:34 (1st)",70,2.9,1,1,0,"-",36
"2019-20","11731","Maryland","Wisconsin",0,56,33,20,15,27,36,"1:08 (3rd)",2289,95.3,1,1,0,"-",2
"2019-20","11732","Maryland","Purdue",1,60,31,22,21,37,43,"0:34 (4th)",2030,84.5,0,1,0,"-",4
"2019-20","11732","Purdue","Maryland",0,28,11,7,10,4,4,"6:53 (1st)",346,14.4,0,1,0,"-",43
"2019-20","11733","Minnesota","Maryland",1,16,9,4,5,7,5,"8:04 (1st)",163,6.8,2,1,0,"-",57
"2019-20","11733","Maryland","Minnesota",0,54,37,38,12,32,57,"0:32 (4th)",2161,90.0,2,1,0,"-",5
"2019-20","11734","Maryland","Purdue",1,32,19,24,17,7,20,"8:02 (4th)",2159,89.9,3,6,0,"-",2
"2019-20","11734","Purdue","Maryland",0,20,14,10,13,11,2,"8:44 (2nd)",123,5.1,3,6,0,"-",20
"2019-20","12071","Maryland","Indiana",1,28,14,15,6,31,19,"2:32 (4th)",2061,85.8,3,6,0,"-",2
"2019-20","12071","Indiana","Maryland",0,24,19,0,11,10,2,"7:27 (1st)",261,10.9,3,6,0,"-",19
"2019-20","12072","Maryland","Ohio St.",1,36,8,18,15,21,22,"1:30 (4th)",1825,76.0,3,6,0,"-",5
"2019-20","12072","Ohio St.","Maryland",0,30,9,4,13,17,5,"3:53 (1st)",515,21.4,3,6,0,"-",22
