"source_id","file_id","team","name","number","position","minutes","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","turnovers","steals","blocks","points","offensive_rebounds","defensive_rebounds","personal_fouls","technical_fouls","efficiency","usage_pct","points_per_minute","fgm","fga","tpm","tpa","ftm","fta","starter"
2019,12071,"Maryland","F. MASONIUS",13,"F",7,"0-0",0.0,"0-0",0.0,"0-0",0.0,1,1,1,1,0,0,0,1,0,0,2.0,0.0,0.0,0,0,0,0,0,0,0
2019,12071,"Maryland","D. MILLER",14,"G",29,"6-12",50.0,"3-5",60.0,"0-0",0.0,2,1,1,1,1,15,1,1,1,0,13.0,21.77,0.517,6,12,3,5,0,0,0
2019,12071,"Maryland","A. OWUSU",15,"G",24,"4-8",50.0,"0-1",0.0,"6-7",85.7,5,3,3,1,1,14,1,4,4,0,16.0,28.49,0.583,4,8,0,1,6,7,0
2019,12071,"Maryland","S. VUJACIC",32,"G",1,"1-2",50.0,"0-1",0.0,"0-0",0.0,0,0,0,0,0,2,0,0,0,0,1.0,0.0,0.0,1,2,0,1,0,0,0
2019,12071,"Indiana","A. GULBE",10,"F",28,"2-5",40.0,"0-1",0.0,"2-2",100.0,4,3,2,0,0,6,3,1,3,0,8.0,14.76,0.214,2,5,0,1,2,2,1
2019,12071,"Indiana","J. PENN",13,"G",26,"1-5",20.0,"0-3",0.0,"0-0",0.0,4,1,2,0,0,2,0,4,0,0,1.0,14.12,0.077,1,5,0,3,0,0,1
2019,12071,"Indiana","A. PATBERG",14,"G",38,"6-21",28.6,"3-6",50.0,"1-2",50.0,1,3,3,2,1,16,0,1,3,0,4.0,34.35,0.421,6,21,3,6,1,2,1
2019,12071,"Indiana","G. BERGER",34,"G",39,"3-12",25.0,"0-3",0.0,"4-4",100.0,6,7,4,2,0,10,0,6,2,0,12.0,23.89,0.256,3,12,0,3,4,4,1
2019,12071,"Indiana","B. WISE",50,"F",32,"2-8",25.0,"1-6",16.7,"2-4",50.0,6,1,0,1,0,7,3,3,0,0,7.0,16.0,0.219,2,8,1,6,2,4,1
2019,12071,"Indiana","G. WAGGONER",3,"G",7,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0
2019,12071,"Indiana","C. WILSON",11,"G",2,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0
2019,12071,"Indiana","J. ALLEN",33,"F",2,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0
2019,12071,"Indiana","M. HOLMES",54,"F",26,"5-7",71.4,"0-0",0.0,"0-0",0.0,5,0,1,1,0,10,2,3,4,0,13.0,16.14,0.385,5,7,0,0,0,0,0
2019,12072,"Maryland","S. AUSTIN","01","F","26","6-7","85.7","0-0","0.0","2-3","66.7","8","1","2","1","1","14",1,7,1,0,21.0,18.65,0.538,6,7,0,0,2,3,1
2019,12072,"Maryland","K. CHARLES","05","G","21","3-9","33.3","0-0","0.0","0-0","0.0","4","1","1","0","0","6",2,2,2,0,4.0,22.38,0.286,3,9,0,0,0,0,1
2019,12072,"Maryland","T. MIKESELL","11","G","25","4-9","44.4","4-8","50.0","0-0","0.0","3","1","2","0","1","12",0,3,1,0,10.0,20.68,0.48,4,9,4,8,0,0,1
2019,12072,"Maryland","B. WATSON","22","G","33","4-9","44.4","3-7","42.9","0-0","0.0","6","1","1","4","0","11",1,5,2,0,16.0,14.24,0.333,4,9,3,7,0,0,1
2019,12072,"Maryland","S. JONES","24","F","36","6-10","60.0","0-0","0.0","6-6","100.0","10","1","1","0","1","18",3,7,0,0,25.0,17.8,0.5,6,10,0,0,6,6,1
2019,12072,"Maryland","F. MASONIUS","13","F","8","0-0","0.0","0-0","0.0","0-0","0.0","0","2","0","0","0","0",0,0,1,0,2.0,0.0,0.0,0,0,0,0,0,0,0
2019,12072,"Maryland","D. MILLER","14","G","15","1-6","16.7","1-2","50.0","1-2","50.0","4","3","2","1","1","4",2,2,2,0,5.0,27.82,0.267,1,6,1,2,1,2,0
2019,12072,"Maryland","A. OWUSU","15","G","34","7-16","43.8","0-1","0.0","3-3","100.0","6","11","4","1","0","17",2,4,2,0,22.0,29.47,0.5,7,16,0,1,3,3,0
2019,12072,"Maryland","S. VUJACIC","32","G","2","0-0","0.0","0-0","0.0","0-0","0.0","0","0","0","0","0","0",0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0
2019,12072,"Ohio St.","M. GREENE","00","G","38","1-4","25.0","0-1","0.0","5-6","83.3","5","5","2","1","2","7",2,3,2,0,14.0,11.57,0.184,1,4,0,1,5,6,1
2019,12072,"Ohio St.","J. SHELDON","04","G","32","4-11","36.4","3-8","37.5","0-0","0.0","5","1","1","2","0","11",1,4,2,0,11.0,19.08,0.344,4,11,3,8,0,0,1
2019,12072,"Ohio St.","B. MILLER","10","G","27","3-10","30.0","0-2","0.0","0-0","0.0","3","5","2","2","0","6",0,3,1,0,7.0,22.62,0.222,3,10,0,2,0,0,1
2019,12072,"Ohio St.","D. JUHASZ","14","F","35","8-18","44.4","4-6","66.7","0-0","0.0","5","0","0","0","1","20",2,3,2,0,16.0,26.17,0.571,8,18,4,6,0,0,1
2019,12072,"Ohio St.","A. PATTY","32","F","17","2-4","50.0","0-0","0.0","0-0","0.0","4","0","2","0","1","4",1,3,2,0,5.0,17.96,0.235,2,4,0,0,0,0,1
2019,12072,"Ohio St.","J. CROOMS","03","G","23","2-5","40.0","0-1","0.0","0-0","0.0","1","3","2","1","1","4",0,1,1,0,5.0,15.49,0.174,2,5,0,1,0,0,0
2019,12072,"Ohio St.","A. WONE ARANAZ","11","F","3","0-1","0.0","0-0","0.0","0-0","0.0","1","0","0","0","0","0",1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0
2019,12072,"Ohio St.","K. BELL","24","G","25","5-13","38.5","3-8","37.5","0-0","0.0","6","5","1","1","1","13",1,5,1,0,17.0,28.5,0.52,5,13,3,8,0,0,0
