"source_id","file_id","team","points","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","steals","blocks","turnovers","fouls"
2019,11720,"Michigan",49,"19-56","33.9%","2-10","20.0%","9-15","60.0%",34,7,6,4,22,9
2019,11720,"Maryland",77,"29-64","45.3%","10-21","47.6%","9-11","81.8%",39,13,10,4,17,22
2019,11448,"Maryland",90,"36-71","50.7%","6-10","60.0%","12-14","85.7%",49,21,17,1,15,14
2019,11448,"Belmont",26,"10-55","18.2%","3-27","11.1%","3-4","75.0%",28,7,7,2,28,12
2019,11716,"Maryland",70,"28-64","43.8%","2-11","18.2%","12-20","60.0%",43,11,13,3,14,18
2019,11716,"Michigan",55,"22-56","39.3%","1-12","8.3%","10-17","58.8%",35,12,8,2,23,18
2019,11444,"Maryland",99,"37-64","57.8%","12-27","44.4%","13-23","56.5%",45,27,15,6,18,16
2019,11444,"Delaware",55,"21-67","31.3%","8-18","44.4%","5-8","62.5%",35,13,9,1,25,20
2019,11445,"Maryland",88,"33-61","54.1%","10-20","50.0%","12-17","70.6%",34,23,13,8,13,13
2019,11445,"George Washington",54,"21-55","38.2%","7-16","43.8%","5-6","83.3%",29,11,7,1,22,14
2019,11717,"Northwestern",81,"22-50","44.0%","6-12","50.0%","31-38","81.6%",29,16,12,4,13,14
2019,11717,"Maryland",58,"18-59","30.5%","4-18","22.2%","18-22","81.8%",42,14,6,4,24,26
2019,11449,"NC State",66,"26-56","46.4%","8-19","42.1%","6-12","50.0%",51,16,6,4,28,9
2019,11449,"Maryland",59,"22-65","33.8%","9-19","47.4%","6-9","66.7%",27,15,14,2,17,16
2019,11721,"Maryland",87,"35-68","51.5%","4-16","25.0%","13-16","81.3%",31,14,11,4,7,17
2019,11721,"Nebraska",69,"23-54","42.6%","9-19","47.4%","14-19","73.7%",37,13,3,0,20,17
2019,12072,"Maryland",82,"31-66","47.0%","8-18","44.4%","12-14","85.7%",48,21,7,4,13,11
2019,12072,"Ohio St.",65,"25-66","37.9%","10-26","38.5%","5-6","83.3%",31,19,7,6,10,11
2019,11442,"Maryland",54,"22-70","31.4%","2-16","12.5%","8-12","66.7%",38,9,10,5,9,23
2019,11442,"South Carolina",63,"19-60","31.7%","1-9","11.1%","24-30","80.0%",54,12,4,8,15,14
2019,11726,"Maryland",94,"36-59","61.0%","9-13","69.2%","13-18","72.2%",37,22,12,5,16,17
2019,11726,"Michigan St.",53,"20-60","33.3%","3-14","21.4%","10-11","90.9%",27,11,9,1,18,20
2019,11730,"Penn St.",69,"25-60","41.7%","4-15","26.7%","15-19","78.9%",26,13,11,2,22,17
2019,11730,"Maryland",106,"41-71","57.7%","5-14","35.7%","19-26","73.1%",45,20,13,2,14,17
2019,11731,"Wisconsin",56,"22-61","36.1%","7-13","53.8%","5-8","62.5%",43,15,7,7,25,11
2019,11731,"Maryland",85,"36-82","43.9%","7-21","33.3%","6-12","50.0%",44,24,14,5,9,11
2019,11727,"Indiana",69,"27-53","50.9%","2-7","28.6%","13-21","61.9%",28,16,1,3,17,13
2019,11727,"Maryland",79,"30-58","51.7%","4-15","26.7%","15-17","88.2%",27,14,8,4,10,20
2019,11443,"James Madison",68,"23-61","37.7%","8-21","38.1%","14-21","66.7%",38,7,8,6,18,15
2019,11443,"Maryland",70,"28-63","44.4%","6-16","37.5%","8-18","44.4%",44,10,7,5,20,21
2019,11728,"Maryland",79,"24-55","43.6%","6-19","31.6%","25-29","86.2%",41,15,9,3,12,11
2019,11728,"Rutgers",50,"18-53","34.0%","2-7","28.6%","12-17","70.6%",31,7,4,3,18,22
2019,11732,"Maryland",88,"38-77","49.4%","7-17","41.2%","5-8","62.5%",49,23,10,6,15,7
2019,11732,"Purdue",45,"19-61","31.1%","3-20","15.0%","4-7","57.1%",34,11,9,4,24,7
2019,11724,"Maryland",70,"24-62","38.7%","5-13","38.5%","17-22","77.3%",45,12,10,4,14,17
2019,11724,"Northwestern",61,"22-54","40.7%","8-20","40.0%","9-16","56.3%",29,10,8,5,16,19
2019,11725,"Ohio St.",65,"22-65","33.8%","5-19","26.3%","16-24","66.7%",39,5,8,3,20,21
2019,11725,"Maryland",85,"34-61","55.7%","3-13","23.1%","14-25","56.0%",41,13,8,9,17,19
2019,11733,"Minnesota",44,"15-54","27.8%","6-23","26.1%","8-10","80.0%",33,5,8,3,35,18
2019,11733,"Maryland",99,"36-61","59.0%","8-18","44.4%","19-23","82.6%",34,24,24,2,18,18
2019,11729,"Maryland",93,"39-70","55.7%","5-16","31.3%","10-18","55.6%",38,20,15,3,14,19
2019,11729,"Iowa",59,"20-50","40.0%","6-23","26.1%","13-16","81.3%",31,12,6,1,27,14
2019,11441,"Maryland",119,"43-81","53.1%","12-25","48.0%","21-29","72.4%",43,30,19,5,8,15
2019,11441,"Wagner",56,"21-52","40.4%","5-18","27.8%","9-14","64.3%",28,18,3,2,31,26
2019,11734,"Maryland",74,"30-84","35.7%","7-19","36.8%","7-11","63.6%",54,23,14,5,15,12
2019,11734,"Purdue",62,"23-56","41.1%","7-22","31.8%","9-13","69.2%",36,19,11,12,20,9
2019,11722,"Maryland",76,"29-61","47.5%","4-9","44.4%","14-17","82.4%",40,19,8,6,14,16
2019,11722,"Indiana",62,"25-57","43.9%","1-8","12.5%","11-15","73.3%",28,8,8,6,15,13
2019,11718,"Maryland",72,"30-66","45.5%","1-12","8.3%","11-17","64.7%",37,16,16,2,18,12
2019,11718,"Ohio St.",62,"25-58","43.1%","8-26","30.8%","4-7","57.1%",34,15,13,5,25,16
2019,12071,"Maryland",66,"26-63","41.3%","5-18","27.8%","9-10","90.0%",43,12,7,3,15,20
2019,12071,"Indiana",51,"19-58","32.8%","4-19","21.1%","9-12","75.0%",32,15,6,1,13,13
2019,11446,"Maryland",107,"43-72","59.7%","8-19","42.1%","13-19","68.4%",41,24,16,5,10,12
2019,11446,"Quinnipiac",52,"20-59","33.9%","7-27","25.9%","5-7","71.4%",31,14,3,1,26,16
2019,11450,"Maryland",105,"41-72","56.9%","8-21","38.1%","15-18","83.3%",53,25,14,4,18,13
2019,11450,"Loyola Maryland",45,"18-55","32.7%","2-15","13.3%","7-11","63.6%",22,11,12,0,25,14
2019,11451,"Georgia St.",41,"14-49","28.6%","0-10","0.0%","13-18","72.2%",24,7,10,2,31,18
