assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Ashley Owusu,173,8,66,107,412,2.38
Taylor Mikesell,74,8,19,55,167,2.26
Kaila Charles,71,8,25,46,167,2.35
Blair Watson,65,7,14,51,144,2.22
Diamond Miller,57,8,23,34,137,2.4
Shakira Austin,52,7,14,38,118,2.27
Faith Masonius,42,8,10,32,94,2.24
Stephanie Jones,30,7,9,21,69,2.3
Sara Vujacic,19,7,4,15,42,2.21
