assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Ashley Owusu,Taylor Mikesell,40,112,2.8,32,8,5,3,0
Ashley Owusu,Kaila Charles,36,72,2.0,0,36,21,15,0
Ashley Owusu,Stephanie Jones,29,60,2.07,2,27,21,6,0
Ashley Owusu,Blair Watson,25,71,2.84,21,4,2,2,0
Blair Watson,Taylor Mikesell,20,53,2.65,13,7,7,0,0
Ashley Owusu,Shakira Austin,17,34,2.0,0,17,11,6,0
Kaila Charles,Stephanie Jones,15,30,2.0,0,15,9,6,0
Taylor Mikesell,Stephanie Jones,14,28,2.0,0,14,11,3,0
Kaila Charles,Shakira Austin,13,26,2.0,0,13,6,7,0
Blair Watson,Shakira Austin,13,26,2.0,0,13,10,3,0
Kaila Charles,Ashley Owusu,12,28,2.33,4,8,3,5,0
Shakira Austin,Ashley Owusu,12,25,2.08,1,11,3,8,0
Taylor Mikesell,Blair Watson,12,33,2.75,9,3,3,0,0
Shakira Austin,Stephanie Jones,12,24,2.0,0,12,9,3,0
Faith Masonius,Stephanie Jones,12,24,2.0,0,12,10,2,0
Blair Watson,Kaila Charles,12,24,2.0,0,12,10,2,0
Taylor Mikesell,Shakira Austin,12,24,2.0,0,12,5,7,0
Taylor Mikesell,Kaila Charles,12,24,2.0,0,12,10,2,0
Blair Watson,Stephanie Jones,11,22,2.0,0,11,6,5,0
Ashley Owusu,Diamond Miller,11,28,2.55,6,5,5,0,0
Kaila Charles,Taylor Mikesell,11,32,2.91,10,1,1,0,0
Faith Masonius,Kaila Charles,10,22,2.2,2,8,7,1,0
Diamond Miller,Stephanie Jones,10,20,2.0,0,10,4,6,0
Diamond Miller,Kaila Charles,10,21,2.1,1,9,5,4,0
Stephanie Jones,Shakira Austin,10,20,2.0,0,10,5,5,0
Diamond Miller,Blair Watson,10,28,2.8,8,2,2,0,0
Diamond Miller,Taylor Mikesell,9,26,2.89,8,1,1,0,0
Stephanie Jones,Taylor Mikesell,9,26,2.89,8,1,0,1,0
Kaila Charles,Blair Watson,9,23,2.56,5,4,3,1,0
Ashley Owusu,Faith Masonius,8,17,2.12,1,7,3,4,0
Taylor Mikesell,Diamond Miller,8,18,2.25,2,6,3,3,0
Shakira Austin,Taylor Mikesell,8,21,2.62,5,3,1,2,0
Taylor Mikesell,Sara Vujacic,7,20,2.86,6,1,1,0,0
Ashley Owusu,Sara Vujacic,7,18,2.57,4,3,1,2,0
Diamond Miller,Shakira Austin,7,14,2.0,0,7,6,1,0
Shakira Austin,Diamond Miller,7,16,2.29,2,5,3,2,0
Shakira Austin,Kaila Charles,6,12,2.0,0,6,3,3,0
Sara Vujacic,Diamond Miller,6,13,2.17,1,5,3,2,0
Blair Watson,Ashley Owusu,6,12,2.0,0,6,4,2,0
Taylor Mikesell,Ashley Owusu,5,11,2.2,1,4,4,0,0
Diamond Miller,Sara Vujacic,5,14,2.8,4,1,0,1,0
Sara Vujacic,Shakira Austin,5,10,2.0,0,5,4,1,0
Faith Masonius,Diamond Miller,5,11,2.2,1,4,2,2,0
Faith Masonius,Taylor Mikesell,5,15,3.0,5,0,0,0,0
Shakira Austin,Blair Watson,5,14,2.8,4,1,1,0,0
Taylor Mikesell,Faith Masonius,4,9,2.25,1,3,3,0,0
Kaila Charles,Faith Masonius,4,8,2.0,0,4,2,2,0
Faith Masonius,Shakira Austin,4,8,2.0,0,4,2,2,0
Kaila Charles,Diamond Miller,4,11,2.75,3,1,0,1,0
Diamond Miller,Ashley Owusu,4,10,2.5,2,2,1,1,0
Stephanie Jones,Ashley Owusu,3,6,2.0,0,3,3,0,0
Kaila Charles,Sara Vujacic,3,9,3.0,3,0,0,0,0
Faith Masonius,Ashley Owusu,3,7,2.33,1,2,2,0,0
Sara Vujacic,Kaila Charles,3,6,2.0,0,3,2,1,0
Stephanie Jones,Kaila Charles,3,6,2.0,0,3,1,2,0
Stephanie Jones,Sara Vujacic,2,5,2.5,1,1,1,0,0
Sara Vujacic,Taylor Mikesell,2,6,3.0,2,0,0,0,0
Shakira Austin,Sara Vujacic,2,6,3.0,2,0,0,0,0
Diamond Miller,Faith Masonius,2,4,2.0,0,2,1,1,0
Stephanie Jones,Faith Masonius,2,4,2.0,0,2,1,1,0
Blair Watson,Faith Masonius,2,4,2.0,0,2,1,1,0
Faith Masonius,Blair Watson,2,4,2.0,0,2,0,2,0
Sara Vujacic,Ashley Owusu,1,2,2.0,0,1,0,1,0
Sara Vujacic,Stephanie Jones,1,2,2.0,0,1,1,0,0
Sara Vujacic,Blair Watson,1,3,3.0,1,0,0,0,0
Stephanie Jones,Blair Watson,1,2,2.0,0,1,0,1,0
Faith Masonius,Sara Vujacic,1,3,3.0,1,0,0,0,0
Blair Watson,Diamond Miller,1,3,3.0,1,0,0,0,0
