"source_id","file_id","team","opponent","is_home","points_in_paint","points_off_turnovers","points_fastbreak","points_second_chance","points_from_bench","largest_lead","largest_lead_time","time_with_lead_sec","pct_lead","ties","lead_changes","possessions","avg_scoring_possession","largest_deficit"
"2016-17","9665","Maryland","UMass-Lowell",1,58,48,18,13,50,63,"2:21 (4th)",2387,99.5,0,0,85,"0:12",0
"2016-17","9665","UMass-Lowell","Maryland",0,14,6,0,6,15,0,"-",0,0.0,0,0,85,"0:17",63
"2016-17","9666","Maryland","Maryland Eastern Shore",1,72,22,16,28,46,45,"0:42 (4th)",2355,98.1,0,0,82,"0:13",0
"2016-17","9666","Maryland Eastern Shore","Maryland",0,22,16,2,7,12,0,"-",0,0.0,0,0,85,"0:16",45
"2016-17","9668","Maryland","Mount St. Mary's",1,64,33,24,17,60,64,"0:28 (4th)",2226,92.8,0,3,89,"0:12",2
"2016-17","9668","Mount St. Mary's","Maryland",0,20,15,2,5,13,2,"9:04 (1st)",118,4.9,0,2,89,"0:17",64
"2016-17","9669","Niagara","Maryland",1,20,10,0,20,9,0,"-",0,0.0,0,0,72,"0:20",35
"2016-17","9669","Maryland","Niagara",0,44,24,16,18,30,35,"7:02 (4th)",2386,99.4,0,0,72,"0:13",0
"2016-17","9670","Arizona State","Maryland",1,20,11,2,6,24,0,"-",0,0.0,0,0,72,"0:16",46
"2016-17","9670","Maryland","Arizona State",0,56,30,10,21,24,46,"2:23 (4th)",2339,97.5,0,0,69,"0:18",0
"2016-17","9671","Maryland","Washington State",1,40,20,4,19,14,11,"0:13 (4th)",929,38.7,3,6,85,"0:14",6
"2016-17","9671","Washington State","Maryland",0,28,21,4,9,14,6,"0:45 (1st)",1283,53.5,4,6,87,"0:16",11
"2016-17","9672","Louisville","Maryland",1,44,20,4,17,6,9,"2:21 (1st)",618,25.8,1,5,80,"0:17",10
"2016-17","9672","Maryland","Louisville",0,32,10,2,15,9,10,"2:18 (3rd)",1640,68.3,3,5,78,"0:17",9
"2016-17","9673","Maryland","Umbc",1,39,26,17,26,43,52,"1:34 (4th)",2386,99.4,0,0,76,"0:14",0
"2016-17","9673","Umbc","Maryland",0,14,2,0,12,7,0,"-",0,0.0,0,0,77,"0:19",52
"2016-17","9674","Maryland","Towson",1,48,30,18,19,38,36,"1:28 (4th)",2324,96.8,0,0,79,"0:13",0
"2016-17","9674","Towson","Maryland",0,32,9,6,7,6,0,"-",0,0.0,1,0,80,"0:19",36
"2016-17","9675","Maryland","Saint Peter's",1,72,46,16,24,44,55,"1:24 (4th)",2280,95.0,0,1,73,"0:12",1
"2016-17","9675","Saint Peter's","Maryland",0,12,7,2,8,18,1,"8:23 (1st)",12,0.5,2,1,73,"0:21",55
"2016-17","9676","Loyola Maryland","Maryland",1,26,13,2,7,5,0,"-",0,0.0,1,0,74,"0:16",26
"2016-17","9676","Maryland","Loyola Maryland",0,38,21,6,17,18,26,"1:51 (2nd)",2353,98.0,0,0,74,"0:13",0
"2016-17","9677","Duquesne","Maryland",1,14,14,7,13,25,0,"-",0,0.0,0,0,76,"0:18",26
"2016-17","9677","Maryland","Duquesne",0,38,25,19,8,19,26,"1:16 (3rd)",2360,98.3,0,0,77,"0:13",0
"2016-17","9678","Maryland","Connecticut",1,42,13,16,16,11,0,"-",0,0.0,2,0,73,"0:13",19
"2016-17","9678","Connecticut","Maryland",0,40,12,7,13,7,19,"6:37 (3rd)",2329,97.0,0,0,73,"0:17",0
"2016-17","9679","Minnesota","Maryland",1,30,19,15,10,4,0,"-",0,0.0,0,0,81,"0:14",12
