"source_id","file_id","team","lineup","num_players","start_seconds","end_seconds","duration","pts_for","pts_against","plus_minus"
"2016-17","9665","UMass-Lowell","Asia MITCHELL-OWENS|Katherine SMITH|Kayla GIBBS|Nicole HAYNER|Shawnkia McCALLUM",5,0,60,60,0,5,-5
"2016-17","9665","UMass-Lowell","Asia MITCHELL-OWENS|Katherine SMITH|Kayla GIBBS|Megan HENDRICK|Shawnkia McCALLUM",5,60,139,79,1,2,-1
"2016-17","9665","Maryland","Brionna Jones|Destiny Slocum|Kaila Charles|Kristen Confroy|S. Walker-Kimbrough",5,0,139,139,7,1,6
"2016-17","9665","UMass-Lowell","Asia MITCHELL-OWENS|Kayla GIBBS|Megan HENDRICK|Shawnkia McCALLUM|Tyshay BRITTEN",5,139,283,144,2,10,-8
"2016-17","9665","Maryland","Brionna Jones|Destiny Slocum|Kiah Gillespie|Kristen Confroy|S. Walker-Kimbrough",5,139,283,144,10,2,8
"2016-17","9665","Maryland","Ieshia Small|Jenna Staiti|Kiah Gillespie|Kristen Confroy|S. Walker-Kimbrough",5,283,355,72,2,2,0
"2016-17","9665","Maryland","Ieshia Small|Jenna Staiti|Kiah Gillespie|S. Walker-Kimbrough|Sarah Myers",5,355,396,41,0,0,0
"2016-17","9665","Maryland","Brionna Jones|Ieshia Small|Kaila Charles|S. Walker-Kimbrough|Sarah Myers",5,396,407,11,0,0,0
"2016-17","9665","UMass-Lowell","Asia MITCHELL-OWENS|Katherine SMITH|Megan HENDRICK|Nazarae BUTLER|Tyshay BRITTEN",5,283,444,161,2,4,-2
"2016-17","9665","Maryland","Brionna Jones|Destiny Slocum|Kaila Charles|S. Walker-Kimbrough|Sarah Myers",5,407,444,37,2,0,2
"2016-17","9665","UMass-Lowell","Asia MITCHELL-OWENS|Kayla GIBBS|Megan HENDRICK|Nazarae BUTLER|Tyshay BRITTEN",5,444,470,26,0,4,-4
"2016-17","9665","Maryland","Blair Watson|Brionna Jones|Destiny Slocum|Kaila Charles|S. Walker-Kimbrough",5,444,575,131,13,0,13
"2016-17","9665","Maryland","Blair Watson|Brianna Fraser|Destiny Slocum|Kaila Charles|Kristen Confroy",5,575,600,25,0,0,0
"2016-17","9665","UMass-Lowell","Asia MITCHELL-OWENS|Kayla GIBBS|Nazarae BUTLER|Shawnkia McCALLUM|Tyshay BRITTEN",5,470,600,130,0,9,-9
"2016-17","9665","UMass-Lowell","Amanda ORTIZ|Kayla GIBBS|Kiana BATAGELJ|Megan HENDRICK|Shawnkia McCALLUM",5,600,640,40,0,2,-2
"2016-17","9665","Maryland","Blair Watson|Brianna Fraser|Destiny Slocum|Kaila Charles|Kristen Confroy",5,600,640,40,2,0,2
