assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Destiny Slocum,204,10,49,155,457,2.24
S. Walker-Kimbrough,124,10,27,97,275,2.22
Kristen Confroy,74,9,35,39,183,2.47
Ieshia Small,72,11,23,49,167,2.32
Brionna Jones,51,8,16,35,118,2.31
Kaila Charles,42,8,8,34,92,2.19
Blair Watson,30,9,6,24,66,2.2
Kiah Gillespie,27,11,5,22,59,2.19
Sarah Myers,27,10,7,20,61,2.26
Brianna Fraser,18,7,3,15,39,2.17
Stephanie Jones,11,9,4,7,26,2.36
Jenna Staiti,9,5,3,6,21,2.33
Kayla GIBBS,1,1,0,1,2,2.0
