"source_id","file_id","team","period","score"
2016,9681,"Maryland",1,23
2016,9681,"Maryland",2,22
2016,9681,"Maryland",3,27
2016,9681,"Maryland",4,24
2016,9681,"Northwestern",1,10
2016,9681,"Northwestern",2,12
2016,9681,"Northwestern",3,25
2016,9681,"Northwestern",4,18
2016,9697,"Maryland",1,18
2016,9697,"Maryland",2,21
2016,9697,"Maryland",3,18
2016,9697,"Maryland",4,17
2016,9697,"Purdue",1,14
2016,9697,"Purdue",2,21
2016,9697,"Purdue",3,11
2016,9697,"Purdue",4,18
2016,9678,"Maryland",1,12
2016,9678,"Maryland",2,19
2016,9678,"Maryland",3,22
2016,9678,"Maryland",4,28
2016,9678,"Connecticut",1,20
2016,9678,"Connecticut",2,16
2016,9678,"Connecticut",3,32
2016,9678,"Connecticut",4,19
2016,9674,"Maryland",1,22
2016,9674,"Maryland",2,34
2016,9674,"Maryland",3,20
2016,9674,"Maryland",4,21
2016,9674,"Towson",1,10
2016,9674,"Towson",2,19
2016,9674,"Towson",3,15
2016,9674,"Towson",4,19
2016,9675,"Maryland",1,17
2016,9675,"Maryland",2,34
2016,9675,"Maryland",3,27
2016,9675,"Maryland",4,23
2016,9675,"Saint Peter's",1,13
2016,9675,"Saint Peter's",2,12
2016,9675,"Saint Peter's",3,14
2016,9675,"Saint Peter's",4,10
2016,9696,"Maryland",1,20
2016,9696,"Maryland",2,27
2016,9696,"Maryland",3,24
2016,9696,"Maryland",4,29
2016,9696,"Michigan State",1,17
2016,9696,"Michigan State",2,17
2016,9696,"Michigan State",3,26
2016,9696,"Michigan State",4,29
2016,9679,"Minnesota",1,14
2016,9679,"Minnesota",2,18
2016,9679,"Minnesota",3,21
2016,9679,"Minnesota",4,19
2016,9679,"Maryland",1,24
2016,9679,"Maryland",2,14
2016,9679,"Maryland",3,22
2016,9679,"Maryland",4,23
2016,9680,"Nebraska",1,9
2016,9680,"Nebraska",2,13
2016,9680,"Nebraska",3,18
2016,9680,"Nebraska",4,9
2016,9680,"Maryland",1,26
2016,9680,"Maryland",2,18
2016,9680,"Maryland",3,20
2016,9680,"Maryland",4,29
2016,9672,"Louisville",1,24
2016,9672,"Louisville",2,14
2016,9672,"Louisville",3,15
2016,9672,"Louisville",4,19
2016,9672,"Maryland",1,20
2016,9672,"Maryland",2,22
2016,9672,"Maryland",3,20
2016,9672,"Maryland",4,16
2016,9687,"Maryland",1,23
2016,9687,"Maryland",2,33
2016,9687,"Maryland",3,22
2016,9687,"Maryland",4,22
2016,9687,"Iowa",1,18
2016,9687,"Iowa",2,18
2016,9687,"Iowa",3,27
2016,9687,"Iowa",4,18
2016,9668,"Maryland",1,18
2016,9668,"Maryland",2,19
2016,9668,"Maryland",3,34
2016,9668,"Maryland",4,35
2016,9668,"Mount St. Mary's",1,13
2016,9668,"Mount St. Mary's",2,7
2016,9668,"Mount St. Mary's",3,9
2016,9668,"Mount St. Mary's",4,13
2016,9691,"Michigan State",1,19
2016,9691,"Michigan State",2,21
2016,9691,"Michigan State",3,9
2016,9691,"Michigan State",4,23
2016,9691,"Maryland",1,25
2016,9691,"Maryland",2,26
2016,9691,"Maryland",3,16
2016,9691,"Maryland",4,22
2016,9700,"Maryland",1,16
2016,9700,"Maryland",2,11
2016,9700,"Maryland",3,20
2016,9700,"Maryland",4,16
2016,9700,"Oregon",1,17
2016,9700,"Oregon",2,19
2016,9700,"Oregon",3,23
2016,9700,"Oregon",4,18
2016,9690,"Maryland",1,26
2016,9690,"Maryland",2,14
2016,9690,"Maryland",3,20
2016,9690,"Maryland",4,24
2016,9690,"Illinois",1,12
2016,9690,"Illinois",2,8
2016,9690,"Illinois",3,17
2016,9690,"Illinois",4,22
2016,9686,"Illinois",1,10
2016,9686,"Illinois",2,12
2016,9686,"Illinois",3,10
2016,9686,"Illinois",4,17
2016,9686,"Maryland",1,21
2016,9686,"Maryland",2,23
2016,9686,"Maryland",3,29
2016,9686,"Maryland",4,21
2016,9669,"Niagara",1,17
2016,9669,"Niagara",2,15
2016,9669,"Niagara",3,17
2016,9669,"Niagara",4,15
2016,9669,"Maryland",1,27
2016,9669,"Maryland",2,31
2016,9669,"Maryland",3,20
2016,9669,"Maryland",4,18
2016,9673,"Maryland",1,24
2016,9673,"Maryland",2,18
2016,9673,"Maryland",3,29
2016,9673,"Maryland",4,21
2016,9673,"Umbc",1,9
2016,9673,"Umbc",2,8
2016,9673,"Umbc",3,10
2016,9673,"Umbc",4,15
2016,9665,"Maryland",1,34
2016,9665,"Maryland",2,23
2016,9665,"Maryland",3,21
2016,9665,"Maryland",4,22
2016,9665,"UMass-Lowell",1,5
2016,9665,"UMass-Lowell",2,11
2016,9665,"UMass-Lowell",3,14
2016,9665,"UMass-Lowell",4,14
2016,9670,"Arizona State",1,4
2016,9670,"Arizona State",2,9
2016,9670,"Arizona State",3,15
2016,9670,"Arizona State",4,14
2016,9670,"Maryland",1,24
2016,9670,"Maryland",2,23
2016,9670,"Maryland",3,19
2016,9670,"Maryland",4,17
2016,9666,"Maryland",1,32
2016,9666,"Maryland",2,22
2016,9666,"Maryland",3,26
2016,9666,"Maryland",4,26
2016,9666,"Maryland Eastern Shore",1,17
2016,9666,"Maryland Eastern Shore",2,12
2016,9666,"Maryland Eastern Shore",3,21
2016,9666,"Maryland Eastern Shore",4,11
2016,9689,"Indiana",1,13
2016,9689,"Indiana",2,14
2016,9689,"Indiana",3,9
2016,9689,"Indiana",4,20
2016,9689,"Maryland",1,27
2016,9689,"Maryland",2,19
2016,9689,"Maryland",3,28
2016,9689,"Maryland",4,18
2016,9693,"Ohio State",1,35
2016,9693,"Ohio State",2,14
2016,9693,"Ohio State",3,19
2016,9693,"Ohio State",4,30
2016,9693,"Maryland",1,22
2016,9693,"Maryland",2,18
2016,9693,"Maryland",3,26
2016,9693,"Maryland",4,21
2016,9685,"Maryland",1,14
2016,9685,"Maryland",2,20
2016,9685,"Maryland",3,26
2016,9685,"Maryland",4,20
2016,9685,"Rutgers",1,13
2016,9685,"Rutgers",2,17
2016,9685,"Rutgers",3,13
2016,9685,"Rutgers",4,28
2016,9684,"Maryland",1,18
2016,9684,"Maryland",2,21
2016,9684,"Maryland",3,25
2016,9684,"Maryland",4,19
2016,9684,"Michigan",1,19
2016,9684,"Michigan",2,16
2016,9684,"Michigan",3,26
2016,9684,"Michigan",4,9
2016,9692,"Maryland",1,18
2016,9692,"Maryland",2,25
2016,9692,"Maryland",3,28
2016,9692,"Maryland",4,18
2016,9692,"Wisconsin",1,5
2016,9692,"Wisconsin",2,9
2016,9692,"Wisconsin",3,17
2016,9692,"Wisconsin",4,9
2016,9688,"Purdue",1,19
2016,9688,"Purdue",2,16
2016,9688,"Purdue",3,13
2016,9688,"Purdue",4,22
2016,9688,"Maryland",1,25
2016,9688,"Maryland",2,18
2016,9688,"Maryland",3,22
2016,9688,"Maryland",4,20
2016,9671,"Maryland",1,16
2016,9671,"Maryland",2,18
2016,9671,"Maryland",3,19
2016,9671,"Maryland",4,26
2016,9671,"Washington State",1,20
2016,9671,"Washington State",2,14
2016,9671,"Washington State",3,18
2016,9671,"Washington State",4,17
2016,9695,"Maryland",1,27
2016,9695,"Maryland",2,20
2016,9695,"Maryland",3,25
2016,9695,"Maryland",4,20
2016,9695,"Minnesota",1,14
2016,9695,"Minnesota",2,19
2016,9695,"Minnesota",3,23
2016,9695,"Minnesota",4,24
2016,9683,"Iowa",1,16
2016,9683,"Iowa",2,31
2016,9683,"Iowa",3,12
2016,9683,"Iowa",4,23
2016,9683,"Maryland",1,27
2016,9683,"Maryland",2,16
2016,9683,"Maryland",3,28
2016,9683,"Maryland",4,27
2016,9676,"Loyola Maryland",1,12
2016,9676,"Loyola Maryland",2,9
2016,9676,"Loyola Maryland",3,24
2016,9676,"Loyola Maryland",4,15
2016,9676,"Maryland",1,26
2016,9676,"Maryland",2,20
2016,9676,"Maryland",3,18
2016,9676,"Maryland",4,15
2016,9699,"Maryland",1,12
2016,9699,"Maryland",2,26
2016,9699,"Maryland",3,25
2016,9699,"Maryland",4,20
2016,9699,"West Virginia",1,16
2016,9699,"West Virginia",2,8
2016,9699,"West Virginia",3,18
2016,9699,"West Virginia",4,14
2016,9677,"Duquesne",1,12
2016,9677,"Duquesne",2,4
2016,9677,"Duquesne",3,20
2016,9677,"Duquesne",4,21
2016,9677,"Maryland",1,13
2016,9677,"Maryland",2,19
2016,9677,"Maryland",3,25
2016,9677,"Maryland",4,20
2016,9698,"Maryland",1,22
2016,9698,"Maryland",2,23
2016,9698,"Maryland",3,26
2016,9698,"Maryland",4,32
2016,9698,"Bucknell",1,10
2016,9698,"Bucknell",2,12
2016,9698,"Bucknell",3,17
2016,9698,"Bucknell",4,22
2016,9682,"Maryland",1,22
2016,9682,"Maryland",2,22
2016,9682,"Maryland",3,29
2016,9682,"Maryland",4,16
2016,9682,"Penn State",1,24
2016,9682,"Penn State",2,15
2016,9682,"Penn State",3,18
2016,9682,"Penn State",4,26
"2016","9694","Maryland",1,26
"2016","9694","Maryland",2,25
"2016","9694","Maryland",3,21
"2016","9694","Maryland",4,21
"2016","9694","Minnesota",1,12
"2016","9694","Minnesota",2,18
"2016","9694","Minnesota",3,15
"2016","9694","Minnesota",4,15
