scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Brionna Jones,168,10,0,168,336,2.0
S. Walker-Kimbrough,128,10,61,67,317,2.48
Kaila Charles,75,9,0,75,150,2.0
Destiny Slocum,69,9,56,13,194,2.81
Kristen Confroy,55,10,43,12,153,2.78
Stephanie Jones,41,10,0,41,82,2.0
Brianna Fraser,37,10,0,37,74,2.0
Kiah Gillespie,36,11,1,35,73,2.03
Jenna Staiti,31,10,0,31,62,2.0
Blair Watson,21,8,16,5,58,2.76
Ieshia Small,20,7,5,15,45,2.25
Sarah Myers,9,4,4,5,22,2.44
