"source_id","file_id","team","points","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","steals","blocks","turnovers","fouls"
2016,9681,"Maryland",96,"34-70","48.6%","10-24","41.7%","18-25","72.0%",47,14,12,2,14,18
2016,9681,"Northwestern",65,"24-59","40.7%","1-11","9.1%","16-21","76.2%",30,8,7,5,18,19
2016,9697,"Maryland",74,"29-56","51.8%","6-18","33.3%","10-12","83.3%",34,18,9,6,19,13
2016,9697,"Purdue",64,"23-60","38.3%","5-18","27.8%","13-14","92.9%",32,13,10,2,18,12
2016,9678,"Maryland",81,"32-68","47.1%","5-20","25.0%","12-17","70.6%",40,16,7,5,14,19
2016,9678,"Connecticut",87,"34-67","50.7%","9-21","42.9%","10-16","62.5%",31,20,6,4,10,17
2016,9674,"Maryland",97,"36-73","49.3%","7-20","35.0%","18-25","72.0%",46,25,15,8,12,18
2016,9674,"Towson",63,"24-56","42.9%","1-9","11.1%","14-18","77.8%",28,6,7,3,21,20
2016,9675,"Maryland",101,"42-72","58.3%","3-11","27.3%","14-17","82.4%",33,21,19,3,6,9
2016,9675,"Saint Peter's",49,"19-46","41.3%","7-12","58.3%","4-4","100.0%",23,9,3,1,28,13
2016,9696,"Maryland",100,"37-62","59.7%","8-14","57.1%","18-26","69.2%",34,19,9,1,12,11
2016,9696,"Michigan State",89,"34-64","53.1%","12-29","41.4%","9-10","90.0%",27,23,6,6,14,20
2016,9679,"Minnesota",72,"28-64","43.8%","8-20","40.0%","8-11","72.7%",38,16,6,6,21,13
2016,9679,"Maryland",83,"36-77","46.8%","6-18","33.3%","5-10","50.0%",42,27,14,6,14,11
2016,9680,"Nebraska",49,"20-63","31.7%","4-19","21.1%","5-12","41.7%",31,10,5,2,17,18
2016,9680,"Maryland",93,"37-72","51.4%","6-16","37.5%","13-20","65.0%",53,24,13,6,13,17
2016,9672,"Louisville",72,"31-79","39.2%","4-23","17.4%","6-14","42.9%",35,15,7,2,7,20
2016,9672,"Maryland",78,"26-54","48.1%","3-15","20.0%","23-28","82.1%",48,9,2,6,18,19
2016,9687,"Maryland",100,"39-65","60.0%","8-18","44.4%","14-17","82.4%",40,26,9,4,19,20
2016,9687,"Iowa",81,"29-63","46.0%","9-23","39.1%","14-22","63.6%",25,17,10,0,15,17
2016,9668,"Maryland",106,"41-71","57.7%","4-14","28.6%","20-25","80.0%",60,29,21,4,19,6
2016,9668,"Mount St. Mary's",42,"17-62","27.4%","7-32","21.9%","1-5","20.0%",24,10,6,1,27,17
2016,9691,"Michigan State",72,"29-65","44.6%","8-25","32.0%","6-15","40.0%",28,22,3,2,15,23
2016,9691,"Maryland",89,"31-57","54.4%","5-11","45.5%","22-30","73.3%",39,17,8,2,18,19
2016,9700,"Maryland",63,"26-57","45.6%","0-6","0.0%","11-17","64.7%",32,9,11,7,21,20
2016,9700,"Oregon",77,"28-61","45.9%","6-15","40.0%","15-16","93.8%",31,14,11,1,17,15
2016,9690,"Maryland",84,"31-70","44.3%","10-25","40.0%","12-14","85.7%",53,25,10,2,18,14
2016,9690,"Illinois",59,"22-65","33.8%","11-23","47.8%","4-5","80.0%",31,14,6,4,18,17
2016,9686,"Illinois",49,"20-69","29.0%","1-17","5.9%","8-9","88.9%",34,3,7,5,16,23
2016,9686,"Maryland",94,"32-75","42.7%","7-22","31.8%","23-35","65.7%",61,22,10,9,12,13
2016,9669,"Niagara",64,"19-51","37.3%","6-11","54.5%","20-27","74.1%",30,14,4,3,18,15
2016,9669,"Maryland",96,"36-67","53.7%","11-26","42.3%","13-19","68.4%",40,26,12,7,11,21
2016,9673,"Maryland",92,"35-71","49.3%","12-24","50.0%","10-15","66.7%",53,29,12,6,12,10
2016,9673,"Umbc",42,"16-59","27.1%","3-17","17.6%","7-10","70.0%",29,10,5,1,20,13
2016,9665,"Maryland",100,"41-88","46.6%","6-22","27.3%","12-16","75.0%",52,25,26,4,9,20
2016,9665,"UMass-Lowell",44,"15-50","30.0%","6-19","31.6%","8-11","72.7%",30,9,1,2,34,20
2016,9670,"Arizona State",42,"15-53","28.3%","2-9","22.2%","10-17","58.8%",28,6,5,3,20,18
2016,9670,"Maryland",83,"36-66","54.5%","1-9","11.1%","10-15","66.7%",47,16,8,4,14,21
2016,9666,"Maryland",106,"45-80","56.3%","7-17","41.2%","9-14","64.3%",61,25,7,6,15,16
2016,9666,"Maryland Eastern Shore",61,"22-69","31.9%","7-18","38.9%","10-18","55.6%",25,7,5,1,12,14
2016,9689,"Indiana",56,"22-69","31.9%","3-16","18.8%","9-14","64.3%",32,15,6,1,11,17
2016,9689,"Maryland",92,"36-62","58.1%","7-14","50.0%","13-19","68.4%",47,20,7,11,14,18
2016,9693,"Ohio State",98,"36-57","63.2%","10-18","55.6%","16-25","64.0%",32,13,8,3,14,20
2016,9693,"Maryland",87,"33-79","41.8%","10-30","33.3%","11-15","73.3%",42,15,3,3,14,24
2016,9685,"Maryland",80,"29-56","51.8%","7-19","36.8%","15-24","62.5%",41,18,7,6,18,13
2016,9685,"Rutgers",71,"29-65","44.6%","7-14","50.0%","6-10","60.0%",27,15,11,2,16,22
