"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2016-17","Destiny Slocum",34,1032.8,367.2,2333,1717,23.9,792,539,27.6,-3.7,616
"2016-17","S. Walker-Kimbrough",35,1031.2,368.9,2328,1636,26.8,797,620,19.2,7.6,692
"2016-17","Kristen Confroy",35,945.4,454.6,2087,1528,23.7,1038,728,27.3,-3.6,559
"2016-17","Brionna Jones",35,938.5,461.6,2156,1493,28.3,969,763,17.9,10.4,663
"2016-17","Kaila Charles",35,794.1,605.9,1796,1249,27.6,1329,1007,21.3,6.3,547
"2016-17","Ieshia Small",34,518.9,881.1,1165,864,23.2,1960,1392,25.8,-2.6,301
"2016-17","Brianna Fraser",35,434.3,965.7,923,705,20.1,2202,1551,27.0,-6.9,218
"2016-17","Stephanie Jones",34,322.4,1077.5,666,543,15.3,2459,1713,27.7,-12.4,123
"2016-17","Blair Watson",30,318.0,1082.0,680,500,22.6,2445,1756,25.5,-2.8,180
"2016-17","Kiah Gillespie",32,315.2,1084.8,664,484,22.8,2461,1772,25.4,-2.6,180
"2016-17","Sarah Myers",29,245.5,1154.5,528,361,27.2,2597,1895,24.3,2.9,167
"2016-17","Jenna Staiti",25,143.0,1257.0,312,230,22.9,2813,2026,25.0,-2.1,82
"2016-17","Aja Ellison",2,2.9,1397.1,4,6,"",3121,2250,24.9,"",-2
