source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2016,9665,2,40,22,Blair Watson,2,24,Stephanie Jones,LAYUP,2,55.0,14.0,24 Stephanie Jones LAYUP GOOD (5 Pt); 22 Blair Watson Assist (2 Asst)
2016,9665,2,18,22,Blair Watson,3,34,Brianna Fraser,LAYUP,2,57.0,14.0,34 Brianna Fraser LAYUP GOOD (8 Pt); 22 Blair Watson Assist (3 Asst)
2016,9665,3,567,12,Kristen Confroy,1,32,S. Walker-Kimbrough,JUMPER,2,59.0,19.0,32 S. Walker-Kimbrough JUMPER GOOD (14 Pt); 12 Kristen Confroy Assist (1 Asst)
2016,9665,3,499,12,Kristen Confroy,2,05,Destiny Slocum,3PTR,3,62.0,19.0,05 Destiny Slocum 3PTR GOOD (10 Pt); 12 Kristen Confroy Assist (2 Asst)
2016,9665,3,473,05,Destiny Slocum,5,12,Kristen Confroy,3PTR,3,65.0,19.0,12 Kristen Confroy 3PTR GOOD (6 Pt); 05 Destiny Slocum Assist (5 Asst)
2016,9665,3,404,03,Kaila Charles,1,05,Destiny Slocum,3PTR,3,68.0,22.0,05 Destiny Slocum 3PTR GOOD (13 Pt); 03 Kaila Charles Assist (1 Asst)
2016,9665,3,295,15,Kiah Gillespie,3,03,Kaila Charles,JUMPER,2,70.0,27.0,03 Kaila Charles JUMPER GOOD (10 Pt); 15 Kiah Gillespie Assist (3 Asst)
2016,9665,3,268,05,Destiny Slocum,6,15,Kiah Gillespie,LAYUP,2,72.0,27.0,15 Kiah Gillespie LAYUP GOOD (4 Pt); 05 Destiny Slocum Assist (6 Asst)
2016,9665,3,245,15,Kiah Gillespie,4,01,Ieshia Small,JUMPER,2,74.0,27.0,01 Ieshia Small JUMPER GOOD (8 Pt); 15 Kiah Gillespie Assist (4 Asst)
2016,9665,4,512,01,Ieshia Small,3,15,Kiah Gillespie,3PTR,3,85.0,32.0,15 Kiah Gillespie 3PTR GOOD (7 Pt); 01 Ieshia Small Assist (3 Asst)
2016,9665,4,490,01,Ieshia Small,4,21,Sarah Myers,LAYUP,2,87.0,32.0,21 Sarah Myers LAYUP GOOD (2 Pt); 01 Ieshia Small Assist (4 Asst)
2016,9665,4,348,15,Kiah Gillespie,5,24,Stephanie Jones,LAYUP,2,93.0,32.0,24 Stephanie Jones LAYUP GOOD (7 Pt); 15 Kiah Gillespie Assist (5 Asst)
2016,9665,4,228,03,Kaila Charles,2,14,Jenna Staiti,JUMPER,2,95.0,34.0,14 Jenna Staiti JUMPER GOOD (4 Pt); 03 Kaila Charles Assist (2 Asst)
2016,9665,4,71,01,Kayla GIBBS,1,34,Brianna Fraser,JUMPER,2,99.0,39.0,34 Brianna Fraser JUMPER GOOD (14 Pt); 01 Kayla GIBBS Assist (1 Asst)
2016,9666,1,555,05,Destiny Slocum,1,32,S. Walker-Kimbrough,3PTR,3,3.0,0.0,32 S. Walker-Kimbrough 3PTR GOOD (3 Pt); 05 Destiny Slocum Assist (1 Asst)
2016,9666,1,538,42,Brionna Jones,1,03,Kaila Charles,LAYUP,2,5.0,0.0,03 Kaila Charles LAYUP GOOD (2 Pt); 42 Brionna Jones Assist (1 Asst)
2016,9666,1,464,32,S. Walker-Kimbrough,1,42,Brionna Jones,LAYUP,2,10.0,3.0,42 Brionna Jones LAYUP GOOD (2 Pt); 32 S. Walker-Kimbrough Assist (1 Asst)
2016,9666,1,448,12,Kristen Confroy,1,32,S. Walker-Kimbrough,LAYUP,2,12.0,3.0,32 S. Walker-Kimbrough LAYUP GOOD (5 Pt); 12 Kristen Confroy Assist (1 Asst)
2016,9666,1,287,32,S. Walker-Kimbrough,2,42,Brionna Jones,LAYUP,2,18.0,11.0,42 Brionna Jones LAYUP GOOD (6 Pt); 32 S. Walker-Kimbrough Assist (2 Asst)
2016,9666,1,224,05,Destiny Slocum,2,34,Brianna Fraser,JUMPER,2,20.0,12.0,34 Brianna Fraser JUMPER GOOD (2 Pt); 05 Destiny Slocum Assist (2 Asst)
2016,9666,1,151,21,Sarah Myers,1,32,S. Walker-Kimbrough,3PTR,3,23.0,13.0,32 S. Walker-Kimbrough 3PTR GOOD (10 Pt); 21 Sarah Myers Assist (1 Asst)
2016,9666,2,526,21,Sarah Myers,2,42,Brionna Jones,JUMPER,2,36.0,19.0,42 Brionna Jones JUMPER GOOD (10 Pt); 21 Sarah Myers Assist (2 Asst)
2016,9666,2,484,21,Sarah Myers,3,42,Brionna Jones,JUMPER,2,39.0,19.0,42 Brionna Jones JUMPER GOOD (13 Pt); 21 Sarah Myers Assist (3 Asst)
2016,9666,3,581,05,Destiny Slocum,3,42,Brionna Jones,LAYUP,2,56.0,31.0,42 Brionna Jones LAYUP GOOD (15 Pt); 05 Destiny Slocum Assist (3 Asst)
2016,9666,3,408,32,S. Walker-Kimbrough,3,05,Destiny Slocum,3PTR,3,63.0,38.0,05 Destiny Slocum 3PTR GOOD (10 Pt); 32 S. Walker-Kimbrough Assist (3 Asst)
2016,9666,3,279,05,Destiny Slocum,4,01,Ieshia Small,LAYUP,2,68.0,42.0,01 Ieshia Small LAYUP GOOD (2 Pt); 05 Destiny Slocum Assist (4 Asst)
2016,9666,3,130,03,Kaila Charles,1,42,Brionna Jones,LAYUP,2,72.0,50.0,42 Brionna Jones LAYUP GOOD (17 Pt); 03 Kaila Charles Assist (1 Asst)
2016,9666,3,98,21,Sarah Myers,4,03,Kaila Charles,LAYUP,2,74.0,50.0,03 Kaila Charles LAYUP GOOD (12 Pt); 21 Sarah Myers Assist (4 Asst)
2016,9666,3,75,21,Sarah Myers,5,24,Stephanie Jones,LAYUP,2,76.0,50.0,24 Stephanie Jones LAYUP GOOD (2 Pt); 21 Sarah Myers Assist (5 Asst)
2016,9666,3,2,21,Sarah Myers,6,03,Kaila Charles,JUMPER,2,80.0,50.0,03 Kaila Charles JUMPER GOOD (14 Pt); 21 Sarah Myers Assist (6 Asst)
2016,9666,4,536,21,Sarah Myers,7,34,Brianna Fraser,LAYUP,2,82.0,50.0,34 Brianna Fraser LAYUP GOOD (4 Pt); 21 Sarah Myers Assist (7 Asst)
2016,9666,4,479,12,Kristen Confroy,2,14,Jenna Staiti,LAYUP,2,84.0,52.0,14 Jenna Staiti LAYUP GOOD (2 Pt); 12 Kristen Confroy Assist (2 Asst)
2016,9666,4,429,34,Brianna Fraser,1,14,Jenna Staiti,LAYUP,2,86.0,54.0,14 Jenna Staiti LAYUP GOOD (4 Pt); 34 Brianna Fraser Assist (1 Asst)
2016,9666,4,374,01,Ieshia Small,1,21,Sarah Myers,LAYUP,2,90.0,54.0,21 Sarah Myers LAYUP GOOD (6 Pt); 01 Ieshia Small Assist (1 Asst)
2016,9666,4,334,21,Sarah Myers,8,15,Kiah Gillespie,LAYUP,2,92.0,56.0,15 Kiah Gillespie LAYUP GOOD (8 Pt); 21 Sarah Myers Assist (8 Asst)
2016,9666,4,273,21,Sarah Myers,9,15,Kiah Gillespie,LAYUP,2,94.0,59.0,15 Kiah Gillespie LAYUP GOOD (10 Pt); 21 Sarah Myers Assist (9 Asst)
2016,9666,4,155,01,Ieshia Small,2,24,Stephanie Jones,JUMPER,2,100.0,61.0,24 Stephanie Jones JUMPER GOOD (6 Pt); 01 Ieshia Small Assist (2 Asst)
2016,9666,4,64,22,Blair Watson,1,14,Jenna Staiti,LAYUP,2,102.0,61.0,14 Jenna Staiti LAYUP GOOD (8 Pt); 22 Blair Watson Assist (1 Asst)
2016,9666,4,42,24,Stephanie Jones,1,14,Jenna Staiti,LAYUP,2,106.0,61.0,14 Jenna Staiti LAYUP GOOD (10 Pt); 24 Stephanie Jones Assist (1 Asst)
2016,9668,1,459,05,Destiny Slocum,1,03,Kaila Charles,LAYUP,2,3.0,2.0,03 Kaila Charles LAYUP GOOD (2 Pt); 05 Destiny Slocum Assist (1 Asst)
2016,9668,1,379,32,S. Walker-Kimbrough,1,05,Destiny Slocum,3PTR,3,6.0,4.0,05 Destiny Slocum 3PTR GOOD (4 Pt); 32 S. Walker-Kimbrough Assist (1 Asst)
2016,9668,1,264,01,Ieshia Small,1,42,Brionna Jones,LAYUP,2,8.0,7.0,42 Brionna Jones LAYUP GOOD (2 Pt); 01 Ieshia Small Assist (1 Asst)
2016,9668,1,105,03,Kaila Charles,1,32,S. Walker-Kimbrough,LAYUP,2,14.0,10.0,32 S. Walker-Kimbrough LAYUP GOOD (2 Pt); 03 Kaila Charles Assist (1 Asst)
2016,9668,1,83,32,S. Walker-Kimbrough,2,03,Kaila Charles,LAYUP,2,16.0,10.0,03 Kaila Charles LAYUP GOOD (4 Pt); 32 S. Walker-Kimbrough Assist (2 Asst)
2016,9668,2,521,32,S. Walker-Kimbrough,3,24,Stephanie Jones,JUMPER,2,20.0,13.0,24 Stephanie Jones JUMPER GOOD (2 Pt); 32 S. Walker-Kimbrough Assist (3 Asst)
2016,9668,2,424,05,Destiny Slocum,2,42,Brionna Jones,LAYUP,2,22.0,15.0,42 Brionna Jones LAYUP GOOD (6 Pt); 05 Destiny Slocum Assist (2 Asst)
2016,9668,2,365,01,Ieshia Small,2,32,S. Walker-Kimbrough,LAYUP,2,26.0,15.0,32 S. Walker-Kimbrough LAYUP GOOD (4 Pt); 01 Ieshia Small Assist (2 Asst)
2016,9668,2,296,34,Brianna Fraser,1,42,Brionna Jones,LAYUP,2,30.0,18.0,42 Brionna Jones LAYUP GOOD (10 Pt); 34 Brianna Fraser Assist (1 Asst)
2016,9668,2,217,34,Brianna Fraser,2,42,Brionna Jones,LAYUP,2,34.0,18.0,42 Brionna Jones LAYUP GOOD (12 Pt); 34 Brianna Fraser Assist (2 Asst)
2016,9668,2,83,12,Kristen Confroy,1,14,Jenna Staiti,LAYUP,2,36.0,18.0,14 Jenna Staiti LAYUP GOOD (2 Pt); 12 Kristen Confroy Assist (1 Asst)
2016,9668,3,571,12,Kristen Confroy,2,42,Brionna Jones,LAYUP,2,39.0,20.0,42 Brionna Jones LAYUP GOOD (14 Pt); 12 Kristen Confroy Assist (2 Asst)
2016,9668,3,488,32,S. Walker-Kimbrough,4,42,Brionna Jones,LAYUP,2,43.0,20.0,42 Brionna Jones LAYUP GOOD (16 Pt); 32 S. Walker-Kimbrough Assist (4 Asst)
2016,9668,3,466,12,Kristen Confroy,3,03,Kaila Charles,LAYUP,2,45.0,20.0,03 Kaila Charles LAYUP GOOD (10 Pt); 12 Kristen Confroy Assist (3 Asst)
