"opponent","season","file_id","date","location","is_home","maryland_score","opponent_score","result","margin"
"Wisconsin","2014-15","9580","2/19/2015","Madison, Wisc. (Kohl Center)",0,81,70,"W",11
"Penn State","2014-15","9581","2/23/2015","College Park, Md. (XFINITY Center)",1,65,34,"W",31
"Indiana","2014-15","9582","2/26/2015","College Park, Md. (XFINITY Center)",1,83,72,"W",11
"Northwestern","2014-15","9583","3/1/2015","Evanston, Ill. (Welsh-Ryan Arena)",0,69,48,"W",21
"Michigan State","2014-15","9584","3/6/2015","Hoffman Estates, Ill. (Sears Centre)",1,70,60,"W",10
"Northwestern","2014-15","9585","3/7/2015","Hoffman Estates, Ill. (Sears Centre)",1,74,63,"W",11
"Ohio State","2014-15","9586","3/8/2015","Hoffman Estates, Ill. (Sears Centre)",1,77,74,"W",3
"New Mexico State","2014-15","9587","3/21/2015","College Park, Md. (XFINITY Center)",1,75,57,"W",18
"Princeton","2014-15","9588","3/23/2015","College Park, Md. (XFINITY Center)",1,85,70,"W",15
"Duke","2014-15","9589","3/28/2015","Spokane, Wash. (Spokane Arena)",1,65,55,"W",10
"Tennessee","2014-15","9590","3/30/2015","Spokane, Wash. (Spokane Arena)",1,58,48,"W",10
"UConn","2014-15","9591","4/5/2015","Tampa, Fla. (Amalie Arena)",0,58,81,"L",-23
"UMass-Lowell","2015-16","9605","11/14/2015","College Park, Md. (XFINITY Center)",1,102,53,"W",49
"High Point","2015-16","9606","11/18/2015","College Park, Md. (XFINITY Center)",1,105,50,"W",55
"Detroit","2015-16","9607","11/20/2015","College Park, Md. (XFINITY Center)",1,97,41,"W",56
"Old Dominion","2015-16","9608","11/26/2015","St. Thomas, U.S. Virgin Islands",1,95,49,"W",46
"South Dakota State","2015-16","9609","11/27/2015","St. Thomas, U.S. Virgin Islands",0,62,55,"W",7
"Pittsburgh","2015-16","9610","11/28/2015","St. Thomas, U.S. Virgin Islands",1,70,49,"W",21
"Syracuse","2015-16","9611","12/2/2015","College Park, Md. (XFINITY Center)",1,82,64,"W",18
"Ccsu","2015-16","9612","12/5/2015","College Park, Md. (XFINITY Center)",1,86,43,"W",43
"Loyola","2015-16","9613","12/8/2015","College Park, Md. (XFINITY Center)",1,97,47,"W",50
"Southern","2015-16","9614","12/11/2015","College Park, Md. (XFINITY Center)",1,94,61,"W",33
"Umes","2015-16","9615","12/20/2015","Princess Anne, Md. (Hytche)",0,106,30,"W",76
"Connecticut","2015-16","9616","12/28/2015","New York, N.Y. (Madison Square Garden)",0,73,83,"L",-10
"Illinois","2015-16","9617","12/31/2015","Champaign, Ill. (State Farm Center)",0,79,63,"W",16
"Ohio State","2015-16","9618","1/2/2016","College Park, Md. (XFINITY Center)",1,71,80,"L",-9
"Nebraska","2015-16","9619","1/7/2016","College Park, Md. (XFINITY Center)",1,89,50,"W",39
"Iowa","2015-16","9620","1/10/2016","Iowa City, Iowa (Carver-Hawkeye Arena)",0,76,56,"W",20
"Michigan","2015-16","9621","1/14/2016","Ann Arbor, Mich. (Crisler Center)",0,74,67,"W",7
"Northwestern","2015-16","9622","1/17/2016","College Park, Md. (XFINITY Center)",1,80,62,"W",18
"Wisconsin","2015-16","9623","1/20/2016","Madison, Wisc. (Kohl Center)",0,90,65,"W",25
"Penn State","2015-16","9624","1/27/2016","University Park, Pa. (Bryce Jordan)",0,89,53,"W",36
"Indiana","2015-16","9625","1/30/2016","College Park, Md. (XFINITY Center)",1,86,63,"W",23
"Purdue","2015-16","9626","2/2/2016","West Lafayette, Ind. (Mackey Arena)",0,87,67,"W",20
"Michigan State","2015-16","9627","2/5/2016","College Park, Md. (XFINITY Center)",1,85,76,"W",9
"Ohio State","2015-16","9628","2/8/2016","Columbus, Ohio (Value City Arena)",0,86,94,"L",-8
"Purdue","2015-16","9629","2/11/2016","College Park, Md. (XFINITY Center)",1,73,59,"W",14
"Northwestern","2015-16","9630","2/14/2016","Evanston, Ill. (Welsh-Ryan Arena)",0,79,70,"W",9
"Michigan","2015-16","9631","2/17/2016","College Park, Md. (XFINITY Center)",1,76,56,"W",20
"Rutgers","2015-16","9632","2/21/2016","Piscataway, N.J. (The RAC)",0,73,59,"W",14
"Wisconsin","2015-16","9633","2/25/2016","College Park, Md. (XFINITY Center)",1,83,77,"W",6
"Minnesota","2015-16","9634","2/28/2016","College Park, Md. (XFINITY Center)",1,110,77,"W",33
"Iowa","2015-16","9635","3/4/2016","Indianapolis, Ind. (Bankers Life FH)",1,75,55,"W",20
"Northwestern","2015-16","9636","3/5/2016","Indianapolis, Ind. (Bankers Life FH)",1,83,62,"W",21
"Michigan State","2015-16","9637","3/6/2016","Indianapolis, Ind. (Bankers Life FH)",1,60,44,"W",16
"Iona","2015-16","9638","3/19/2016","College Park, Md. (XFINITY Center)",1,74,58,"W",16
"Washington","2015-16","9639","3/21/2016","College Park, Md. (XFINITY Center)",1,65,74,"L",-9
"UMass-Lowell","2016-17","9665","11/13/2016","College Park, Md. (XFINITY Center)",1,100,44,"W",56
"Maryland Eastern Shore","2016-17","9666","11/16/2016","College Park, Md. (XFINITY Center)",1,106,61,"W",45
"Mount St. Mary's","2016-17","9668","11/18/2016","College Park, Md. (XFINITY Center)",1,106,42,"W",64
"Niagara","2016-17","9669","11/20/2016","Niagara Univ, N.Y. (Gallagher Center)",0,96,64,"W",32
"Arizona State","2016-17","9670","11/25/2016","Las Vegas, Nev. (South Point Casino)",0,83,42,"W",41
"Washington State","2016-17","9671","11/26/2016","Las Vegas, Nev. (South Point Casino)",1,79,69,"W",10
