"opponent","season","file_id","date","location","is_home","maryland_score","opponent_score","result","margin"
"Stanford","2021-22","12707","3/25/2022","Spokane Veterans Memorial Arena, Spokane, WA",0,66,72,"L",-6
"George Mason","2022-23","13134","11/7/2022","EagleBank Arena, Fairfax, VA",0,88,51,"W",37
"South Carolina","2022-23","13135","11/11/2022","XFINITY Center, College Park, MD",1,56,81,"L",-25
"Fordham","2022-23","13136","11/13/2022","XFINITY Center, College Park, MD",1,83,76,"W",7
"Davidson","2022-23","13137","11/16/2022","XFINITY Center, College Park, MD",1,70,52,"W",18
"Baylor","2022-23","13138","11/20/2022","Ferrell Center, Waco, TX",0,73,68,"W",5
"DePaul","2022-23","13139","11/25/2022","Suncoast Credit Union Arena, Fort Myers, FL",1,67,76,"L",-9
"Towson","2022-23","13150","11/26/2022","Suncoast Credit Union Arena, Fort Myers, FL",0,81,70,"W",11
"Pittsburgh","2022-23","13151","11/27/2022","Suncoast Credit Union Arena, Fort Myers, FL",1,87,63,"W",24
"Notre Dame","2022-23","13140","12/1/2022","Purcell Pavilion at the Joyce Center, Notre Dame, IN",0,74,72,"W",2
"Nebraska","2022-23","13175","12/4/2022","XFINITY Center, College Park, MD",1,67,90,"L",-23
"Purdue","2022-23","13176","12/8/2022","Mackey Arena, West Lafayette, IN",0,77,74,"W",3
"UConn","2022-23","13141","12/11/2022","XFINITY Center, College Park, MD",1,85,78,"W",7
"Purdue Fort Wayne","2022-23","13142","12/21/2022","Gates Sports Center, Fort Wayne, IN",0,88,51,"W",37
"Minnesota","2022-23","13177","12/30/2022","XFINITY Center, College Park, MD",1,107,85,"W",22
"Rutgers","2022-23","13178","1/2/2023","Jersey Mike's Arena, Piscataway, NJ",0,78,67,"W",11
"Michigan St.","2022-23","13179","1/7/2023","XFINITY Center, College Park, MD",1,94,85,"W",9
"Indiana","2022-23","13180","1/12/2023","Simon Skjodt Assembly Hall, Bloomington, IN",0,61,68,"L",-7
"Rutgers","2022-23","13181","1/15/2023","XFINITY Center, College Park, MD",1,80,56,"W",24
"Wisconsin","2022-23","13182","1/19/2023","Kohl Center, Madison, WI",0,77,64,"W",13
"Nebraska","2022-23","13183","1/22/2023","Pinnacle Bank Arena, Lincoln, NE",0,69,54,"W",15
"Michigan","2022-23","13184","1/26/2023","XFINITY Center, College Park, MD",1,72,64,"W",8
"Penn St.","2022-23","13185","1/30/2023","XFINITY Center, College Park, MD",1,87,66,"W",21
"Iowa","2022-23","13186","2/2/2023","Carver-Hawkeye Arena , Iowa City, IA",0,82,96,"L",-14
"Ohio St.","2022-23","13187","2/5/2023","XFINITY Center, College Park, MD",1,90,54,"W",36
"Northwestern","2022-23","13188","2/9/2023","Welsh-Ryan Arena, Evanston, IL",0,79,54,"W",25
"Illinois","2022-23","13189","2/12/2023","XFINITY Center, College Park, MD",1,82,71,"W",11
"Michigan St.","2022-23","13190","2/18/2023","Breslin Events Center, East Lansing, MI",0,66,61,"W",5
"Iowa","2022-23","13530","2/21/2023","XFINITY Center, College Park, MD",1,96,68,"W",28
"Ohio St.","2022-23","13192","2/24/2023","Value City Arena, Columbus, OH",0,76,74,"W",2
"Illinois","2022-23","13193","3/3/2023","Target Center, Minneapolis, MN",1,73,58,"W",15
"Iowa","2022-23","13547","3/4/2023","Target Center, Minneapolis, MN",0,84,89,"L",-5
"Holy Cross","2022-23","13194","3/17/2023","XFINITY Center, College Park, MD",1,93,61,"W",32
"Arizona","2022-23","13554","3/19/2023","XFINITY Center, College Park, MD",1,77,64,"W",13
"Notre Dame","2022-23","13195","3/25/2023","Bon Secours Wellness Arena, Greenville, SC",1,76,59,"W",17
"South Carolina","2022-23","13558","3/27/2023","Bon Secours Wellness Arena, Greenville, SC",0,75,86,"L",-11
"Harvard","2023-24","16457","11/6/2023","XFINITY Center, College Park, MD",1,98,75,"W",23
"South Carolina","2023-24","16458","11/12/2023","Colonial Life Arena, Columbia, SC",0,76,114,"L",-38
"UConn","2023-24","16459","11/16/2023","Harry A. Gampel Pavilion, Storrs, CT",0,48,80,"L",-32
"Syracuse","2023-24","16460","11/19/2023","XFINITY Center, College Park, MD",1,83,81,"W",2
"Washington St.","2023-24","16461","11/23/2023","Hard Rock Hotel Riviera Maya, Puerto Aventuras",0,67,87,"L",-20
"Green Bay","2023-24","16462","11/24/2023","Hard Rock Hotel Riviera Maya, Puerto Aventuras",1,68,59,"W",9
"Massachusetts","2023-24","16463","11/25/2023","Hard Rock Hotel Riviera Maya, Puerto Aventuras",1,92,63,"W",29
"Niagara","2023-24","16464","11/29/2023","XFINITY Center, College Park, MD",1,114,44,"W",70
"George Mason","2023-24","16465","12/3/2023","XFINITY Center, College Park, MD",1,86,77,"W",9
"Northwestern","2023-24","16538","12/10/2023","XFINITY Center, College Park, MD",1,71,58,"W",13
"Towson","2023-24","16466","12/12/2023","XFINITY Center, College Park, MD",1,99,51,"W",48
"James Madison","2023-24","16467","12/20/2023","XFINITY Center, College Park, MD",1,78,55,"W",23
"Nebraska","2023-24","16539","12/31/2023","Pinnacle Bank Arena, Lincoln, NE",0,81,87,"L",-6
"Minnesota","2023-24","16540","1/3/2024","Williams Arena, Minneapolis, MN",0,72,64,"W",8
"Michigan St.","2023-24","16542","1/9/2024","Breslin Events Center, East Lansing, MI",0,69,74,"L",-5
"Purdue","2023-24","17526","1/14/2024","XFINITY Center, College Park, MD",1,88,66,"W",22
"Ohio St.","2023-24","16543","1/17/2024","XFINITY Center, College Park, MD",1,76,84,"L",-8
"Illinois","2023-24","16544","1/20/2024","XFINITY Center, College Park, MD",1,90,82,"W",8
"Michigan","2023-24","16545","1/24/2024","Crisler Center, Ann Arbor, MI",0,77,79,"L",-2
"Penn St.","2023-24","16546","1/28/2024","Bryce Jordan Center, State College, PA",0,76,112,"L",-36
"Indiana","2023-24","16547","1/31/2024","XFINITY Center, College Park, MD",1,73,87,"L",-14
"Iowa","2023-24","16548","2/3/2024","XFINITY Center, College Park, MD",1,85,93,"L",-8
"Rutgers","2023-24","16549","2/6/2024","Jersey Mike's Arena, Piscataway, NJ",0,67,59,"W",8
"Illinois","2023-24","16550","2/11/2024","State Farm Center, Champaign, IL",0,69,53,"W",16
"Penn St.","2023-24","16551","2/18/2024","XFINITY Center, College Park, MD",1,77,62,"W",15
"Rutgers","2023-24","16552","2/21/2024","XFINITY Center, College Park, MD",1,81,62,"W",19
"Ohio St.","2023-24","16553","2/25/2024","Value City Arena, Columbus, OH",0,66,79,"L",-13
"Wisconsin","2023-24","16554","2/29/2024","XFINITY Center, College Park, MD",1,79,63,"W",16
"Indiana","2023-24","16555","3/3/2024","Simon Skjodt Assembly Hall, Bloomington, IN",0,54,71,"L",-17
"Illinois","2023-24","16556","3/7/2024","Target Center, Minneapolis, MN",1,75,65,"W",10
"Ohio St.","2023-24","17566","3/8/2024","Target Center, Minneapolis, MN",0,82,61,"W",21
"Nebraska","2023-24","17567","3/9/2024","Target Center, Minneapolis, MN",0,68,78,"L",-10
"Iowa St.","2023-24","16557","3/22/2024","Maples Pavilion, Stanford, CA",0,86,93,"L",-7
"Umbc","2024-25","18346","11/4/2024","Chesapeake Employers Insurance Arena, Baltimore, MD",0,74,32,"W",42
"Coppin St.","2024-25","18281","11/7/2024","XFINITY Center, College Park, MD",1,70,47,"W",23
"Duke","2024-25","18282","11/10/2024","XFINITY Center, College Park, MD",1,85,80,"W",5
"Syracuse","2024-25","18347","11/13/2024","JMA Wireless Dome, Syracuse, NY",0,84,73,"W",11
"Towson","2024-25","18286","11/17/2024","XFINITY Center, College Park, MD",1,98,63,"W",35
"Saint Francis","2024-25","18283","11/24/2024","XFINITY Center, College Park, MD",1,107,35,"W",72
"George Mason","2024-25","18348","11/30/2024","Alumni Hall, Annapolis, MD",1,66,56,"W",10
"Toledo","2024-25","18349","12/1/2024","Alumni Hall, Annapolis, MD",0,92,70,"W",22
"Mount St. Mary's","2024-25","18285","12/3/2024","XFINITY Center, College Park, MD",1,87,52,"W",35
"Purdue","2024-25","18350","12/7/2024","Mackey Arena, West Lafayette, IN",0,78,69,"W",9
"William & Mary","2024-25","18289","12/19/2024","XFINITY Center, College Park, MD",1,107,57,"W",50
"Michigan St.","2024-25","18351","12/29/2024","XFINITY Center, College Park, MD",1,72,66,"W",6
"Rutgers","2024-25","18352","1/2/2025","XFINITY Center, College Park, MD",1,78,61,"W",17
"Iowa","2024-25","18353","1/5/2025","Carver-Hawkeye Arena , Iowa City, IA",0,74,66,"W",8
"Southern California","2024-25","18354","1/8/2025","XFINITY Center, College Park, MD",1,74,79,"L",-5
"Wisconsin","2024-25","18355","1/11/2025","Kohl Center, Madison, WI",0,83,68,"W",15
"Minnesota","2024-25","18356","1/14/2025","XFINITY Center, College Park, MD",1,99,92,"W",7
"Texas","2024-25","18357","1/20/2025","Prudential Center, Newark, NJ",1,51,89,"L",-38
"Ohio St.","2024-25","18358","1/23/2025","Value City Arena, Columbus, OH",0,66,74,"L",-8
"Ucla","2024-25","18359","1/26/2025","XFINITY Center, College Park, MD",1,67,82,"L",-15
"Penn St.","2024-25","18360","1/29/2025","Rec Hall, State College, PA",0,82,73,"W",9
"Illinois","2024-25","18361","2/2/2025","XFINITY Center, College Park, MD",1,65,66,"L",-1
"Oregon","2024-25","18363","2/6/2025","Matthew Knight Arena, Eugene, OR",0,79,61,"W",18
"Washington","2024-25","18364","2/9/2025","Alaska Airlines Arena, Seattle, WA",0,81,73,"W",8
"Nebraska","2024-25","18365","2/13/2025","XFINITY Center, College Park, MD",1,71,91,"L",-20
"Michigan","2024-25","18366","2/17/2025","XFINITY Center, College Park, MD",1,85,77,"W",8
"Northwestern","2024-25","18367","2/20/2025","Welsh-Ryan Arena, Evanston, IL",0,85,79,"W",6
"Indiana","2024-25","18368","2/27/2025","Simon Skjodt Assembly Hall, Bloomington, IN",0,74,60,"W",14
"Ohio St.","2024-25","18369","3/2/2025","XFINITY Center, College Park, MD",1,93,90,"W",3
"Michigan","2024-25","18370","3/7/2025","Gainbridge Fieldhouse, Indianapolis, IN",1,71,98,"L",-27
"Norfolk St.","2024-25","18371","3/22/2025","XFINITY Center, College Park, MD",1,82,69,"W",13
"Alabama","2024-25","18730","3/24/2025","XFINITY Center, College Park, MD",1,111,108,"W",3
"South Carolina","2024-25","18372","3/28/2025","Legacy Arena, Birmingham, AL",0,67,71,"L",-4
"Loyola Maryland","2025-26","18928","11/3/2025","XFINITY Center, College Park, MD",1,80,26,"W",54
"Umbc","2025-26","18929","11/6/2025","XFINITY Center, College Park, MD",1,87,54,"W",33
"Georgetown","2025-26","18930","11/9/2025","XFINITY Center, College Park, MD",1,85,66,"W",19
"Towson","2025-26","18931","11/13/2025","XFINITY Center, College Park, MD",1,88,70,"W",18
"Princeton","2025-26","18932","11/16/2025","XFINITY Center, College Park, MD",1,84,68,"W",16
"Bethune-Cookman","2025-26","19716","11/20/2025","XFINITY Center, College Park, MD",1,95,49,"W",46
"George Mason","2025-26","18933","11/23/2025","XFINITY Center, College Park, MD",1,84,62,"W",22
"Kentucky","2025-26","18869","11/26/2025","Coliseo Guillermo Angulo, San Juan",1,74,66,"W",8
"Hofstra","2025-26","18870","11/27/2025","Coliseo Guillermo Angulo, San Juan",0,95,38,"W",57
"Mount St. Mary's","2025-26","18934","12/3/2025","XFINITY Center, College Park, MD",1,92,44,"W",48
"Minnesota","2025-26","19740","12/7/2025","Williams Arena, Minneapolis, MN",0,100,99,"W",1
"Delaware St.","2025-26","18935","12/10/2025","XFINITY Center, College Park, MD",1,91,21,"W",70
"Central Conn. St.","2025-26","18936","12/19/2025","XFINITY Center, College Park, MD",1,98,30,"W",68
"Wisconsin","2025-26","19741","12/29/2025","XFINITY Center, College Park, MD",1,97,59,"W",38
"Illinois","2025-26","19742","1/1/2026","State Farm Center, Champaign, IL",0,70,73,"L",-3
"Indiana","2025-26","19743","1/4/2026","XFINITY Center, College Park, MD",1,82,67,"W",15
"Rutgers","2025-26","19744","1/8/2026","Jersey Mike's Arena, Piscataway, NJ",0,88,41,"W",47
"Ohio St.","2025-26","19745","1/11/2026","XFINITY Center, College Park, MD",1,76,89,"L",-13
"Southern California","2025-26","19746","1/15/2026","Galen Center, Los Angeles, CA",0,62,55,"W",7
"Ucla","2025-26","19747","1/18/2026","Pauley Pavilion, Los Angeles, CA",0,67,97,"L",-30
"Iowa","2025-26","19748","1/22/2026","XFINITY Center, College Park, MD",1,78,85,"L",-7
"Washington","2025-26","19749","1/28/2026","XFINITY Center, College Park, MD",1,80,83,"L",-3
"Oregon","2025-26","19750","1/31/2026","XFINITY Center, College Park, MD",1,61,68,"L",-7
"Michigan St.","2025-26","19751","2/4/2026","Breslin Events Center, East Lansing, MI",0,86,70,"W",16
"Nebraska","2025-26","19752","2/7/2026","Pinnacle Bank Arena, Lincoln, NE",0,78,60,"W",18
"Penn St.","2025-26","19753","2/12/2026","XFINITY Center, College Park, MD",1,81,62,"W",19
"Ohio St.","2025-26","19754","2/15/2026","Schottenstein Center, Columbus, OH",0,76,75,"W",1
"Purdue","2025-26","19755","2/22/2026","XFINITY Center, College Park, MD",1,99,66,"W",33
"Northwestern","2025-26","19756","2/25/2026","XFINITY Center, College Park, MD",1,79,57,"W",22
"Michigan","2025-26","19757","2/28/2026","Crisler Center, Ann Arbor, MI",0,69,87,"L",-18
"Oregon","2025-26","19793","3/5/2026","Gainbridge Fieldhouse, Indianapolis, IN",1,68,73,"L",-5
"Murray St.","2025-26","19794","3/20/2026","Carmichael Arena, Chapel Hill, NC",1,99,67,"W",32
"North Carolina","2025-26","20082","3/22/2026","Carmichael Arena, Chapel Hill, NC",0,66,74,"L",-8
