"player_id","player_name","season","games","starts","minutes","points","fgm","fga","tpm","tpa","ftm","fta","offensive_rebounds","defensive_rebounds","rebounds","assists","steals","blocks","turnovers","personal_fouls","high_points","double_doubles","triple_doubles"
"kiara-leslie","Kiara Leslie","2015-16",32,7,363,141,53,130,10,26,25,35,42,53,95,31,13,9,29,41,22,0,0
"kristen-confroy","Kristen Confroy","2014-15",36,1,453,139,49,129,24,73,17,19,15,43,58,42,9,1,27,18,14,0,0
"kristen-confroy","Kristen Confroy","2015-16",35,24,1032,281,99,244,73,179,10,12,46,100,146,64,32,4,44,34,24,1,0
"kristen-confroy","Kristen Confroy","2016-17",35,34,954,178,62,146,44,115,10,12,37,93,130,75,45,3,29,39,17,0,0
"kristen-confroy","Kristen Confroy","2017-18",34,33,1103,324,112,257,76,169,24,31,68,107,175,94,57,1,54,37,23,1,0
"kyndal-walker","Kyndal Walker","2025-26",32,4,712,218,68,185,3,25,79,98,31,53,84,70,35,2,41,55,20,0,0
"laeticia-amihere","Laeticia Amihere","2022-23",22,0,114,23,9,29,0,2,5,6,7,12,19,4,2,1,6,13,5,0,0
"laurin-mincy","Laurin Mincy","2014-15",37,37,1121,499,158,357,47,122,136,158,49,100,149,125,30,6,90,66,28,1,0
"lavender-briggs","Lavender Briggs","2022-23",34,4,853,252,99,248,29,73,25,28,46,97,143,43,21,15,39,52,19,0,0
"lavender-briggs","Lavender Briggs","2022-23",1,1,18,1,0,5,0,1,1,1,2,1,3,2,0,0,2,0,1,0,0
"lavender-briggs","Lavender Briggs","2023-24",21,10,569,182,77,189,15,40,13,18,34,72,106,27,13,4,26,41,25,0,0
"lea-bartelme","Lea Bartelme","2025-26",4,4,80,27,11,21,3,7,2,3,7,5,12,15,3,0,9,8,13,0,0
"lexie-brown","Lexie Brown","2014-15",36,36,1143,480,159,384,69,200,93,112,14,104,118,163,80,0,97,53,27,0,0
"lindsey-doucette","Lindsey DOUCETTE","2015-16",20,0,114,30,12,23,0,2,6,13,15,27,42,3,5,1,4,11,7,0,0
"maddy-westbeld","Maddy Westbeld","2022-23",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"malina-howard","Malina Howard","2014-15",37,37,850,214,86,184,1,9,41,57,69,99,168,44,22,20,52,78,16,2,0
"malina-howard","Malina Howard","2015-16",35,28,744,184,77,142,0,1,30,41,57,97,154,39,18,22,36,63,15,0,0
"mary-sareen","Mary Sareen","2023-24",7,0,12,2,1,4,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0
"marya-boiko","Marya Boiko","2025-26",29,0,373,93,35,81,0,2,23,26,26,45,71,27,14,20,29,24,10,0,0
"mimi-collins","Mimi Collins","2020-21",29,23,716,306,122,234,14,36,48,59,58,121,179,39,27,10,41,61,22,3,0
"mimi-collins","Mimi Collins","2021-22",32,15,805,252,103,250,14,43,32,36,46,106,152,24,25,11,24,55,21,0,0
"mir-mclean","Mir McLean","2024-25",33,0,511,136,43,96,0,2,50,66,57,86,143,31,24,1,37,53,12,1,0
"mir-mclean","Mir McLean","2025-26",32,8,465,157,59,92,0,0,39,56,64,67,131,24,31,6,27,47,19,2,0
"morgan-lenahan","Morgan Lenahan","2019-20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"naz-hillmon","Naz Hillmon","2019-20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nicole-fritea","Nicole Fritea","2025-26",12,0,53,12,4,8,1,1,3,6,4,7,11,1,1,4,3,4,3,0,0
"olivia-owens","Olivia Owens","2018-19",16,0,70,24,11,20,0,0,2,5,8,12,20,1,2,2,8,24,5,0,0
"oluchi-okananwa","Oluchi Okananwa","2025-26",33,33,884,586,219,423,24,81,124,167,106,72,178,67,74,8,86,76,34,3,0
"rainey-welson","Rainey Welson","2025-26",25,0,315,97,35,96,19,60,8,9,8,11,19,16,10,0,16,23,13,0,0
"riley-nelson","Riley Nelson","2023-24",16,0,225,81,31,70,3,16,16,21,8,12,20,13,5,2,11,14,15,0,0
"s-walker-kimbrough","S. Walker-Kimbrough","2014-15",37,37,1093,492,196,382,18,53,82,102,54,141,195,79,55,20,77,61,25,1,0
"s-walker-kimbrough","S. Walker-Kimbrough","2015-16",35,35,1096,681,247,455,73,134,114,141,39,170,209,116,67,37,118,51,41,4,0
"s-walker-kimbrough","S. Walker-Kimbrough","2016-17",35,34,1023,657,237,451,72,160,111,136,29,100,129,125,68,26,101,44,29,1,0
"sara-vujacic","Sara Vujacic","2018-19",31,0,362,92,32,91,17,54,11,11,12,25,37,19,11,4,16,35,13,0,0
"sara-vujacic","Sara Vujacic","2019-20",28,1,269,98,36,70,21,47,5,9,5,19,24,19,14,1,9,12,15,0,0
"sarah-myers","Sarah Myers","2016-17",28,0,218,39,15,39,4,14,5,8,3,29,32,27,11,3,14,19,6,0,0
"sarah-myers","Sarah Myers","2017-18",32,2,373,61,19,62,4,24,19,21,7,29,36,34,11,3,31,20,8,0,0
"sarah-myers","Sarah Myers","2018-19",22,0,138,19,5,21,2,9,7,10,9,17,26,16,8,1,7,4,7,0,0
"sarah-te-biasu","Sarah Te-Biasu","2024-25",32,30,1041,340,119,265,67,149,35,37,10,51,61,83,25,1,51,49,26,0,0
"saylor-poffenbarger","Saylor Poffenbarger","2024-25",30,17,796,274,93,243,38,127,50,58,35,181,216,58,29,21,67,51,19,5,0
"saylor-poffenbarger","Saylor Poffenbarger","2025-26",31,31,926,295,106,275,46,149,37,50,39,184,223,100,60,20,66,56,30,5,0
"shakira-austin","Shakira Austin","2018-19",34,21,796,285,108,250,0,0,69,144,98,226,324,38,36,89,57,75,17,9,0
"shakira-austin","Shakira Austin","2019-20",32,26,757,383,141,277,0,1,101,157,62,156,218,53,57,41,92,89,25,6,0
"shyanne-sellers","Shyanne Sellers","2021-22",32,10,846,247,91,220,32,101,33,46,34,88,122,83,56,7,43,70,17,1,0
"shyanne-sellers","Shyanne Sellers","2022-23",35,30,993,486,176,362,25,72,109,135,36,133,169,136,63,20,84,101,26,2,0
"shyanne-sellers","Shyanne Sellers","2023-24",32,32,1034,498,160,369,21,66,157,185,33,153,186,177,41,20,109,90,29,4,0
"shyanne-sellers","Shyanne Sellers","2024-25",30,30,887,430,146,315,30,74,108,123,14,98,112,123,27,6,101,67,28,1,0
"shyanne-sellers","Shyanne Sellers","2024-25",1,1,35,15,5,12,1,2,4,6,1,5,6,4,1,1,2,3,15,0,0
"stephanie-jones","Stephanie Jones","2016-17",34,0,311,138,62,103,0,0,14,37,33,35,68,11,16,2,13,37,8,0,0
"stephanie-jones","Stephanie Jones","2017-18",34,34,820,367,147,250,0,2,73,102,107,115,222,32,55,30,47,99,24,2,0
"stephanie-jones","Stephanie Jones","2018-19",34,34,908,435,180,305,1,2,74,96,87,118,205,30,36,23,45,91,21,3,0
"stephanie-jones","Stephanie Jones","2019-20",32,22,788,362,158,263,2,7,44,58,91,107,198,30,44,23,38,69,21,5,0
"taisiya-kozlova","Taisiya Kozlova","2020-21",20,0,195,45,16,37,9,20,4,4,3,15,18,4,4,1,8,21,8,0,0
"taisiya-kozlova","Taisiya Kozlova","2021-22",21,0,219,28,10,34,7,22,1,4,4,17,21,3,5,2,11,19,6,0,0
"taylor-mikesell","Taylor Mikesell","2018-19",34,34,1180,456,159,377,95,231,43,50,9,110,119,113,27,6,88,42,23,0,0
"taylor-mikesell","Taylor Mikesell","2019-20",32,32,952,359,124,306,90,212,21,23,7,72,79,75,45,6,61,23,23,0,0
"tierney-pfirman","Tierney Pfirman","2014-15",35,0,482,170,79,153,1,3,11,18,53,83,136,23,17,8,25,22,16,1,0
"tierney-pfirman","Tierney Pfirman","2015-16",29,2,499,265,117,240,20,46,11,14,41,101,142,30,27,4,21,35,29,1,0
"tonie-morgan","Tonie Morgan","2025-26",7,0,73,26,8,12,2,3,8,11,5,4,9,1,2,1,5,6,7,0,0
"yarden-garzon","Yarden Garzon","2025-26",33,33,1063,412,148,365,88,240,28,32,27,104,131,99,35,12,66,85,25,0,0
"zen-nuako","Zen Nuako","2023-24",7,0,10,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"zoe-young","Zoe Young","2020-21",15,0,100,19,7,22,3,14,2,2,3,1,4,14,3,0,8,3,5,0,0
