"official","games","first_season","last_season","umd_wins","umd_losses","avg_fouls_total","avg_fouls_umd","avg_fouls_opp","avg_fta_umd","avg_fta_opp"
"Amy Bonner",12,"2014-15","2019-20",11,1,36.4,18.2,18.2,22.6,18.2
"Lisa Jones",12,"2018-19","2025-26",7,5,36.4,18.0,18.4,20.7,15.2
"Doug Knight",10,"2015-16","2025-26",8,2,30.7,13.4,17.3,19.2,10.8
"Denise Brooks",9,"2014-15","2019-20",7,2,30.4,13.8,16.7,16.2,11.6
"Fatou Cissoko-Stephens",8,"2014-15","2025-26",6,2,30.5,14.9,15.6,17.5,13.0
"Karleena Tobin",8,"2018-19","2021-22",7,1,30.5,13.5,17.0,22.2,12.9
"Kenya Kirkland",8,"2023-24","2025-26",6,2,33.4,14.2,19.1,23.0,12.5
"Pualani Spurlock",7,"2014-15","2020-21",6,1,33.3,15.4,17.9,20.9,14.3
"Bob Trammell",7,"2014-15","2017-18",7,0,29.0,13.3,15.7,15.0,12.4
"Talisa Green",7,"2016-17","2021-22",6,1,33.7,17.7,16.0,21.4,19.4
"Missy Brooks",6,"2014-15","2025-26",6,0,31.5,15.3,16.2,19.2,13.0
"Kevin Pethel",6,"2017-18","2024-25",6,0,35.2,15.8,19.3,22.8,13.2
"Kelsey Reynolds",6,"2019-20","2021-22",5,1,34.2,14.7,19.5,23.3,12.5
"Bob Enterline",5,"2014-15","2020-21",5,0,35.4,17.2,18.2,22.4,16.2
"Billy Smith",5,"2014-15","2019-20",5,0,35.4,16.8,18.6,24.2,16.0
"Katie Lukanich",5,"2016-17","2020-21",5,0,32.2,15.8,16.4,16.2,13.2
"Starr Jefferson",5,"2018-19","2020-21",5,0,31.8,14.6,17.2,22.2,12.4
"Dawn Marsh",5,"2018-19","2020-21",4,1,35.6,18.6,17.0,19.8,16.6
"Brad Maxey",5,"2020-21","2025-26",4,1,36.4,16.6,19.8,18.0,15.0
"Jamie Broderick",5,"2022-23","2025-26",5,0,33.4,14.2,19.2,22.0,10.0
"Ifeyinwa Seales",5,"2022-23","2025-26",4,1,38.4,18.2,20.2,24.8,15.6
"Melissa Barlow",5,"2024-25","2025-26",5,0,38.6,17.4,21.2,22.8,17.6
"Jennifer Rezac",4,"2014-15","2021-22",2,2,36.0,18.2,17.8,21.0,15.8
"Bill Larance",4,"2014-15","2025-26",3,1,38.5,19.5,19.0,20.5,20.0
"Eric Brewton",4,"2014-15","2022-23",3,1,31.2,15.8,15.5,14.2,13.8
"An-Jamilah Gregory",4,"2015-16","2017-18",4,0,32.2,14.5,17.8,21.2,11.2
"Rachelle Jones",4,"2015-16","2017-18",3,1,30.0,15.2,14.8,16.0,17.5
"Tom Hallead",4,"2015-16","2020-21",4,0,32.2,14.5,17.8,21.5,14.5
"Michol Murray",4,"2016-17","2025-26",2,2,35.8,17.5,18.2,18.5,19.8
"Erika Herriman-Camarota",4,"2017-18","2020-21",4,0,31.2,16.0,15.2,16.2,14.2
"Susan Blauch",4,"2017-18","2017-18",4,0,32.0,14.5,17.5,22.5,14.0
"John Capolino",4,"2017-18","2024-25",4,0,32.8,15.5,17.2,19.8,11.8
"Ashlee Goode",4,"2023-24","2025-26",4,0,31.5,13.8,17.8,19.8,12.2
"Timothy Daley",4,"2024-25","2025-26",3,1,39.8,18.0,21.8,25.5,17.8
"Kylie Galloway",3,"2014-15","2020-21",3,0,34.3,17.7,16.7,16.7,15.7
"Dee Kanter",3,"2014-15","2022-23",3,0,27.3,14.3,13.0,14.3,11.7
"Joe Vaszily",3,"2014-15","2022-23",1,2,36.3,19.7,16.7,17.3,19.0
"Tiffany Bird",3,"2015-16","2024-25",2,1,31.7,16.7,15.0,17.0,17.3
"Kenneth Kelly",3,"2016-17","2022-23",3,0,31.7,16.7,15.0,19.3,19.7
"Tom Danaher",3,"2018-19","2022-23",3,0,30.0,14.0,16.0,18.0,11.3
"Karen Preato",3,"2018-19","2024-25",3,0,29.7,13.3,16.3,19.7,10.7
"Kristen Bell",3,"2020-21","2024-25",3,0,26.7,11.0,15.7,14.0,12.0
"Angel Kent",3,"2021-22","2024-25",2,1,33.0,18.7,14.3,17.3,17.3
"Kara Hunter",3,"2022-23","2024-25",3,0,35.0,14.7,20.3,24.0,12.0
"Angela Enlund",3,"2022-23","2025-26",3,0,30.0,15.7,14.3,17.3,11.0
"Josh Howell",3,"2023-24","2023-24",2,1,39.3,15.3,24.0,30.3,14.3
"Courtney Robinson",3,"2023-24","2024-25",3,0,32.3,14.3,18.0,19.3,8.7
"Kalei Enterline",3,"2023-24","2025-26",3,0,39.3,16.0,23.3,28.7,17.3
"Xiomara Cruz-Johnson",3,"2023-24","2025-26",3,0,37.7,19.3,18.3,20.0,20.7
