"source_id","file_id","period","time_remaining","seconds_elapsed","team","player_name","player_number","trip_size","made","missed","trip_result","first_attempt_made","margin_before","clutch","trip_context"
"2018-19","9887",4,61,2339,"George Washington","Olivia GUMBS",12,2,1,1,"1/2",1,-45,0,""
"2018-19","9888",1,8,592,"#10/11 South Carolina","Te'a COOPER",2,2,1,1,"1/2",1,-4,0,""
"2018-19","9888",2,272,928,"Maryland","Stephanie Jones",24,2,2,0,"2/2",1,11,0,""
"2018-19","9888",3,559,1241,"#10/11 South Carolina","Alexis JENNINGS",35,2,1,1,"1/2",0,-22,0,""
"2018-19","9888",3,368,1432,"Maryland","Shakira Austin",1,2,0,2,"0/2",0,13,0,""
"2018-19","9888",3,309,1491,"#10/11 South Carolina","Tyasha HARRIS",52,2,1,1,"1/2",0,-13,0,""
"2018-19","9888",3,259,1541,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,13,0,""
"2018-19","9888",3,245,1555,"#10/11 South Carolina","M. HERBERT HARRIGAN",21,2,1,1,"1/2",0,-15,0,""
"2018-19","9888",3,189,1611,"#10/11 South Carolina","Tyasha HARRIS",52,2,1,1,"1/2",1,-14,0,""
"2018-19","9888",3,73,1727,"#10/11 South Carolina","Victaria SAXTON",5,2,2,0,"2/2",1,-15,0,""
"2018-19","9888",3,67,1733,"Maryland","Kaila Charles",5,2,1,1,"1/2",0,13,0,""
"2018-19","9888",4,543,1857,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,16,0,""
"2018-19","9888",4,295,2105,"Maryland","Taylor Mikesell",11,1,1,0,"1/1",1,23,0,"other"
"2018-19","9888",4,262,2138,"Maryland","Blair Watson",22,2,2,0,"2/2",1,24,0,""
"2018-19","9888",4,115,2285,"Maryland","Taylor Mikesell",11,2,2,0,"2/2",1,25,0,""
"2018-19","9888",4,20,2380,"#10/11 South Carolina","Victaria SAXTON",5,2,1,1,"1/2",0,-25,0,""
"2018-19","9889",1,398,202,"Maryland","Stephanie Jones",24,1,1,0,"1/1",1,2,0,"other"
"2018-19","9889",1,361,239,"Maryland","Taylor Mikesell",11,2,2,0,"2/2",1,1,0,""
"2018-19","9889",1,262,338,"Georgia","Taja COLE",0,2,1,1,"1/2",0,-4,0,""
"2018-19","9889",2,576,624,"Georgia","Taja COLE",0,2,1,1,"1/2",1,-10,0,""
"2018-19","9889",2,370,830,"Maryland","Stephanie Jones",24,2,1,1,"1/2",0,14,0,""
"2018-19","9889",2,251,949,"Maryland","Brianna Fraser",34,2,2,0,"2/2",1,11,0,""
"2018-19","9889",2,87,1113,"Georgia","Gabby CONNALLY",2,2,2,0,"2/2",1,-11,0,""
"2018-19","9889",2,72,1128,"Maryland","Channise Lewis",3,2,1,1,"1/2",0,9,0,""
"2018-19","9889",2,25,1175,"Maryland","Shakira Austin",1,2,0,2,"0/2",0,10,0,""
"2018-19","9889",2,2,1198,"Georgia","Caliya ROBINSON",4,2,0,2,"0/2",0,-10,0,""
"2018-19","9889",3,423,1377,"Maryland","Shakira Austin",1,2,1,1,"1/2",0,1,0,""
"2018-19","9889",3,149,1651,"Maryland","Kaila Charles",5,2,1,1,"1/2",0,2,0,""
"2018-19","9889",4,534,1866,"Maryland","Shakira Austin",1,2,2,0,"2/2",1,5,0,""
"2018-19","9889",4,392,2008,"Georgia","Gabby CONNALLY",2,2,2,0,"2/2",1,-7,0,""
"2018-19","9889",4,224,2176,"Maryland","Brianna Fraser",34,2,2,0,"2/2",1,5,1,""
"2018-19","9889",4,23,2377,"Maryland","Taylor Mikesell",11,2,1,1,"1/2",0,4,1,""
"2018-19","9889",4,9,2391,"Maryland","Taylor Mikesell",11,2,2,0,"2/2",1,5,1,""
"2018-19","9890",1,61,539,"Maryland","Shakira Austin",1,2,0,2,"0/2",0,2,0,""
"2018-19","9890",2,202,998,"Morgan State","Naomi Bolasighn",12,2,1,1,"1/2",1,-7,0,""
"2018-19","9890",3,578,1222,"Maryland","Kaila Charles",5,2,1,1,"1/2",0,6,0,""
"2018-19","9890",3,566,1234,"Morgan State","Elizabeth Sherrill",24,2,1,1,"1/2",0,-7,0,""
"2018-19","9890",3,210,1590,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,15,0,""
"2018-19","9890",3,155,1645,"Maryland","Brianna Fraser",34,2,1,1,"1/2",0,17,0,""
"2018-19","9890",3,7,1793,"Morgan State","Adreoria Coleman",21,2,1,1,"1/2",1,-16,0,""
"2018-19","9890",4,391,2009,"Maryland","Kaila Charles",5,1,1,0,"1/1",1,21,0,"other"
"2018-19","9890",4,246,2154,"Morgan State","Naomi Bolasighn",12,1,0,1,"0/1",0,-22,0,"other"
"2018-19","9890",4,212,2188,"Morgan State","Naomi Bolasighn",12,1,1,0,"1/1",1,-22,0,"other"
"2018-19","9890",4,154,2246,"Maryland","Brianna Fraser",34,2,1,1,"1/2",0,19,0,""
"2018-19","9891",1,558,42,"Maryland","Taylor Mikesell",11,2,2,0,"2/2",1,0,0,""
"2018-19","9891",1,275,325,"Maryland","Shakira Austin",1,1,1,0,"1/1",1,9,0,"and_one"
"2018-19","9891",1,257,343,"Georgia Tech","Lorela Cubaj",13,2,0,2,"0/2",0,-10,0,""
"2018-19","9891",3,489,1311,"Georgia Tech","Kierra Fletcher",41,2,2,0,"2/2",1,-17,0,""
"2018-19","9891",3,435,1365,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,15,0,""
"2018-19","9891",3,77,1723,"Georgia Tech","Kierra Fletcher",41,2,2,0,"2/2",1,-7,0,""
"2018-19","9891",4,531,1869,"Maryland","Kaila Charles",5,1,1,0,"1/1",1,3,0,"and_one"
"2018-19","9891",4,438,1962,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,6,0,""
"2018-19","9891",4,353,2047,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,10,0,""
"2018-19","9891",4,285,2115,"Maryland","Blair Watson",22,2,2,0,"2/2",1,9,0,""
"2018-19","9891",4,211,2189,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,8,0,""
"2018-19","9891",4,111,2289,"Maryland","Stephanie Jones",24,2,1,1,"1/2",1,8,0,""
"2018-19","9891",4,46,2354,"Maryland","Blair Watson",22,2,2,0,"2/2",1,11,0,""
"2018-19","9892",1,563,37,"Maryland","Stephanie Jones",24,2,1,1,"1/2",0,2,0,""
"2018-19","9892",1,504,96,"Maryland","Channise Lewis",3,1,0,1,"0/1",0,8,0,"and_one"
"2018-19","9892",1,376,224,"Maryland","Blair Watson",22,1,1,0,"1/1",1,7,0,"and_one"
"2018-19","9892",1,201,399,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,13,0,""
"2018-19","9892",1,132,468,"Maryland","Shakira Austin",1,1,1,0,"1/1",1,13,0,"and_one"
"2018-19","9892",1,38,562,"Maryland","Sarah Myers",21,2,2,0,"2/2",1,11,0,""
"2018-19","9892",2,498,702,"Umbc","Kristen Teklits",23,2,0,2,"0/2",0,-14,0,""
"2018-19","9892",2,338,862,"Maryland","Shakira Austin",1,2,0,2,"0/2",0,19,0,""
"2018-19","9892",2,288,912,"Maryland","Stephanie Jones",24,1,0,1,"0/1",0,23,0,"and_one"
"2018-19","9892",2,262,938,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,26,0,""
"2018-19","9892",2,257,943,"Maryland","Taylor Mikesell",11,2,1,1,"1/2",1,27,0,""
"2018-19","9892",2,86,1114,"Maryland","Taylor Mikesell",11,2,1,1,"1/2",0,26,0,""
"2018-19","9892",2,71,1129,"Umbc","Kayla Jackson",22,1,1,0,"1/1",1,-25,0,"other"
"2018-19","9892",2,2,1198,"Umbc","Te'yJah Oliver",3,2,1,1,"1/2",1,-29,0,""
"2018-19","9892",3,391,1409,"Maryland","Shakira Austin",1,1,0,1,"0/1",0,22,0,"and_one"
"2018-19","9892",3,388,1412,"Maryland","Sarah Myers",21,2,1,1,"1/2",0,22,0,""
"2018-19","9892",3,55,1745,"Maryland","Sarah Myers",21,2,1,1,"1/2",1,34,0,""
"2018-19","9892",3,18,1782,"Maryland","Kaila Charles",5,2,1,1,"1/2",0,35,0,""
"2018-19","9892",4,562,1838,"Umbc","Tyler Moore",42,2,2,0,"2/2",1,-33,0,""
"2018-19","9892",4,502,1898,"Maryland","Sara Vujacic",32,2,2,0,"2/2",1,31,0,""
"2018-19","9892",4,89,2311,"Maryland","Shakira Austin",1,2,2,0,"2/2",1,29,0,""
"2018-19","9892",4,53,2347,"Umbc","Tania Hill",0,2,1,1,"1/2",0,-31,0,""
"2018-19","9892",4,35,2365,"Maryland","Olivia Owens",35,2,1,1,"1/2",1,30,0,""
"2018-19","9893",1,502,98,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,2,0,""
"2018-19","9893",1,313,287,"Maryland","Kaila Charles",5,1,0,1,"0/1",0,2,0,"other"
"2018-19","9893",1,134,466,"James Madison","Devon Merritt",42,2,2,0,"2/2",1,-6,0,""
"2018-19","9893",2,381,819,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,10,0,""
"2018-19","9893",2,315,885,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,12,0,""
"2018-19","9893",2,239,961,"James Madison","Madison Green",4,2,1,1,"1/2",0,-16,0,""
"2018-19","9893",2,73,1127,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,20,0,""
"2018-19","9893",3,432,1368,"James Madison","Devon Merritt",42,1,1,0,"1/1",1,-23,0,"other"
"2018-19","9893",3,391,1409,"Maryland","Stephanie Jones",24,2,1,1,"1/2",1,24,0,""
"2018-19","9893",3,356,1444,"Maryland","Brianna Fraser",34,2,2,0,"2/2",1,23,0,""
"2018-19","9893",3,225,1575,"Maryland","Brianna Fraser",34,2,1,1,"1/2",0,25,0,""
