scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Stephanie Jones,123,8,1,122,247,2.01
Taylor Mikesell,110,9,89,21,309,2.81
Kaila Charles,92,8,1,91,185,2.01
Blair Watson,78,8,56,22,212,2.72
Brianna Fraser,61,8,0,61,122,2.0
Shakira Austin,53,7,0,53,106,2.0
Sara Vujacic,20,8,15,5,55,2.75
Channise Lewis,17,5,13,4,47,2.76
Olivia Owens,8,4,0,8,16,2.0
Sarah Myers,3,3,2,1,8,2.67
