source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2018,9885,1,579,05,Kaila Charles,1,11,Taylor Mikesell,3PTR,3,3.0,0.0,11 Taylor Mikesell 3PTR GOOD (3 Pt); 05 Kaila Charles Assist (1 Asst)
2018,9885,1,470,24,Stephanie Jones,1,03,Channise Lewis,3PTR,3,9.0,4.0,03 Channise Lewis 3PTR GOOD (3 Pt); 24 Stephanie Jones Assist (1 Asst)
2018,9885,1,443,05,Kaila Charles,2,11,Taylor Mikesell,3PTR,3,12.0,4.0,11 Taylor Mikesell 3PTR GOOD (6 Pt); 05 Kaila Charles Assist (2 Asst)
2018,9885,1,421,05,Kaila Charles,3,11,Taylor Mikesell,JUMPER,2,14.0,4.0,11 Taylor Mikesell JUMPER GOOD (8 Pt); 05 Kaila Charles Assist (3 Asst)
2018,9885,1,357,05,Kaila Charles,4,01,Shakira Austin,JUMPER,2,16.0,8.0,01 Shakira Austin JUMPER GOOD (2 Pt); 05 Kaila Charles Assist (4 Asst)
2018,9885,1,323,11,Taylor Mikesell,1,34,Brianna Fraser,JUMPER,2,18.0,10.0,34 Brianna Fraser JUMPER GOOD (2 Pt); 11 Taylor Mikesell Assist (1 Asst)
2018,9885,1,292,11,Taylor Mikesell,2,05,Kaila Charles,LAYUP,2,20.0,10.0,05 Kaila Charles LAYUP GOOD (5 Pt); 11 Taylor Mikesell Assist (2 Asst)
2018,9885,1,195,32,Sara Vujacic,1,01,Shakira Austin,LAYUP,2,24.0,10.0,01 Shakira Austin LAYUP GOOD (4 Pt); 32 Sara Vujacic Assist (1 Asst)
2018,9885,1,136,32,Sara Vujacic,2,24,Stephanie Jones,LAYUP,2,26.0,10.0,24 Stephanie Jones LAYUP GOOD (2 Pt); 32 Sara Vujacic Assist (2 Asst)
2018,9885,1,109,03,Channise Lewis,1,32,Sara Vujacic,3PTR,3,29.0,13.0,32 Sara Vujacic 3PTR GOOD (3 Pt); 03 Channise Lewis Assist (1 Asst)
2018,9885,2,377,11,Taylor Mikesell,3,22,Blair Watson,3PTR,3,41.0,13.0,22 Blair Watson 3PTR GOOD (3 Pt); 11 Taylor Mikesell Assist (3 Asst)
2018,9885,3,520,03,Channise Lewis,2,05,Kaila Charles,LAYUP,2,53.0,22.0,05 Kaila Charles LAYUP GOOD (9 Pt); 03 Channise Lewis Assist (2 Asst)
2018,9885,3,418,34,Brianna Fraser,1,24,Stephanie Jones,LAYUP,2,58.0,24.0,24 Stephanie Jones LAYUP GOOD (9 Pt); 34 Brianna Fraser Assist (1 Asst)
2018,9885,3,364,24,Stephanie Jones,2,22,Blair Watson,LAYUP,2,60.0,25.0,22 Blair Watson LAYUP GOOD (5 Pt); 24 Stephanie Jones Assist (2 Asst)
2018,9885,3,63,21,Sarah Myers,1,11,Taylor Mikesell,3PTR,3,68.0,28.0,11 Taylor Mikesell 3PTR GOOD (15 Pt); 21 Sarah Myers Assist (1 Asst)
2018,9885,3,43,11,Taylor Mikesell,4,24,Stephanie Jones,JUMPER,2,70.0,30.0,24 Stephanie Jones JUMPER GOOD (13 Pt); 11 Taylor Mikesell Assist (4 Asst)
2018,9885,4,502,35,Olivia Owens,1,11,Taylor Mikesell,3PTR,3,75.0,32.0,11 Taylor Mikesell 3PTR GOOD (18 Pt); 35 Olivia Owens Assist (1 Asst)
2018,9885,4,446,05,Kaila Charles,5,21,Sarah Myers,LAYUP,2,79.0,32.0,21 Sarah Myers LAYUP GOOD (4 Pt); 05 Kaila Charles Assist (5 Asst)
2018,9885,4,240,03,Channise Lewis,3,32,Sara Vujacic,3PTR,3,87.0,34.0,32 Sara Vujacic 3PTR GOOD (6 Pt); 03 Channise Lewis Assist (3 Asst)
2018,9885,4,172,32,Sara Vujacic,3,24,Stephanie Jones,JUMPER,2,89.0,34.0,24 Stephanie Jones JUMPER GOOD (15 Pt); 32 Sara Vujacic Assist (3 Asst)
2018,9886,1,483,11,Taylor Mikesell,1,05,Kaila Charles,JUMPER,2,2.0,6.0,05 Kaila Charles JUMPER GOOD (2 Pt); 11 Taylor Mikesell Assist (1 Asst)
2018,9886,1,422,03,Channise Lewis,1,24,Stephanie Jones,JUMPER,2,5.0,8.0,24 Stephanie Jones JUMPER GOOD (3 Pt); 03 Channise Lewis Assist (1 Asst)
2018,9886,1,353,34,Brianna Fraser,1,05,Kaila Charles,JUMPER,2,7.0,8.0,05 Kaila Charles JUMPER GOOD (4 Pt); 34 Brianna Fraser Assist (1 Asst)
2018,9886,1,322,03,Channise Lewis,2,22,Blair Watson,3PTR,3,10.0,8.0,22 Blair Watson 3PTR GOOD (3 Pt); 03 Channise Lewis Assist (2 Asst)
