assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Channise Lewis,Taylor Mikesell,41,118,2.88,36,5,4,1,0
Channise Lewis,Stephanie Jones,35,70,2.0,0,35,23,12,0
Channise Lewis,Kaila Charles,34,68,2.0,0,34,19,15,0
Channise Lewis,Blair Watson,32,90,2.81,26,6,2,4,0
Kaila Charles,Stephanie Jones,26,52,2.0,0,26,18,8,0
Taylor Mikesell,Kaila Charles,25,51,2.04,1,24,14,10,0
Taylor Mikesell,Blair Watson,24,67,2.79,19,5,1,4,0
Taylor Mikesell,Stephanie Jones,24,48,2.0,0,24,17,7,0
Blair Watson,Taylor Mikesell,22,58,2.64,14,8,5,3,0
Blair Watson,Stephanie Jones,18,36,2.0,0,18,12,6,0
Taylor Mikesell,Brianna Fraser,17,34,2.0,0,17,7,10,0
Channise Lewis,Shakira Austin,17,34,2.0,0,17,12,5,0
Kaila Charles,Taylor Mikesell,16,43,2.69,11,5,0,5,0
Blair Watson,Kaila Charles,14,28,2.0,0,14,13,1,0
Taylor Mikesell,Shakira Austin,12,24,2.0,0,12,10,2,0
Kaila Charles,Blair Watson,12,29,2.42,5,7,6,1,0
Kaila Charles,Shakira Austin,11,22,2.0,0,11,6,5,0
Channise Lewis,Brianna Fraser,11,22,2.0,0,11,9,2,0
Shakira Austin,Stephanie Jones,11,23,2.09,1,10,6,4,0
Stephanie Jones,Taylor Mikesell,11,33,3.0,11,0,0,0,0
Blair Watson,Brianna Fraser,10,20,2.0,0,10,7,3,0
Channise Lewis,Sara Vujacic,9,26,2.89,8,1,0,1,0
Kaila Charles,Brianna Fraser,9,18,2.0,0,9,6,3,0
Shakira Austin,Taylor Mikesell,8,24,3.0,8,0,0,0,0
Shakira Austin,Kaila Charles,7,14,2.0,0,7,5,2,0
Shakira Austin,Brianna Fraser,7,14,2.0,0,7,6,1,0
Blair Watson,Shakira Austin,7,14,2.0,0,7,6,1,0
Stephanie Jones,Channise Lewis,6,18,3.0,6,0,0,0,0
Brianna Fraser,Taylor Mikesell,6,16,2.67,4,2,2,0,0
Sara Vujacic,Stephanie Jones,5,10,2.0,0,5,4,1,0
Brianna Fraser,Kaila Charles,5,10,2.0,0,5,3,2,0
Stephanie Jones,Blair Watson,4,10,2.5,2,2,1,1,0
Sarah Myers,Kaila Charles,4,8,2.0,0,4,2,2,0
Taylor Mikesell,Channise Lewis,4,12,3.0,4,0,0,0,0
Blair Watson,Channise Lewis,4,9,2.25,1,3,3,0,0
Sarah Myers,Taylor Mikesell,3,8,2.67,2,1,1,0,0
Sara Vujacic,Brianna Fraser,3,6,2.0,0,3,1,2,0
Sara Vujacic,Olivia Owens,3,6,2.0,0,3,2,1,0
Taylor Mikesell,Sara Vujacic,3,9,3.0,3,0,0,0,0
Stephanie Jones,Shakira Austin,3,6,2.0,0,3,2,1,0
Stephanie Jones,Brianna Fraser,3,6,2.0,0,3,2,1,0
Brianna Fraser,Blair Watson,3,9,3.0,3,0,0,0,0
Sara Vujacic,Shakira Austin,2,4,2.0,0,2,2,0,0
Brianna Fraser,Stephanie Jones,2,4,2.0,0,2,2,0,0
Sarah Myers,Stephanie Jones,2,4,2.0,0,2,2,0,0
Brianna Fraser,Olivia Owens,2,4,2.0,0,2,2,0,0
Sara Vujacic,Kaila Charles,2,4,2.0,0,2,1,1,0
Shakira Austin,Sara Vujacic,2,5,2.5,1,1,0,1,0
Taylor Mikesell,Olivia Owens,2,4,2.0,0,2,1,1,0
Sara Vujacic,Taylor Mikesell,2,6,3.0,2,0,0,0,0
Brianna Fraser,Sara Vujacic,2,5,2.5,1,1,1,0,0
Shakira Austin,Channise Lewis,2,5,2.5,1,1,1,0,0
Olivia Owens,Taylor Mikesell,1,3,3.0,1,0,0,0,0
Kaila Charles,Sarah Myers,1,2,2.0,0,1,1,0,0
Sarah Myers,Olivia Owens,1,2,2.0,0,1,1,0,0
Sarah Myers,Blair Watson,1,2,2.0,0,1,1,0,0
Sarah Myers,Sara Vujacic,1,3,3.0,1,0,0,0,0
Sarah Myers,Shakira Austin,1,2,2.0,0,1,1,0,0
Shakira Austin,Blair Watson,1,3,3.0,1,0,0,0,0
Stephanie Jones,Kaila Charles,1,2,2.0,0,1,1,0,0
Kaila Charles,Sara Vujacic,1,2,2.0,0,1,0,1,0
Channise Lewis,Sarah Myers,1,3,3.0,1,0,0,0,0
Sarah Myers,Brianna Fraser,1,2,2.0,0,1,0,1,0
Sara Vujacic,Blair Watson,1,2,2.0,0,1,0,1,0
Stephanie Jones,Sara Vujacic,1,2,2.0,0,1,1,0,0
Blair Watson,Sarah Myers,1,3,3.0,1,0,0,0,0
Blair Watson,Sara Vujacic,1,3,3.0,1,0,0,0,0
Sarah Myers,Channise Lewis,1,3,3.0,1,0,0,0,0
