"source_id","file_id","team","period","score"
2018,10058,"Maryland",1,14
2018,10058,"Maryland",2,21
2018,10058,"Maryland",3,18
2018,10058,"Maryland",4,30
2018,10058,"Michigan",1,21
2018,10058,"Michigan",2,13
2018,10058,"Michigan",3,18
2018,10058,"Michigan",4,17
2018,9910,"Maryland",1,19
2018,9910,"Maryland",2,16
2018,9910,"Maryland",3,25
2018,9910,"Maryland",4,11
2018,9910,"Michigan State",1,15
2018,9910,"Michigan State",2,16
2018,9910,"Michigan State",3,10
2018,9910,"Michigan State",4,14
2018,10062,"Indiana",1,20
2018,10062,"Indiana",2,5
2018,10062,"Indiana",3,10
2018,10062,"Indiana",4,21
2018,10062,"Maryland",1,20
2018,10062,"Maryland",2,20
2018,10062,"Maryland",3,12
2018,10062,"Maryland",4,24
2018,10054,"Penn State",1,21
2018,10054,"Penn State",2,20
2018,10054,"Penn State",3,16
2018,10054,"Penn State",4,4
2018,10054,"Maryland",1,18
2018,10054,"Maryland",2,21
2018,10054,"Maryland",3,17
2018,10054,"Maryland",4,21
2018,10055,"Maryland",1,24
2018,10055,"Maryland",2,12
2018,10055,"Maryland",3,11
2018,10055,"Maryland",4,18
2018,10055,"Rutgers",1,28
2018,10055,"Rutgers",2,13
2018,10055,"Rutgers",3,6
2018,10055,"Rutgers",4,26
2018,10063,"Maryland",1,19
2018,10063,"Maryland",2,16
2018,10063,"Maryland",3,17
2018,10063,"Maryland",4,23
2018,10063,"Wisconsin",1,18
2018,10063,"Wisconsin",2,9
2018,10063,"Wisconsin",3,14
2018,10063,"Wisconsin",4,16
2018,9911,"Maryland",1,23
2018,9911,"Maryland",2,14
2018,9911,"Maryland",3,28
2018,9911,"Maryland",4,8
2018,9911,"Michigan",1,21
2018,9911,"Michigan",2,19
2018,9911,"Michigan",3,16
2018,9911,"Michigan",4,16
2018,10059,"Michigan State",1,25
2018,10059,"Michigan State",2,12
2018,10059,"Michigan State",3,22
2018,10059,"Michigan State",4,18
2018,10059,"Maryland",1,15
2018,10059,"Maryland",2,19
2018,10059,"Maryland",3,13
2018,10059,"Maryland",4,13
2018,10068,"Iowa",1,17
2018,10068,"Iowa",2,16
2018,10068,"Iowa",3,25
2018,10068,"Iowa",4,28
2018,10068,"Maryland",1,14
2018,10068,"Maryland",2,19
2018,10068,"Maryland",3,17
2018,10068,"Maryland",4,23
2018,9890,"Morgan State",1,13
2018,9890,"Morgan State",2,9
2018,9890,"Morgan State",3,13
2018,9890,"Morgan State",4,9
2018,9890,"Maryland",1,16
2018,9890,"Maryland",2,12
2018,9890,"Maryland",3,22
2018,9890,"Maryland",4,18
2018,10064,"Illinois",1,14
