team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Maryland,34,29,5,85.29411764705883,2551,75.02941176470588,2080,75.02941176470588,61.1764705882353,13.852941176470587,961,2076,46.29094412331406,190,529,35.916824196597354,439,628,69.90445859872611,50.86705202312138,54.223064889130725,0.302504816955684,1448,42.588235294117645,573,16.852941176470587,1.1083172147001934,255,7.5,181,5.323529411764706,517,15.205882352941176,546,16.058823529411764
Iowa,2,2,0,100.0,176,88.0,149,88.0,74.5,13.5,58,118,49.152542372881356,8,25,32.0,52,59,88.13559322033898,52.54237288135594,61.128091136426775,0.5,77,38.5,39,19.5,1.3928571428571428,15,7.5,8,4.0,28,14.0,26,13.0
Michigan State,2,1,1,50.0,132,66.0,131,66.0,65.5,0.5,45,117,38.46153846153847,10,34,29.411764705882355,32,44,72.72727272727273,42.73504273504273,48.40129070108536,0.37606837606837606,69,34.5,29,14.5,1.2083333333333333,15,7.5,6,3.0,24,12.0,40,20.0
Rutgers,2,1,1,50.0,121,60.5,127,60.5,63.5,-3.0,43,117,36.75213675213676,11,37,29.72972972972973,24,30,80.0,41.452991452991455,46.46697388632873,0.2564102564102564,62,31.0,27,13.5,0.84375,21,10.5,4,2.0,32,16.0,38,19.0
Ucla,1,1,0,100.0,85,85.0,80,85.0,80.0,5.0,29,80,36.25,7,24,29.166666666666668,20,21,95.23809523809523,40.625,47.62438368444644,0.2625,47,47.0,12,12.0,1.0,6,6.0,2,2.0,12,12.0,16,16.0
Michigan,2,0,2,0.0,141,70.5,156,70.5,78.0,-7.5,54,137,39.416058394160586,14,30,46.666666666666664,19,26,73.07692307692307,44.52554744525548,47.49393694421989,0.1897810218978102,75,37.5,35,17.5,1.5217391304347827,18,9.0,8,4.0,23,11.5,31,15.5
Indiana,1,0,1,0.0,56,56.0,76,56.0,76.0,-20.0,21,56,37.5,4,16,25.0,10,18,55.55555555555556,41.07142857142857,43.80475594493116,0.32142857142857145,35,35.0,10,10.0,0.5,8,8.0,5,5.0,20,20.0,13,13.0
Penn State,2,0,2,0.0,128,64.0,156,64.0,78.0,-14.0,45,126,35.714285714285715,13,44,29.545454545454547,25,41,60.97560975609756,40.87301587301587,44.43210219383505,0.3253968253968254,67,33.5,16,8.0,0.64,8,4.0,3,1.5,25,12.5,39,19.5
Wisconsin,1,0,1,0.0,57,57.0,75,57.0,75.0,-18.0,23,63,36.507936507936506,3,11,27.27272727272727,8,11,72.72727272727273,38.88888888888889,42.010613207547166,0.1746031746031746,31,31.0,16,16.0,1.0,8,8.0,3,3.0,16,16.0,12,12.0
Morgan State,1,0,1,0.0,44,44.0,68,44.0,68.0,-24.0,19,57,33.33333333333333,2,10,20.0,4,8,50.0,35.08771929824561,36.35161929940515,0.14035087719298245,19,19.0,3,3.0,0.25,10,10.0,0,0.0,12,12.0,16,16.0
Illinois,2,0,2,0.0,128,64.0,151,64.0,75.5,-11.5,48,125,38.4,18,45,40.0,14,22,63.63636363636363,45.6,47.52004752004752,0.176,67,33.5,31,15.5,1.24,11,5.5,7,3.5,25,12.5,32,16.0
Dayton,1,0,1,0.0,71,71.0,82,71.0,82.0,-11.0,26,66,39.39393939393939,13,30,43.333333333333336,6,11,54.54545454545454,49.24242424242424,50.112930547713155,0.16666666666666666,30,30.0,15,15.0,0.7894736842105263,7,7.0,4,4.0,19,19.0,21,21.0
George Washington,1,0,1,0.0,30,30.0,69,30.0,69.0,-39.0,10,57,17.543859649122805,5,21,23.809523809523807,5,11,45.45454545454545,21.929824561403507,24.256144890038808,0.19298245614035087,37,37.0,9,9.0,0.5294117647058824,4,4.0,0,0.0,17,17.0,9,9.0
Northwestern,1,0,1,0.0,57,57.0,72,57.0,72.0,-15.0,21,58,36.206896551724135,4,12,33.33333333333333,11,17,64.70588235294117,39.6551724137931,43.5247403787416,0.29310344827586204,26,26.0,10,10.0,1.1111111111111112,6,6.0,1,1.0,9,9.0,13,13.0
Georgia Tech,1,0,1,0.0,54,54.0,67,54.0,67.0,-13.0,22,58,37.93103448275862,6,15,40.0,4,6,66.66666666666666,43.103448275862064,44.52506596306068,0.10344827586206896,26,26.0,8,8.0,0.5333333333333333,14,14.0,3,3.0,15,15.0,17,17.0
Minnesota,1,0,1,0.0,69,69.0,71,69.0,71.0,-2.0,26,57,45.614035087719294,6,18,33.33333333333333,11,18,61.111111111111114,50.877192982456144,53.14232902033271,0.3157894736842105,42,42.0,11,11.0,0.6111111111111112,10,10.0,1,1.0,18,18.0,14,14.0
#10/11 South Carolina,1,0,1,0.0,61,61.0,85,61.0,85.0,-24.0,26,73,35.61643835616438,1,21,4.761904761904762,8,14,57.14285714285714,36.3013698630137,38.529560384032344,0.1917808219178082,29,29.0,10,10.0,1.0,9,9.0,5,5.0,10,10.0,13,13.0
