"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2018-19","Blair Watson",24,9,37.5,44,21,47.7,228,97,42.5
"2018-19","Brianna Fraser",32,17,53.1,29,19,65.5,186,93,50.0
"2018-19","Channise Lewis",8,3,37.5,27,11,40.7,137,53,38.7
"2018-19","Kaila Charles",90,47,52.2,100,55,55.0,454,221,48.7
"2018-19","Sara Vujacic",10,3,30.0,17,4,23.5,91,32,35.2
"2018-19","Shakira Austin",35,16,45.7,63,25,39.7,250,108,43.2
"2018-19","Stephanie Jones",88,53,60.2,39,21,53.8,304,179,58.9
"2018-19","Taylor Mikesell",55,22,40.0,102,38,37.3,372,157,42.2
"2018-19","TEAM",344,170,49.4,424,195,46.0,2063,956,46.3
