assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Channise Lewis,180,8,71,109,431,2.39
Taylor Mikesell,111,8,27,84,249,2.24
Blair Watson,77,8,17,60,171,2.22
Kaila Charles,76,7,16,60,168,2.21
Shakira Austin,38,7,12,26,88,2.32
Stephanie Jones,29,7,19,10,77,2.66
Brianna Fraser,20,6,8,12,48,2.4
Sara Vujacic,18,7,2,16,38,2.11
Sarah Myers,15,9,4,11,34,2.27
Olivia Owens,1,1,1,0,3,3.0
