scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Brionna Jones,146,9,0,146,292,2.0
S. Walker-Kimbrough,137,9,62,75,336,2.45
Tierney Pfirman,99,9,17,82,215,2.17
Kristen Confroy,84,9,72,12,240,2.86
Malina Howard,50,7,0,50,100,2.0
Kiah Gillespie,46,8,12,34,104,2.26
Brene Moseley,29,8,16,13,74,2.55
Kiara Leslie,28,6,9,19,65,2.32
Brianna Fraser,22,9,1,21,45,2.05
Chloe Pavlech,19,7,15,4,53,2.79
A'Lexus Harrison,7,5,0,7,14,2.0
Aja Ellison,3,3,0,3,6,2.0
