"source_id","player_name","streak_type","length","start_date","end_date","start_file_id","end_file_id","spans_games","active"
"2015-16","Chloe Pavlech","fg_misses",15,"2015-11-26","2015-12-20","9608","9615",1,0
"2015-16","S. Walker-Kimbrough","ft_makes",14,"2016-03-06","2016-03-19","9637","9638",1,1
"2015-16","Brene Moseley","ft_makes",12,"2016-02-05","2016-02-11","9627","9629",1,0
"2015-16","Kiara Leslie","fg_misses",11,"2015-11-20","2015-12-02","9607","9611",1,0
"2015-16","Brionna Jones","fg_makes",10,"2015-12-02","2015-12-05","9611","9612",1,0
"2015-16","Brionna Jones","fg_makes",10,"2016-02-25","2016-02-28","9633","9634",1,0
"2015-16","Brene Moseley","fg_misses",10,"2016-02-11","2016-02-14","9629","9630",1,0
"2015-16","Brionna Jones","ft_makes",10,"2016-02-17","2016-03-04","9631","9635",1,0
"2015-16","S. Walker-Kimbrough","ft_makes",10,"2016-02-02","2016-02-05","9626","9627",1,0
"2015-16","Brene Moseley","fg_makes",9,"2015-12-08","2015-12-11","9613","9614",1,0
"2015-16","Brene Moseley","fg_makes",9,"2015-12-20","2015-12-28","9615","9616",1,0
"2015-16","Brionna Jones","fg_makes",9,"2015-11-28","2015-11-28","9610","9610",0,0
"2015-16","Kiara Leslie","fg_misses",9,"2015-11-14","2015-11-18","9605","9606",1,0
"2015-16","Kristen Confroy","fg_misses",9,"2016-03-05","2016-03-06","9636","9637",1,0
"2015-16","Brene Moseley","ft_makes",9,"2016-02-17","2016-03-04","9631","9635",1,0
"2015-16","Kiara Leslie","ft_makes",9,"2015-11-26","2015-12-11","9608","9614",1,0
"2015-16","Brene Moseley","fg_makes",8,"2015-11-20","2015-11-26","9607","9608",1,0
"2015-16","Brionna Jones","fg_makes",8,"2015-11-14","2015-11-18","9605","9606",1,0
"2015-16","Kiah Gillespie","fg_makes",8,"2015-11-18","2015-11-20","9606","9607",1,0
"2015-16","Brianna Fraser","fg_misses",8,"2016-01-10","2016-01-20","9620","9623",1,0
"2015-16","Brianna Fraser","ft_makes",8,"2015-11-20","2015-11-28","9607","9610",1,0
"2015-16","Malina Howard","ft_makes",8,"2015-11-26","2015-12-08","9608","9613",1,0
"2015-16","S. Walker-Kimbrough","ft_makes",8,"2015-11-28","2015-12-05","9610","9612",1,0
"2015-16","S. Walker-Kimbrough","ft_makes",8,"2015-12-05","2015-12-11","9612","9614",1,0
"2015-16","S. Walker-Kimbrough","ft_makes",8,"2016-01-30","2016-02-02","9625","9626",1,0
"2015-16","S. Walker-Kimbrough","three_makes",8,"2016-01-20","2016-01-27","9623","9624",1,0
"2015-16","Brionna Jones","fg_makes",7,"2016-01-02","2016-01-07","9618","9619",1,0
"2015-16","Brionna Jones","fg_makes",7,"2016-01-20","2016-01-27","9623","9624",1,0
"2015-16","Brionna Jones","fg_makes",7,"2016-02-08","2016-02-08","9628","9628",0,0
"2015-16","Brionna Jones","fg_makes",7,"2016-02-25","2016-02-25","9633","9633",0,0
"2015-16","Kiara Leslie","fg_makes",7,"2015-12-20","2015-12-20","9615","9615",0,0
"2015-16","Malina Howard","fg_makes",7,"2015-12-31","2016-01-02","9617","9618",1,0
"2015-16","Malina Howard","fg_makes",7,"2016-01-07","2016-01-07","9619","9619",0,0
"2015-16","Malina Howard","fg_makes",7,"2016-01-30","2016-02-05","9625","9627",1,0
"2015-16","Aja Ellison","fg_misses",7,"2015-11-14","2016-01-27","9605","9624",1,0
"2015-16","Brene Moseley","fg_misses",7,"2015-12-31","2015-12-31","9617","9617",0,0
"2015-16","Chloe Pavlech","fg_misses",7,"2016-01-10","2016-01-30","9620","9625",1,0
"2015-16","Kiah Gillespie","fg_misses",7,"2015-12-08","2015-12-08","9613","9613",0,0
"2015-16","Kiah Gillespie","fg_misses",7,"2015-12-28","2015-12-31","9616","9617",1,0
"2015-16","Kiah Gillespie","fg_misses",7,"2016-01-07","2016-01-14","9619","9621",1,0
"2015-16","Kristen Confroy","fg_misses",7,"2015-11-27","2015-12-05","9609","9612",1,0
"2015-16","Brene Moseley","ft_makes",7,"2015-12-02","2015-12-08","9611","9613",1,0
"2015-16","Brianna Fraser","ft_makes",7,"2016-01-10","2016-01-27","9620","9624",1,0
"2015-16","Chloe Pavlech","ft_makes",7,"2015-12-02","2016-01-20","9611","9623",1,0
"2015-16","Malina Howard","ft_makes",7,"2016-02-14","2016-02-25","9630","9633",1,0
"2015-16","S. Walker-Kimbrough","ft_makes",7,"2015-11-26","2015-11-27","9608","9609",1,0
"2015-16","S. Walker-Kimbrough","ft_makes",7,"2016-02-11","2016-02-14","9629","9630",1,0
"2015-16","S. Walker-Kimbrough","ft_makes",7,"2016-02-25","2016-03-04","9633","9635",1,0
"2015-16","Kristen Confroy","three_makes",7,"2016-01-17","2016-01-17","9622","9622",0,0
"2015-16","Brionna Jones","fg_makes",6,"2015-11-20","2015-11-26","9607","9608",1,0
"2015-16","Brionna Jones","fg_makes",6,"2015-11-26","2015-11-27","9608","9609",1,0
"2015-16","Brionna Jones","fg_makes",6,"2015-12-05","2015-12-11","9612","9614",1,0
"2015-16","Brionna Jones","fg_makes",6,"2015-12-11","2015-12-11","9614","9614",0,0
"2015-16","Brionna Jones","fg_makes",6,"2016-02-08","2016-02-08","9628","9628",0,0
"2015-16","Brionna Jones","fg_makes",6,"2016-02-14","2016-02-14","9630","9630",0,0
"2015-16","Brionna Jones","fg_makes",6,"2016-02-17","2016-02-17","9631","9631",0,0
"2015-16","Brionna Jones","fg_makes",6,"2016-03-04","2016-03-05","9635","9636",1,0
"2015-16","S. Walker-Kimbrough","fg_makes",6,"2015-11-18","2015-11-18","9606","9606",0,0
"2015-16","S. Walker-Kimbrough","fg_makes",6,"2015-11-26","2015-11-26","9608","9608",0,0
"2015-16","S. Walker-Kimbrough","fg_makes",6,"2015-12-11","2015-12-20","9614","9615",1,0
"2015-16","S. Walker-Kimbrough","fg_makes",6,"2016-02-02","2016-02-05","9626","9627",1,0
"2015-16","S. Walker-Kimbrough","fg_makes",6,"2016-02-11","2016-02-14","9629","9630",1,0
"2015-16","Brene Moseley","fg_misses",6,"2015-12-28","2015-12-31","9616","9617",1,0
"2015-16","Brene Moseley","fg_misses",6,"2016-01-02","2016-01-07","9618","9619",1,0
"2015-16","Brene Moseley","fg_misses",6,"2016-01-14","2016-01-14","9621","9621",0,0
"2015-16","Brionna Jones","fg_misses",6,"2016-01-27","2016-01-30","9624","9625",1,0
"2015-16","Chloe Pavlech","fg_misses",6,"2015-12-28","2016-01-07","9616","9619",1,0
"2015-16","Kiara Leslie","fg_misses",6,"2016-02-21","2016-03-05","9632","9636",1,1
"2015-16","Kristen Confroy","fg_misses",6,"2015-11-18","2015-11-20","9606","9607",1,0
"2015-16","Kristen Confroy","fg_misses",6,"2015-11-26","2015-11-26","9608","9608",0,0
"2015-16","Kristen Confroy","fg_misses",6,"2016-01-20","2016-01-27","9623","9624",1,0
"2015-16","Kristen Confroy","fg_misses",6,"2016-02-05","2016-02-08","9627","9628",1,0
"2015-16","S. Walker-Kimbrough","fg_misses",6,"2015-11-27","2015-11-28","9609","9610",1,0
"2015-16","Tierney Pfirman","fg_misses",6,"2016-03-05","2016-03-06","9636","9637",1,0
"2015-16","Brene Moseley","ft_makes",6,"2015-11-14","2015-11-20","9605","9607",1,0
"2015-16","Brene Moseley","ft_makes",6,"2015-11-26","2015-12-02","9608","9611",1,0
"2015-16","Brene Moseley","ft_makes",6,"2015-12-28","2016-01-02","9616","9618",1,0
"2015-16","Brene Moseley","ft_makes",6,"2016-03-05","2016-03-06","9636","9637",1,0
"2015-16","Brionna Jones","ft_makes",6,"2015-11-14","2015-11-18","9605","9606",1,0
"2015-16","Kiah Gillespie","ft_makes",6,"2015-12-02","2015-12-11","9611","9614",1,0
"2015-16","Kiah Gillespie","ft_makes",6,"2016-02-05","2016-02-25","9627","9633",1,1
"2015-16","S. Walker-Kimbrough","ft_makes",6,"2015-11-14","2015-11-18","9605","9606",1,0
"2015-16","Tierney Pfirman","ft_makes",6,"2015-11-26","2016-01-17","9608","9622",1,0
"2015-16","S. Walker-Kimbrough","three_makes",6,"2015-12-20","2015-12-31","9615","9617",1,0
"2015-16","Brianna Fraser","fg_makes",5,"2015-12-05","2015-12-08","9612","9613",1,0
"2015-16","Brionna Jones","fg_makes",5,"2015-12-28","2015-12-28","9616","9616",0,0
"2015-16","Brionna Jones","fg_makes",5,"2015-12-28","2015-12-28","9616","9616",0,0
"2015-16","Brionna Jones","fg_makes",5,"2016-02-05","2016-02-05","9627","9627",0,0
"2015-16","Brionna Jones","fg_makes",5,"2016-03-06","2016-03-19","9637","9638",1,0
"2015-16","Kristen Confroy","fg_makes",5,"2015-12-31","2015-12-31","9617","9617",0,0
"2015-16","Malina Howard","fg_makes",5,"2016-03-19","2016-03-21","9638","9639",1,0
"2015-16","S. Walker-Kimbrough","fg_makes",5,"2015-11-14","2015-11-14","9605","9605",0,0
"2015-16","S. Walker-Kimbrough","fg_makes",5,"2015-12-20","2015-12-20","9615","9615",0,0
"2015-16","S. Walker-Kimbrough","fg_makes",5,"2016-02-02","2016-02-02","9626","9626",0,0
"2015-16","S. Walker-Kimbrough","fg_makes",5,"2016-02-02","2016-02-02","9626","9626",0,0
"2015-16","Tierney Pfirman","fg_makes",5,"2016-01-20","2016-01-20","9623","9623",0,0
"2015-16","Tierney Pfirman","fg_makes",5,"2016-02-05","2016-02-08","9627","9628",1,0
"2015-16","Tierney Pfirman","fg_makes",5,"2016-02-28","2016-02-28","9634","9634",0,0
"2015-16","Brene Moseley","fg_misses",5,"2015-11-28","2015-12-02","9610","9611",1,0
"2015-16","Brene Moseley","fg_misses",5,"2016-01-20","2016-01-27","9623","9624",1,0
"2015-16","Brianna Fraser","fg_misses",5,"2016-02-11","2016-02-14","9629","9630",1,0
"2015-16","Brionna Jones","fg_misses",5,"2015-11-28","2015-11-28","9610","9610",0,0
"2015-16","Chloe Pavlech","fg_misses",5,"2015-11-14","2015-11-18","9605","9606",1,0
"2015-16","Chloe Pavlech","fg_misses",5,"2016-02-05","2016-02-11","9627","9629",1,0
"2015-16","Chloe Pavlech","fg_misses",5,"2016-03-04","2016-03-06","9635","9637",1,0
"2015-16","Kiah Gillespie","fg_misses",5,"2015-11-26","2015-11-27","9608","9609",1,0
"2015-16","Kiah Gillespie","fg_misses",5,"2015-11-28","2015-12-02","9610","9611",1,0
"2015-16","Kiah Gillespie","fg_misses",5,"2015-12-02","2015-12-05","9611","9612",1,0
"2015-16","Kiah Gillespie","fg_misses",5,"2016-02-21","2016-02-28","9632","9634",1,0
"2015-16","Kiara Leslie","fg_misses",5,"2015-12-20","2015-12-31","9615","9617",1,0
"2015-16","Malina Howard","fg_misses",5,"2016-02-14","2016-02-17","9630","9631",1,0
"2015-16","S. Walker-Kimbrough","fg_misses",5,"2016-01-02","2016-01-02","9618","9618",0,0
"2015-16","Tierney Pfirman","fg_misses",5,"2015-12-31","2016-01-02","9617","9618",1,0
"2015-16","A'Lexus Harrison","fg_makes",4,"2015-11-20","2015-12-02","9607","9611",1,0
"2015-16","Brene Moseley","fg_makes",4,"2015-11-14","2015-11-14","9605","9605",0,0
"2015-16","Brene Moseley","fg_makes",4,"2015-11-14","2015-11-14","9605","9605",0,0
"2015-16","Brene Moseley","fg_makes",4,"2015-11-18","2015-11-20","9606","9607",1,0
"2015-16","Brene Moseley","fg_makes",4,"2015-12-02","2015-12-02","9611","9611",0,0
"2015-16","Brene Moseley","fg_makes",4,"2016-01-02","2016-01-02","9618","9618",0,0
"2015-16","Brene Moseley","fg_makes",4,"2016-01-30","2016-01-30","9625","9625",0,0
"2015-16","Brene Moseley","fg_makes",4,"2016-03-19","2016-03-19","9638","9638",0,0
"2015-16","Brianna Fraser","fg_makes",4,"2016-01-10","2016-01-10","9620","9620",0,0
