"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2015-16","S. Walker-Kimbrough",35,1094.5,305.6,2312,1657,23.9,600,455,19.0,5.0,655
"2015-16","Kristen Confroy",35,1020.4,379.6,2087,1563,20.5,825,549,29.1,-8.5,524
"2015-16","Brionna Jones",35,904.9,495.1,1903,1330,25.3,1009,782,18.3,7.0,573
"2015-16","Brene Moseley",35,781.2,618.8,1715,1201,26.3,1197,911,18.5,7.8,514
"2015-16","Malina Howard",35,734.9,665.1,1440,1135,16.6,1472,977,29.8,-13.2,305
"2015-16","Chloe Pavlech",35,699.4,700.6,1395,1018,21.6,1517,1094,24.2,-2.6,377
"2015-16","Tierney Pfirman",29,500.3,899.7,1104,815,23.1,1808,1297,22.7,0.4,289
"2015-16","Kiah Gillespie",34,386.4,1013.6,781,535,25.5,2131,1577,21.9,3.6,246
"2015-16","Kiara Leslie",32,368.4,1031.6,750,573,19.2,2162,1539,24.2,-4.9,177
"2015-16","Brianna Fraser",32,333.3,1066.7,723,484,28.7,2189,1628,21.0,7.6,239
"2015-16","A'Lexus Harrison",21,113.2,1286.8,230,163,23.7,2682,1949,22.8,0.9,67
"2015-16","Aja Ellison",15,46.0,1354.0,87,69,15.7,2825,2043,23.1,-7.4,18
