assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Brene Moseley,206,11,74,132,486,2.36
S. Walker-Kimbrough,114,10,26,88,254,2.23
Chloe Pavlech,111,10,34,77,256,2.31
Kristen Confroy,64,9,22,42,150,2.34
Malina Howard,39,10,16,23,94,2.41
Brionna Jones,39,7,10,29,88,2.26
Kiara Leslie,31,8,6,25,68,2.19
Tierney Pfirman,30,7,10,20,70,2.33
Kiah Gillespie,25,8,3,22,53,2.12
Brianna Fraser,6,5,1,5,13,2.17
A'Lexus Harrison,3,2,2,1,8,2.67
Alexis UDOJI,1,1,0,1,2,2.0
Asia Doss,1,1,0,1,2,2.0
