assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Brene Moseley,S. Walker-Kimbrough,50,123,2.46,23,27,22,5,0
S. Walker-Kimbrough,Brionna Jones,46,92,2.0,0,46,34,12,0
Brene Moseley,Tierney Pfirman,46,98,2.13,6,40,9,31,0
Brene Moseley,Kristen Confroy,41,117,2.85,35,6,3,3,0
Chloe Pavlech,S. Walker-Kimbrough,32,81,2.53,17,15,10,5,0
Chloe Pavlech,Brionna Jones,27,54,2.0,0,27,18,9,0
Brene Moseley,Brionna Jones,21,42,2.0,0,21,20,1,0
Kristen Confroy,S. Walker-Kimbrough,18,46,2.56,10,8,2,6,0
S. Walker-Kimbrough,Kristen Confroy,17,49,2.88,15,2,2,0,0
S. Walker-Kimbrough,Tierney Pfirman,15,33,2.2,3,12,3,9,0
Kristen Confroy,Brionna Jones,14,28,2.0,0,14,13,1,0
Chloe Pavlech,Tierney Pfirman,14,31,2.21,3,11,0,11,0
Kiara Leslie,Brionna Jones,13,26,2.0,0,13,11,2,0
Brene Moseley,Kiara Leslie,13,29,2.23,3,10,9,1,0
Tierney Pfirman,S. Walker-Kimbrough,13,32,2.46,6,7,4,3,0
Brene Moseley,Kiah Gillespie,12,28,2.33,4,8,4,4,0
S. Walker-Kimbrough,Malina Howard,12,24,2.0,0,12,7,5,0
Brionna Jones,S. Walker-Kimbrough,11,23,2.09,1,10,6,4,0
Brene Moseley,Malina Howard,10,20,2.0,0,10,3,7,0
Chloe Pavlech,Kristen Confroy,10,28,2.8,8,2,1,1,0
Kristen Confroy,Tierney Pfirman,10,23,2.3,3,7,0,7,0
Chloe Pavlech,Malina Howard,10,20,2.0,0,10,4,6,0
Kiah Gillespie,Brionna Jones,9,18,2.0,0,9,8,1,0
Brionna Jones,Malina Howard,9,18,2.0,0,9,3,6,0
Malina Howard,Brionna Jones,9,18,2.0,0,9,6,3,0
Chloe Pavlech,Kiah Gillespie,7,16,2.29,2,5,1,4,0
Kiara Leslie,Kiah Gillespie,7,15,2.14,1,6,0,6,0
S. Walker-Kimbrough,Brene Moseley,7,18,2.57,4,3,3,0,0
Malina Howard,Kristen Confroy,7,21,3.0,7,0,0,0,0
S. Walker-Kimbrough,Kiah Gillespie,6,13,2.17,1,5,4,1,0
Kristen Confroy,Brene Moseley,6,15,2.5,3,3,2,1,0
Brene Moseley,Brianna Fraser,6,13,2.17,1,5,3,2,0
Chloe Pavlech,Kiara Leslie,6,15,2.5,3,3,3,0,0
Kristen Confroy,Kiah Gillespie,5,11,2.2,1,4,1,3,0
Kiah Gillespie,S. Walker-Kimbrough,5,12,2.4,2,3,2,1,0
Brionna Jones,Brene Moseley,5,12,2.4,2,3,3,0,0
Brionna Jones,Kiah Gillespie,5,12,2.4,2,3,1,2,0
Kristen Confroy,Chloe Pavlech,5,15,3.0,5,0,0,0,0
Malina Howard,S. Walker-Kimbrough,5,12,2.4,2,3,1,2,0
Brionna Jones,Tierney Pfirman,5,12,2.4,2,3,0,3,0
Tierney Pfirman,Brionna Jones,5,10,2.0,0,5,3,2,0
S. Walker-Kimbrough,Brianna Fraser,4,8,2.0,0,4,2,2,0
Malina Howard,Tierney Pfirman,4,8,2.0,0,4,0,4,0
S. Walker-Kimbrough,Kiara Leslie,4,9,2.25,1,3,2,1,0
