"source_id","file_id","period","time_remaining","team","play_type","play_action","narrative","player_name","player_number","home_team_score","visiting_team_score","play_id","seconds_elapsed","home_score_running","visiting_score_running","margin","points","assist_by","blocked_by"
2015,9605,1,591,"Maryland","TURNOVER","TURNOVER","01 Kiah Gillespie TURNOVER (1 TO)","Kiah Gillespie",1.0,"","","0+4E201AF",9,0,0,0,0,"",""
2015,9605,1,591,"Maryland","FOUL","FOUL","01 Kiah Gillespie FOUL (1 PF)","Kiah Gillespie",1.0,"","","1+94890F2E",9,0,0,0,0,"",""
2015,9605,1,581,"UMass-Lowell","TURNOVER","TURNOVER","33 Lindsey DOUCETTE TURNOVER (1 TO)","Lindsey DOUCETTE",33.0,"","","2+C56AEF22",19,0,0,0,0,"",""
2015,9605,1,576,"Maryland","STEAL","STEAL","01 Kiah Gillespie STEAL (1 Stl)","Kiah Gillespie",1.0,"","","3+88D7B871",24,0,0,0,0,"",""
2015,9605,1,575,"UMass-Lowell","FOUL","FOUL","21 Nicole RIDDICK FOUL (1 PF)","Nicole RIDDICK",21.0,"","","4+4B7726E",25,0,0,0,0,"",""
2015,9605,1,575,"Maryland","FT","GOOD","32 S. Walker-Kimbrough FT GOOD (1 Pt)","S. Walker-Kimbrough",32.0,1.0,0.0,"5+2CE06172",25,1,0,1,1,"",""
2015,9605,1,575,"Maryland","FT","GOOD","32 S. Walker-Kimbrough FT GOOD (2 Pt)","S. Walker-Kimbrough",32.0,2.0,0.0,"6+5A598CEE",25,2,0,2,1,"",""
2015,9605,1,550,"UMass-Lowell","TURNOVER","TURNOVER","34 Nicole HAYNER TURNOVER (1 TO)","Nicole HAYNER",34.0,"","","7+ED4A774B",50,2,0,2,0,"",""
2015,9605,1,540,"Maryland","LAYUP","MISS","42 Brionna Jones LAYUP MISS","Brionna Jones",42.0,"","","8+ADF404B9",60,2,0,2,0,"",""
2015,9605,1,540,"Maryland","OFF","REBOUND","42 Brionna Jones OFF. REBOUND (1 Reb, 1 Off)","Brionna Jones",42.0,"","","9+2D5E32E",60,2,0,2,0,"",""
2015,9605,1,536,"Maryland","JUMPER","MISS","42 Brionna Jones JUMPER MISS","Brionna Jones",42.0,"","","10+ADF19E63",64,2,0,2,0,"",""
2015,9605,1,536,"UMass-Lowell","DEF","REBOUND","21 Nicole RIDDICK DEF. REBOUND (1 Reb, 1 Def)","Nicole RIDDICK",21.0,"","","11+597F73E9",64,2,0,2,0,"",""
2015,9605,1,524,"UMass-Lowell","TURNOVER","TURNOVER","12 Asia MITCHELL-OWENS TURNOVER (1 TO)","Asia MITCHELL-OWENS",12.0,"","","12+6664DECC",76,2,0,2,0,"",""
2015,9605,1,523,"Maryland","STEAL","STEAL","15 Chloe Pavlech STEAL (1 Stl)","Chloe Pavlech",15.0,"","","13+51083A8A",77,2,0,2,0,"",""
2015,9605,1,519,"Maryland","LAYUP","MISS","32 S. Walker-Kimbrough LAYUP MISS","S. Walker-Kimbrough",32.0,"","","14+50CADB21",81,2,0,2,0,"",""
2015,9605,1,519,"UMass-Lowell","DEF","REBOUND","01 Kayla GIBBS DEF. REBOUND (1 Reb, 1 Def)","Kayla GIBBS",1.0,"","","15+DF9FF2B5",81,2,0,2,0,"",""
2015,9605,1,509,"UMass-Lowell","TURNOVER","TURNOVER","12 Asia MITCHELL-OWENS TURNOVER (2 TO)","Asia MITCHELL-OWENS",12.0,"","","16+1EFC41C4",91,2,0,2,0,"",""
2015,9605,1,506,"Maryland","STEAL","STEAL","02 Kiara Leslie STEAL (1 Stl)","Kiara Leslie",2.0,"","","17+FC88F0D1",94,2,0,2,0,"",""
2015,9605,1,502,"UMass-Lowell","FOUL","FOUL","33 Lindsey DOUCETTE FOUL (1 PF)","Lindsey DOUCETTE",33.0,"","","18+E87E8BD7",98,2,0,2,0,"",""
2015,9605,1,502,"UMass-Lowell","SUBS","SUBS","12 Asia MITCHELL-OWENS OUT","Asia MITCHELL-OWENS",12.0,"","","19+2B7D3ED",98,2,0,2,0,"",""
