"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2015-16","Brene Moseley",65,38,58.5,68,28,41.2,308,147,47.7
"2015-16","Brianna Fraser",10,5,50.0,19,7,36.8,101,40,39.6
"2015-16","Brionna Jones",125,89,71.2,38,26,68.4,355,236,66.5
"2015-16","Chloe Pavlech",4,2,50.0,19,4,21.1,89,27,30.3
"2015-16","Kiah Gillespie",21,7,33.3,39,17,43.6,174,69,39.7
"2015-16","Kiara Leslie",16,7,43.8,21,9,42.9,130,53,40.8
"2015-16","Kristen Confroy",31,10,32.3,53,25,47.2,244,99,40.6
"2015-16","Malina Howard",21,14,66.7,19,13,68.4,142,77,54.2
"2015-16","S. Walker-Kimbrough",109,51,46.8,76,45,59.2,455,247,54.3
"2015-16","Tierney Pfirman",44,16,36.4,44,20,45.5,240,117,48.8
"2015-16","TEAM",448,239,53.3,396,194,49.0,2271,1127,49.6
