scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Abby Meyers,137,8,57,80,331,2.42
Brinae Alexander,87,8,64,23,238,2.74
Diamond Miller,84,7,16,68,184,2.19
Shyanne Sellers,74,9,23,51,171,2.31
Faith Masonius,70,6,8,62,148,2.11
Lavender Briggs,65,7,24,41,154,2.37
Elisa Pinzan,31,7,10,21,72,2.32
Bri McDaniel,20,7,9,11,49,2.45
Mila Reynolds,6,6,0,6,12,2.0
Gia Cooke,4,2,0,4,8,2.0
Ava Sciolla,1,1,1,0,3,3.0
