team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Maryland,35,35,0,100.0,2770,79.14285714285714,1785,79.14285714285714,51.0,28.14285714285714,1012,2263,44.71939902783915,239,656,36.43292682926829,507,645,78.6046511627907,50.0,54.381969530391075,0.28501988510826337,1283,36.65714285714286,593,16.942857142857143,1.2643923240938166,363,10.371428571428572,122,3.4857142857142858,469,13.4,594,16.97142857142857
Purdue,1,0,0,0.0,74,74.0,0,74.0,0.0,74.0,26,47,55.319148936170215,7,20,35.0,15,21,71.42857142857143,62.76595744680851,65.78947368421052,0.44680851063829785,28,28.0,14,14.0,0.6363636363636364,10,10.0,4,4.0,22,22.0,13,13.0
Davidson,1,0,0,0.0,52,52.0,0,52.0,0.0,52.0,21,55,38.18181818181819,8,26,30.76923076923077,2,6,33.33333333333333,45.45454545454545,45.107564191533655,0.10909090909090909,34,34.0,15,15.0,0.5,10,10.0,1,1.0,30,30.0,17,17.0
Iowa,3,0,0,0.0,253,84.33333333333333,0,84.33333333333333,0.0,84.33333333333333,91,194,46.90721649484536,33,99,33.33333333333333,38,53,71.69811320754717,55.412371134020624,58.20909258236702,0.27319587628865977,112,37.333333333333336,65,21.666666666666668,1.1818181818181819,21,7.0,10,3.3333333333333335,55,18.333333333333332,52,17.333333333333332
Notre Dame,2,0,0,0.0,131,65.5,0,65.5,0.0,65.5,52,116,44.827586206896555,8,27,29.629629629629626,19,29,65.51724137931035,48.275862068965516,50.869835352593974,0.25,74,37.0,37,18.5,0.8604651162790697,12,6.0,7,3.5,43,21.5,38,19.0
Nebraska,2,0,0,0.0,144,72.0,0,72.0,0.0,72.0,49,122,40.16393442622951,17,52,32.69230769230769,29,42,69.04761904761905,47.13114754098361,51.252847380410024,0.3442622950819672,91,45.5,32,16.0,0.8205128205128205,6,3.0,6,3.0,39,19.5,43,21.5
Wisconsin,1,0,0,0.0,64,64.0,0,64.0,0.0,64.0,25,60,41.66666666666667,10,24,41.66666666666667,4,7,57.14285714285714,50.0,50.729232720355114,0.11666666666666667,32,32.0,21,21.0,1.05,7,7.0,2,2.0,20,20.0,14,14.0
Holy Cross,1,0,0,0.0,61,61.0,0,61.0,0.0,61.0,23,55,41.81818181818181,6,17,35.294117647058826,9,13,69.23076923076923,47.27272727272727,50.23056653491437,0.23636363636363636,29,29.0,12,12.0,0.5,8,8.0,1,1.0,24,24.0,12,12.0
UConn,1,0,0,0.0,78,78.0,0,78.0,0.0,78.0,31,58,53.44827586206896,3,10,30.0,13,15,86.66666666666667,56.03448275862068,60.37151702786379,0.25862068965517243,46,46.0,21,21.0,0.9545454545454546,2,2.0,3,3.0,22,22.0,15,15.0
Fordham,1,0,0,0.0,76,76.0,0,76.0,0.0,76.0,27,80,33.75,12,36,33.33333333333333,10,11,90.9090909090909,41.25,44.79019330504479,0.1375,42,42.0,15,15.0,1.0,6,6.0,2,2.0,15,15.0,21,21.0
Minnesota,1,0,0,0.0,85,85.0,0,85.0,0.0,85.0,34,71,47.88732394366197,6,18,33.33333333333333,11,15,73.33333333333333,52.112676056338024,54.76804123711341,0.2112676056338028,43,43.0,19,19.0,0.8260869565217391,1,1.0,1,1.0,23,23.0,18,18.0
Towson,1,0,0,0.0,70,70.0,0,70.0,0.0,70.0,27,66,40.909090909090914,7,13,53.84615384615385,9,12,75.0,46.21212121212121,49.10213243546577,0.18181818181818182,36,36.0,13,13.0,0.8125,7,7.0,3,3.0,16,16.0,17,17.0
Illinois,2,0,0,0.0,129,64.5,0,64.5,0.0,64.5,49,114,42.98245614035088,17,38,44.73684210526316,14,19,73.68421052631578,50.43859649122807,52.713305001634524,0.16666666666666666,70,35.0,25,12.5,0.6097560975609756,10,5.0,8,4.0,41,20.5,29,14.5
Penn St.,1,0,0,0.0,66,66.0,0,66.0,0.0,66.0,25,59,42.3728813559322,6,17,35.294117647058826,10,13,76.92307692307693,47.45762711864407,50.988875154511746,0.22033898305084745,28,28.0,14,14.0,0.7368421052631579,12,12.0,1,1.0,19,19.0,16,16.0
Northwestern,1,0,0,0.0,54,54.0,0,54.0,0.0,54.0,22,63,34.92063492063492,2,18,11.11111111111111,8,8,100.0,36.507936507936506,40.58929645219483,0.12698412698412698,30,30.0,19,19.0,1.1176470588235294,9,9.0,3,3.0,17,17.0,14,14.0
Michigan,1,0,0,0.0,64,64.0,0,64.0,0.0,64.0,22,54,40.74074074074074,7,20,35.0,13,16,81.25,47.22222222222222,52.424639580602886,0.2962962962962963,34,34.0,12,12.0,0.5,6,6.0,2,2.0,24,24.0,20,20.0
Ohio St.,2,0,0,0.0,128,64.0,0,64.0,0.0,64.0,50,125,40.0,14,44,31.818181818181817,14,28,50.0,45.6,46.60646664724731,0.224,75,37.5,30,15.0,0.75,12,6.0,1,0.5,40,20.0,38,19.0
Pittsburgh,1,0,0,0.0,63,63.0,0,63.0,0.0,63.0,24,66,36.36363636363637,8,24,33.33333333333333,7,12,58.333333333333336,42.42424242424242,44.19191919191919,0.18181818181818182,37,37.0,15,15.0,0.8333333333333334,5,5.0,1,1.0,18,18.0,21,21.0
South Carolina,2,0,0,0.0,167,83.5,0,83.5,0.0,83.5,62,138,44.927536231884055,14,43,32.55813953488372,29,42,69.04761904761905,50.0,53.36145194274029,0.30434782608695654,103,51.5,39,19.5,1.1818181818181819,10,5.0,17,8.5,33,16.5,31,15.5
Arizona,1,0,0,0.0,64,64.0,0,64.0,0.0,64.0,28,64,43.75,2,12,16.666666666666664,6,11,54.54545454545454,45.3125,46.48460197559558,0.171875,32,32.0,11,11.0,0.6111111111111112,12,12.0,1,1.0,18,18.0,16,16.0
Michigan St.,2,0,0,0.0,146,73.0,0,73.0,0.0,73.0,49,135,36.2962962962963,27,75,36.0,21,36,58.333333333333336,46.2962962962963,48.39565102094935,0.26666666666666666,83,41.5,37,18.5,1.088235294117647,14,7.0,5,2.5,34,17.0,45,22.5
