"source_id","player_name","fga_hot","fgm_hot","pct_hot","fga_cold","fgm_cold","pct_cold","fga_all","fgm_all","pct_all"
"2022-23","Abby Meyers",74,34,45.9,98,47,48.0,418,189,45.2
"2022-23","Bri McDaniel",4,0,0.0,11,2,18.2,76,30,39.5
"2022-23","Brinae Alexander",30,7,23.3,50,24,48.0,242,104,43.0
"2022-23","Diamond Miller",80,36,45.0,104,54,51.9,468,222,47.4
"2022-23","Elisa Pinzan",8,1,12.5,13,7,53.8,115,46,40.0
"2022-23","Faith Masonius",26,8,30.8,37,21,56.8,202,97,48.0
"2022-23","Gia Cooke",2,0,0.0,8,4,50.0,50,14,28.0
"2022-23","Lavender Briggs",21,5,23.8,52,22,42.3,241,95,39.4
"2022-23","Shyanne Sellers",71,29,40.8,74,41,55.4,350,170,48.6
"2022-23","TEAM",317,120,37.9,451,223,49.4,2194,978,44.6
