assister,total_assists,unique_teammates,threes_assisted,twos_assisted,points_created,avg_points_per_assist
Shyanne Sellers,134,7,49,85,317,2.37
Diamond Miller,99,9,40,59,238,2.4
Elisa Pinzan,97,8,35,62,229,2.36
Abby Meyers,78,7,28,50,184,2.36
Faith Masonius,69,7,21,48,159,2.3
Lavender Briggs,42,8,17,25,101,2.4
Brinae Alexander,36,9,14,22,86,2.39
Bri McDaniel,11,5,3,8,25,2.27
Gia Cooke,9,4,4,5,22,2.44
Mila Reynolds,3,3,1,2,7,2.33
Ava Sciolla,1,1,0,1,2,2.0
