source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2022,13136,2,420,13,Faith Masonius,1,00,Shyanne Sellers,LAYUP,2,27.0,13.0,00 Shyanne Sellers LAYUP GOOD (4 Pt); 13 Faith Masonius Assist (1 Asst)
2022,13136,3,573,12,Elisa Pinzan,2,10,Abby Meyers,JUMPER,2,38.0,33.0,10 Abby Meyers JUMPER GOOD (7 Pt); 12 Elisa Pinzan Assist (2 Asst)
2022,13136,3,552,12,Elisa Pinzan,3,10,Abby Meyers,JUMPER,2,40.0,36.0,10 Abby Meyers JUMPER GOOD (9 Pt); 12 Elisa Pinzan Assist (3 Asst)
2022,13136,3,438,12,Elisa Pinzan,4,05,Brinae Alexander,3PTR,3,47.0,39.0,05 Brinae Alexander 3PTR GOOD (7 Pt); 12 Elisa Pinzan Assist (4 Asst)
2022,13136,3,392,00,Shyanne Sellers,2,01,Diamond Miller,JUMPER,2,49.0,39.0,01 Diamond Miller JUMPER GOOD (13 Pt); 00 Shyanne Sellers Assist (2 Asst)
2022,13136,3,363,05,Brinae Alexander,1,00,Shyanne Sellers,LAYUP,2,51.0,39.0,00 Shyanne Sellers LAYUP GOOD (8 Pt); 05 Brinae Alexander Assist (1 Asst)
2022,13136,3,10,12,Elisa Pinzan,5,01,Diamond Miller,3PTR,3,62.0,59.0,01 Diamond Miller 3PTR GOOD (16 Pt); 12 Elisa Pinzan Assist (5 Asst)
2022,13136,4,497,03,Lavender Briggs,2,10,Abby Meyers,JUMPER,2,64.0,59.0,10 Abby Meyers JUMPER GOOD (11 Pt); 03 Lavender Briggs Assist (2 Asst)
2022,13136,4,430,12,Elisa Pinzan,6,03,Lavender Briggs,JUMPER,2,66.0,59.0,03 Lavender Briggs JUMPER GOOD (4 Pt); 12 Elisa Pinzan Assist (6 Asst)
2022,13136,4,256,13,Faith Masonius,2,05,Brinae Alexander,LAYUP,2,70.0,63.0,05 Brinae Alexander LAYUP GOOD (12 Pt); 13 Faith Masonius Assist (2 Asst)
2022,13136,4,132,01,Diamond Miller,1,13,Faith Masonius,JUMPER,2,74.0,63.0,13 Faith Masonius JUMPER GOOD (11 Pt); 01 Diamond Miller Assist (1 Asst)
2022,13136,4,88,00,Shyanne Sellers,3,01,Diamond Miller,JUMPER,2,76.0,65.0,01 Diamond Miller JUMPER GOOD (20 Pt); 00 Shyanne Sellers Assist (3 Asst)
2022,13136,4,45,13,Faith Masonius,3,05,Brinae Alexander,LAYUP,2,80.0,71.0,05 Brinae Alexander LAYUP GOOD (14 Pt); 13 Faith Masonius Assist (3 Asst)
2022,13137,1,584,12,Elisa Pinzan,1,01,Diamond Miller,3PTR,3,3.0,0.0,01 Diamond Miller 3PTR GOOD (3 Pt); 12 Elisa Pinzan Assist (1 Asst)
2022,13137,1,523,13,Faith Masonius,1,12,Elisa Pinzan,LAYUP,2,5.0,0.0,12 Elisa Pinzan LAYUP GOOD (2 Pt); 13 Faith Masonius Assist (1 Asst)
2022,13137,1,450,03,Lavender Briggs,1,01,Diamond Miller,3PTR,3,8.0,5.0,01 Diamond Miller 3PTR GOOD (6 Pt); 03 Lavender Briggs Assist (1 Asst)
2022,13137,1,371,01,Diamond Miller,1,13,Faith Masonius,LAYUP,2,10.0,7.0,13 Faith Masonius LAYUP GOOD (2 Pt); 01 Diamond Miller Assist (1 Asst)
2022,13137,1,119,10,Abby Meyers,1,13,Faith Masonius,LAYUP,2,12.0,10.0,13 Faith Masonius LAYUP GOOD (4 Pt); 10 Abby Meyers Assist (1 Asst)
