assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Shyanne Sellers,Abby Meyers,34,86,2.53,18,16,7,9,0
Shyanne Sellers,Diamond Miller,33,69,2.09,3,30,21,9,0
Diamond Miller,Abby Meyers,29,71,2.45,13,16,7,9,0
Elisa Pinzan,Abby Meyers,28,66,2.36,10,18,5,13,0
Shyanne Sellers,Brinae Alexander,22,58,2.64,14,8,5,3,0
Faith Masonius,Abby Meyers,22,50,2.27,6,16,8,8,0
Diamond Miller,Shyanne Sellers,18,43,2.39,7,11,5,6,0
Shyanne Sellers,Faith Masonius,17,37,2.18,3,14,6,8,0
Shyanne Sellers,Lavender Briggs,17,40,2.35,6,11,6,5,0
Abby Meyers,Shyanne Sellers,16,38,2.38,6,10,5,5,0
Abby Meyers,Faith Masonius,15,30,2.0,0,15,6,9,0
Faith Masonius,Shyanne Sellers,15,33,2.2,3,12,5,7,0
Abby Meyers,Brinae Alexander,14,40,2.86,12,2,1,1,0
Elisa Pinzan,Brinae Alexander,14,40,2.86,12,2,1,1,0
Elisa Pinzan,Diamond Miller,14,32,2.29,4,10,7,3,0
Diamond Miller,Faith Masonius,14,29,2.07,1,13,6,7,0
Elisa Pinzan,Faith Masonius,14,30,2.14,2,12,7,5,0
Elisa Pinzan,Lavender Briggs,13,30,2.31,4,9,1,8,0
Diamond Miller,Brinae Alexander,13,37,2.85,11,2,0,2,0
Abby Meyers,Diamond Miller,13,29,2.23,3,10,10,0,0
Brinae Alexander,Abby Meyers,11,26,2.36,4,7,3,4,0
Abby Meyers,Lavender Briggs,11,27,2.45,5,6,3,3,0
Diamond Miller,Lavender Briggs,11,25,2.27,3,8,3,5,0
Faith Masonius,Brinae Alexander,10,26,2.6,6,4,3,1,0
Lavender Briggs,Brinae Alexander,10,27,2.7,7,3,2,1,0
Faith Masonius,Diamond Miller,9,20,2.22,2,7,4,3,0
Lavender Briggs,Abby Meyers,8,19,2.38,3,5,3,2,0
Lavender Briggs,Faith Masonius,8,18,2.25,2,6,4,2,0
Diamond Miller,Elisa Pinzan,8,19,2.38,3,5,2,3,0
Elisa Pinzan,Shyanne Sellers,8,17,2.12,1,7,2,5,0
Faith Masonius,Elisa Pinzan,7,14,2.0,0,7,3,4,0
Lavender Briggs,Shyanne Sellers,7,16,2.29,2,5,2,3,0
Brinae Alexander,Diamond Miller,7,16,2.29,2,5,3,2,0
Brinae Alexander,Shyanne Sellers,6,16,2.67,4,2,1,1,0
Abby Meyers,Elisa Pinzan,6,14,2.33,2,4,2,2,0
Shyanne Sellers,Elisa Pinzan,6,15,2.5,3,3,1,2,0
Brinae Alexander,Lavender Briggs,5,12,2.4,2,3,2,1,0
Elisa Pinzan,Bri McDaniel,5,12,2.4,2,3,3,0,0
Shyanne Sellers,Bri McDaniel,5,12,2.4,2,3,2,1,0
Faith Masonius,Lavender Briggs,5,13,2.6,3,2,0,2,0
Lavender Briggs,Diamond Miller,4,9,2.25,1,3,2,1,0
Bri McDaniel,Diamond Miller,4,9,2.25,1,3,2,1,0
Gia Cooke,Abby Meyers,3,8,2.67,2,1,0,1,0
Diamond Miller,Gia Cooke,3,6,2.0,0,3,2,1,0
Gia Cooke,Brinae Alexander,3,8,2.67,2,1,0,1,0
Abby Meyers,Bri McDaniel,3,6,2.0,0,3,3,0,0
Bri McDaniel,Lavender Briggs,3,7,2.33,1,2,2,0,0
Lavender Briggs,Elisa Pinzan,2,6,3.0,2,0,0,0,0
Gia Cooke,Shyanne Sellers,2,4,2.0,0,2,1,1,0
Brinae Alexander,Faith Masonius,2,4,2.0,0,2,1,1,0
Lavender Briggs,Bri McDaniel,2,4,2.0,0,2,0,2,0
Bri McDaniel,Abby Meyers,2,5,2.5,1,1,0,1,0
Brinae Alexander,Bri McDaniel,2,6,3.0,2,0,0,0,0
Diamond Miller,Bri McDaniel,2,6,3.0,2,0,0,0,0
Bri McDaniel,Shyanne Sellers,1,2,2.0,0,1,0,1,0
Mila Reynolds,Brinae Alexander,1,2,2.0,0,1,1,0,0
Ava Sciolla,Shyanne Sellers,1,2,2.0,0,1,1,0,0
Diamond Miller,Mila Reynolds,1,2,2.0,0,1,1,0,0
Brinae Alexander,Gia Cooke,1,2,2.0,0,1,1,0,0
Bri McDaniel,Mila Reynolds,1,2,2.0,0,1,1,0,0
Brinae Alexander,Mila Reynolds,1,2,2.0,0,1,1,0,0
Lavender Briggs,Mila Reynolds,1,2,2.0,0,1,0,1,0
Gia Cooke,Mila Reynolds,1,2,2.0,0,1,1,0,0
Elisa Pinzan,Mila Reynolds,1,2,2.0,0,1,1,0,0
Mila Reynolds,Elisa Pinzan,1,2,2.0,0,1,0,1,0
Mila Reynolds,Ava Sciolla,1,3,3.0,1,0,0,0,0
Brinae Alexander,Elisa Pinzan,1,2,2.0,0,1,1,0,0
Faith Masonius,Bri McDaniel,1,3,3.0,1,0,0,0,0
