"source_id","player_name","games","min_on","min_off","pts_for_on","pts_against_on","net_on_per_40","pts_for_off","pts_against_off","net_off_per_40","on_off_diff","plus_minus"
"2022-23","Abby Meyers",34,1037.5,362.4,2084,1734,13.5,686,672,1.5,11.9,350
"2022-23","Diamond Miller",33,968.8,431.2,1950,1653,12.3,820,753,6.2,6.0,297
"2022-23","Shyanne Sellers",34,966.9,433.1,2019,1667,14.6,751,739,1.1,13.5,352
"2022-23","Faith Masonius",34,943.6,456.4,1873,1599,11.6,897,807,7.9,3.7,274
"2022-23","Lavender Briggs",34,837.0,563.0,1610,1471,6.6,1160,935,16.0,-9.3,139
"2022-23","Brinae Alexander",34,782.3,617.7,1598,1394,10.4,1172,1012,10.4,0.1,204
"2022-23","Elisa Pinzan",34,677.8,722.2,1260,1168,5.4,1510,1238,15.1,-9.6,92
"2022-23","Bri McDaniel",33,304.2,1095.8,606,528,10.3,2164,1878,10.4,-0.2,78
"2022-23","Gia Cooke",24,144.7,1255.3,216,274,-16.0,2554,2132,13.4,-29.5,-58
"2022-23","Mila Reynolds",21,99.8,1300.2,146,222,-30.5,2624,2184,13.5,-44.0,-76
"2022-23","Ava Sciolla",15,40.3,1359.7,61,69,-7.9,2709,2337,10.9,-18.9,-8
